"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"JALPA","2022-05-05","1382.4","1520.6","1382.4","1520.6","10.00","4241"
"JALPA","2022-05-04","1257","1382.4","1257","1382.4","9.99","218"
"JALPA","2022-05-02","1165.4","1256.8","1165.4","1256.8","9.99","130"
"JALPA","2022-04-28","1038.7","1142.6","1038.7","1142.6","9.99","200"
"JALPA","2022-04-27","963.2","1038.8","963.2","1038.8","10.00","180"
"JALPA","2022-04-26","875.7","944.4","875.7","944.4","9.99","155"
"JALPA","2022-04-25","780.5","858.6","780.5","858.6","9.99","77"
"JALPA","2022-04-24","696.2","780.6","696.2","780.6","9.99","109"
"JALPA","2022-04-21","640.2","709.7","640.2","709.7","10.00","90"
"JALPA","2022-04-20","598.3","645.2","598.3","645.2","9.99","70"
"JALPA","2022-04-19","586.6","586.6","586.6","586.6","2.00","10"
"JALPA","2022-04-18","552.9","575.1","552.9","575.1","6.09","30"
"JALPA","2022-04-17","521.1","542.1","521.1","542.1","4.03","47"
"JALPA","2022-04-13","491.1","521.1","491.1","521.1","6.11","35"
"JALPA","2022-04-12","491.1","491.1","491.1","491.1","0.00","30"
"JALPA","2022-04-11","455.4","491.1","455.4","491.1","9.99","70"
"JALPA","2022-04-07","437.8","446.5","437.8","446.5","4.01","20"
"JALPA","2022-04-06","420.9","429.3","420.9","429.3","2.00","46"
"JALPA","2022-04-05","404.7","420.9","404.7","420.9","6.07","66"
"JALPA","2022-04-04","396.8","396.8","396.8","396.8","1.98","10"
"JALPA","2022-04-03","381.5","389.1","381.5","389.1","4.01","24"
"JALPA","2022-03-31","366.8","374.1","366.8","374.1","4.00","27"
"JALPA","2022-03-30","352.7","359.7","352.7","359.7","1.98","16"
"JALPA","2022-03-29","339.1","352.7","339.1","352.7","4.01","54"
"JALPA","2022-03-28","332.5","339.1","332.5","339.1","1.98","43"
"JALPA","2022-03-27","332.5","332.5","332.5","332.5","0.00","5"
"JALPA","2022-03-24","332.5","332.5","332.5","332.5","1.99","10"
"JALPA","2022-03-23","326","326","326","326","0.00","6"
"JALPA","2022-03-22","319.7","326","319.7","326","0.34","33"
"JALPA","2022-03-20","318.6","324.9","318.6","324.9","1.98","12"
"JALPA","2022-03-16","318.6","318.6","318.6","318.6","0.00","2"
"JALPA","2022-03-15","318.6","318.6","318.6","318.6","0.00","18"
"JALPA","2022-03-14","318.6","318.6","318.6","318.6","0.00","30"
