"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"JBBL","2022-05-05","344","350","341","345","-1.15","23440"
"JBBL","2022-05-04","350","359","346","349","-1.69","28520"
"JBBL","2022-05-02","361.8","364","350.1","355","-3.16","36232"
"JBBL","2022-04-28","378","382","366.6","366.6","-2.76","34882"
"JBBL","2022-04-27","369","377.9","365","377","2.17","29299"
"JBBL","2022-04-26","374","380","368","369","-1.60","24174"
"JBBL","2022-04-25","387","388.7","371","375","-1.32","40768"
"JBBL","2022-04-24","366.1","390","360.1","380","5.85","50223"
"JBBL","2022-04-21","352.8","362","342","359","0.81","47770"
"JBBL","2022-04-20","365","370","356","356.1","-2.97","36100"
"JBBL","2022-04-19","375","375","362","367","-0.54","27526"
"JBBL","2022-04-18","367","373","365","369","-1.07","37178"
"JBBL","2022-04-17","384.9","385","371","373","-2.10","29748"
"JBBL","2022-04-13","375","385.5","369","381","2.14","41399"
"JBBL","2022-04-12","375","378.1","370","373","-1.84","43222"
"JBBL","2022-04-11","395","402.9","378","380","-2.06","39945"
"JBBL","2022-04-07","380","393","378","388","2.11","62131"
"JBBL","2022-04-06","380","387.9","375","380","-0.78","64505"
"JBBL","2022-04-05","384","386.9","378","383","-1.29","47146"
"JBBL","2022-04-04","390.2","396","388","388","-0.51","31329"
"JBBL","2022-04-03","389","395","389","390","-1.64","24876"
"JBBL","2022-03-31","410","410","395","396.5","-2.10","29685"
"JBBL","2022-03-30","385","406","385","405","4.11","60693"
"JBBL","2022-03-29","397","399","388.5","389","-1.02","30800"
"JBBL","2022-03-28","396.1","399","390","393","-1.50","96866"
"JBBL","2022-03-27","416.9","417","398","399","-2.52","74811"
"JBBL","2022-03-24","420","422","409.3","409.3","-3.01","60590"
"JBBL","2022-03-23","425","428","420.1","422","-1.40","48338"
"JBBL","2022-03-22","423","434","415","428","1.90","194369"
"JBBL","2022-03-21","418","422.9","406","420","2.44","64395"
"JBBL","2022-03-20","417","417","402.2","410","0.00","42933"
"JBBL","2022-03-16","417","423","408","410","-1.68","42387"
"JBBL","2022-03-15","422.1","424","414","417","-1.18","52402"
"JBBL","2022-03-14","429","430","413","422","-0.71","24508"
"JBBL","2022-03-13","415","427","412","425","3.66","125934"
"JBBL","2022-03-10","378","415.8","375","410","8.47","59103"
"JBBL","2022-03-09","394","395","378","378","-3.08","48755"
"JBBL","2022-03-07","392","399.7","386.3","390","-0.51","46906"
"JBBL","2022-03-06","390","398","380.1","392","2.08","73863"
"JBBL","2022-03-02","401","409","380","384","-2.78","76723"
"JBBL","2022-02-28","408","415.9","395","395","-1.25","44901"
"JBBL","2022-02-27","400","409","394","400","0.00","55926"
"JBBL","2022-02-24","405","409","398","400","-2.68","91886"
"JBBL","2022-02-23","415","420","408","411","-0.48","32460"
"JBBL","2022-02-22","416","418","411","413","1.23","56519"
"JBBL","2022-02-21","411.9","411.9","405.2","408","0.74","32922"
"JBBL","2022-02-20","410","412","396.9","405","-1.94","71015"
"JBBL","2022-02-17","415","423","413","413","-1.20","30240"
"JBBL","2022-02-16","434.7","434.8","415","418","-2.11","54033"
"JBBL","2022-02-15","418","428","411.3","427","3.14","71056"
"JBBL","2022-02-14","419","426","411","414","0.46","50096"
"JBBL","2022-02-13","421.5","425","412","412.1","-4.19","109059"
"JBBL","2022-02-10","436","439.8","429.3","430.1","-0.67","59218"
"JBBL","2022-02-09","430","443","430","433","-0.60","46253"
"JBBL","2022-02-08","449.8","466","434","435.6","0.00","100132"
"JBBL","2022-02-07","436.4","445","430","441","1.08","49892"
"JBBL","2022-02-06","447","450","436.3","436.3","-2.39","84569"
"JBBL","2022-02-03","458","469.9","444","447","-1.54","102236"
"JBBL","2022-02-01","453","460","442.1","454","1.57","86368"
"JBBL","2022-01-31","465","465","445.9","447","-2.83","78674"
"JBBL","2022-01-30","436.5","460","436.5","460","7.48","137274"
"JBBL","2022-01-27","425","437","424","428","-0.12","60366"
"JBBL","2022-01-26","445","445","427","428.5","-2.61","81465"
"JBBL","2022-01-25","448","450","430","440","-0.45","107439"
"JBBL","2022-01-24","460","462","437","442","-4.95","234761"
"JBBL","2022-01-23","487","487","461","465","-2.92","104207"
"JBBL","2022-01-20","464","480","451.9","479","3.88","98065"
"JBBL","2022-01-19","470","479","457","461.1","-1.89","104831"
"JBBL","2022-01-18","488.9","488.9","463","470","-2.08","105004"
"JBBL","2022-01-17","485","490","472","480","-0.62","100782"
"JBBL","2022-01-16","475.3","493.9","475","483","3.65","180094"
"JBBL","2022-01-13","450","466","443","466","3.79","114665"
"JBBL","2022-01-12","465","468.7","442.5","449","-2.29","145180"
"JBBL","2022-01-11","452","469","447","459.5","1.66","116739"
"JBBL","2022-01-10","465","469","445.1","452","-0.88","139090"
"JBBL","2022-01-09","434","460","428.3","456","7.04","172629"
"JBBL","2022-01-06","418","428","412.2","426","1.91","81785"
"JBBL","2022-01-05","427","439","414","418","-2.11","106997"
"JBBL","2022-01-04","409.9","432","402","427","6.22","201959"
