"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"JBLB","2022-05-05","2952","3000","2952","2960","-0.30","2800"
"JBLB","2022-05-04","2999.9","3000","2969","2969","0.13","3321"
"JBLB","2022-05-02","2965","2999.9","2964","2965","-0.47","3689"
"JBLB","2022-04-28","2951.3","3000","2951.3","2979","-0.37","3935"
"JBLB","2022-04-27","2951.1","3018","2951.1","2990","-0.17","2189"
"JBLB","2022-04-26","3020","3050","2990","2995.1","-0.82","2883"
"JBLB","2022-04-25","3103","3130","3009","3020","-0.76","4405"
"JBLB","2022-04-24","3000","3050","2980","3043","3.15","4537"
"JBLB","2022-04-21","2971","3000","2940","2950","-0.71","6860"
"JBLB","2022-04-20","2995.1","3042.9","2968","2971","-0.80","3091"
"JBLB","2022-04-19","2980","3010","2960","2995","0.54","2884"
"JBLB","2022-04-18","2998","3000","2975","2979","-0.63","3321"
"JBLB","2022-04-17","3041","3048","2990","2998","0.27","4583"
"JBLB","2022-04-13","3000","3020","2970","2990","0.34","4287"
"JBLB","2022-04-12","2999.3","3023.1","2965","2980","-0.64","4581"
"JBLB","2022-04-11","3049.8","3150","2990","2999.3","0.31","7945"
"JBLB","2022-04-07","2960","3018","2930.2","2990","1.08","8192"
"JBLB","2022-04-06","2951.1","3000","2951.1","2958","-1.56","6690"
"JBLB","2022-04-05","3050","3060","2985","3005","-2.12","10432"
"JBLB","2022-04-04","3180","3180","3061","3070","-1.60","6101"
"JBLB","2022-04-03","3255","3255","3115.1","3120","-2.35","6587"
"JBLB","2022-03-31","3274","3280","3192","3195","-0.99","7191"
"JBLB","2022-03-30","3240","3300","3150","3227","-0.55","8843"
"JBLB","2022-03-29","3400","3400","3245","3245","-3.65","17554"
"JBLB","2022-03-28","3366","3530","3300","3368","2.06","65274"
"JBLB","2022-03-27","3060","3300","3060","3300","10.00","8439"
"JBLB","2022-03-24","5200","5230","5082","5100","-1.54","59578"
"JBLB","2022-03-23","5230","5230","5152","5180","-0.90","16198"
"JBLB","2022-03-22","5200","5260","5200","5227","0.52","15398"
"JBLB","2022-03-21","5120","5242","5117","5200","1.56","17558"
"JBLB","2022-03-20","5074.5","5160","5000","5120","2.91","26341"
"JBLB","2022-03-16","4950","4980","4930","4975","0.50","6932"
"JBLB","2022-03-15","5000","5009","4950","4950.2","-0.90","9037"
"JBLB","2022-03-14","5000","5035","4970","4995","-0.79","2811"
"JBLB","2022-03-13","5020","5050","4990","5035","1.15","12685"
"JBLB","2022-03-10","4949","4998","4920","4978","0.57","8621"
"JBLB","2022-03-09","4900","4950","4865","4949.9","1.45","12579"
"JBLB","2022-03-07","4900","4900","4870","4879","0.18","9481"
"JBLB","2022-03-06","4874","4875","4800","4870","0.91","13597"
"JBLB","2022-03-02","4927","4950","4820","4826","-2.05","17003"
"JBLB","2022-02-28","5049","5049","4900","4927","-1.04","15702"
"JBLB","2022-02-27","4969","5050","4969","4979","0.20","14759"
"JBLB","2022-02-24","5075","5078","4960","4969","-2.09","28087"
"JBLB","2022-02-23","5170","5170","5070","5075","0.06","13761"
"JBLB","2022-02-22","5072","5147.9","5058","5072","0.00","21980"
"JBLB","2022-02-21","5235.6","5235.6","5001","5072","-1.19","51133"
"JBLB","2022-02-20","5059.2","5368","5059.2","5133","3.49","111344"
"JBLB","2022-02-17","4800","4989.9","4788","4960","3.53","45468"
"JBLB","2022-02-16","4850","4900","4704","4791","-0.81","18774"
"JBLB","2022-02-15","4600","4858","4537","4830","6.50","27934"
"JBLB","2022-02-14","4500","4590","4483","4535","1.41","10205"
"JBLB","2022-02-13","4550","4550","4450","4472","-3.31","11619"
"JBLB","2022-02-10","4650","4687","4620","4625","-0.49","8275"
"JBLB","2022-02-09","4794","4794","4648","4648","-1.11","8380"
"JBLB","2022-02-08","4759.3","4899","4650.1","4700","0.00","18269"
"JBLB","2022-02-07","4610","4700","4610","4666","-0.32","6477"
"JBLB","2022-02-06","4700","4721","4651","4681","-1.76","13520"
"JBLB","2022-02-03","4900","4950","4740","4765","-2.08","17003"
"JBLB","2022-02-01","4785","4960","4785","4866","1.67","26282"
"JBLB","2022-01-31","4560","4850","4503","4786.1","5.42","37478"
"JBLB","2022-01-30","4511.4","4601","4471","4540","2.65","9883"
"JBLB","2022-01-27","4444","4450","4405","4423","0.14","5658"
"JBLB","2022-01-26","4455","4500","4365","4417","-0.74","6955"
"JBLB","2022-01-25","4457","4510","4401","4450","-0.13","7069"
"JBLB","2022-01-24","4605","4630","4415","4456","-3.34","13849"
"JBLB","2022-01-23","4689","4689","4590","4610","0.24","12437"
"JBLB","2022-01-20","4520","4600","4511","4599","1.52","9193"
"JBLB","2022-01-19","4525","4650","4525","4530","-0.88","13077"
"JBLB","2022-01-18","4635","4699","4561","4570","-1.42","11426"
"JBLB","2022-01-17","4700","4735","4600","4636","-0.30","11292"
"JBLB","2022-01-16","4520","4710","4520","4650","2.88","23315"
"JBLB","2022-01-13","4410","4550","4410","4520","0.87","11151"
"JBLB","2022-01-12","4530","4585","4481","4481","-1.19","13114"
"JBLB","2022-01-11","4485","4574","4455","4535","1.23","14913"
"JBLB","2022-01-10","4501","4530","4465","4480","0.00","11635"
"JBLB","2022-01-09","4500","4530","4422","4480","1.36","13680"
"JBLB","2022-01-06","4360","4460","4320","4420","0.45","6775"
"JBLB","2022-01-05","4438","4460","4370","4400","-0.86","7591"
"JBLB","2022-01-04","4430","4490","4360","4438","0.18","8910"
"JBLB","2022-01-03","4410","4535","4410","4430","0.45","10261"
"JBLB","2022-01-02","4460","4460","4290","4410","0.80","7580"
"JBLB","2021-12-29","4470","4470","4322","4375","-0.52","6020"
"JBLB","2021-12-28","4355","4500","4200","4398","0.99","7715"
"JBLB","2021-12-27","4600","4600","4350","4355.1","-5.01","28160"
"JBLB","2021-12-26","4587","4600","4445","4585","1.93","21274"
"JBLB","2021-12-23","4150","4536.4","3961.2","4498","9.07","31063"
"JBLB","2021-12-22","3960","4125","3960","4124","5.74","10913"
"JBLB","2021-12-21","3865","3960","3865","3900","0.05","5824"
"JBLB","2021-12-20","3811","3900","3740","3897.9","2.28","4330"
"JBLB","2021-12-16","3823","3852","3790","3811","-2.28","4498"
