"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"JLI","2022-05-05","505","508","494","499","-2.92","9985"
"JLI","2022-05-04","520","522","507","514","-2.10","5205"
"JLI","2022-05-02","537","538","518","525","-3.31","6965"
"JLI","2022-04-28","554","560","540.1","543","-1.83","6151"
"JLI","2022-04-27","558","562.1","541","553.1","0.38","4235"
"JLI","2022-04-26","559","565","549","551","-1.43","4906"
"JLI","2022-04-25","580.9","590","559","559","-2.00","6865"
"JLI","2022-04-24","540","590","537.4","570.4","4.28","13895"
"JLI","2022-04-21","537","557","530.1","547","0.00","4617"
"JLI","2022-04-20","555","574","545","547","-3.01","6276"
"JLI","2022-04-19","565","566","546","564","1.81","3495"
"JLI","2022-04-18","560","580","548.9","554","-2.64","9454"
"JLI","2022-04-17","595","595","568","569","-3.21","4842"
"JLI","2022-04-13","575","608.9","570","587.9","1.36","10661"
"JLI","2022-04-12","585","596","575","580","-1.36","5942"
"JLI","2022-04-11","610","622","580","588","-2.16","16122"
"JLI","2022-04-07","571.5","619","571.5","601","3.26","18231"
"JLI","2022-04-06","594","603","571.1","582","-1.69","18730"
"JLI","2022-04-05","607","619","583","592","-4.21","15949"
"JLI","2022-04-04","613.1","629","611","618","-0.87","11438"
"JLI","2022-04-03","630","640","623","623.4","-2.75","6492"
"JLI","2022-03-31","641.9","655.8","639","641","-2.14","7497"
"JLI","2022-03-30","640","657","622.3","655","1.71","11689"
"JLI","2022-03-29","629.1","656","629.1","644","0.59","8628"
"JLI","2022-03-28","660.1","670","640.1","640.2","-4.45","13572"
"JLI","2022-03-27","660","724","660","670","1.52","84303"
"JLI","2022-03-24","620","675","620","660","5.26","45271"
"JLI","2022-03-23","627","635","623","627","-0.48","4505"
"JLI","2022-03-22","642.6","668.5","621.1","630","0.00","11712"
"JLI","2022-03-21","620","630","618","630","0.80","6511"
"JLI","2022-03-20","635","640","620.1","625","-1.57","8097"
"JLI","2022-03-16","630","650","630","635","-0.47","10658"
"JLI","2022-03-15","625","663","625","638","1.59","20465"
"JLI","2022-03-14","620","650","620","628","1.05","12916"
"JLI","2022-03-13","565","621.5","565","621.5","10.00","47425"
"JLI","2022-03-10","556","572.2","548","565","1.62","7101"
"JLI","2022-03-09","549","560","545","556","1.09","6802"
"JLI","2022-03-07","550","564","550","550","-0.54","6080"
"JLI","2022-03-06","556","565.9","550.1","553","-0.66","5829"
"JLI","2022-03-02","573.8","573.8","556.1","556.7","-3.42","7373"
"JLI","2022-02-28","585","608","575","576.4","-1.30","8265"
"JLI","2022-02-27","590","620","584","584","-1.02","7271"
"JLI","2022-02-24","603","610","589.2","590","-3.91","18032"
"JLI","2022-02-23","615","622","610","614","-1.76","10719"
"JLI","2022-02-22","608","625","608","625","2.29","13592"
"JLI","2022-02-21","601","624.7","601","611","-0.16","4391"
"JLI","2022-02-20","619.4","620.1","610","612","-3.16","9705"
"JLI","2022-02-17","635","642","627.3","632","-1.25","6485"
"JLI","2022-02-16","629.5","650.5","615","640","3.23","23840"
"JLI","2022-02-15","601.3","622","601.3","620","1.06","6385"
"JLI","2022-02-14","609","618","609","613.5","-1.05","4590"
"JLI","2022-02-13","646","646","615","620","-4.02","13342"
"JLI","2022-02-10","652","655","640","646","-0.92","10120"
"JLI","2022-02-09","665","665","640","652","-1.95","7170"
"JLI","2022-02-08","688.5","691","662","665","0.00","13556"
"JLI","2022-02-07","650","675","641.2","675","3.85","41709"
"JLI","2022-02-06","722","735","708.3","715","-0.97","34492"
"JLI","2022-02-03","735","735","720","722","-0.55","39578"
"JLI","2022-02-01","717","726","705.5","726","1.26","35775"
"JLI","2022-01-31","725","725","712","717","-1.09","13497"
"JLI","2022-01-30","733.3","744","716.1","724.9","0.82","31476"
"JLI","2022-01-27","725","726","711","719","-0.83","35899"
"JLI","2022-01-26","734","734","705","725","-0.94","75251"
"JLI","2022-01-25","715","738","705","731.9","1.94","49961"
"JLI","2022-01-24","710","730","702","718","1.82","121134"
"JLI","2022-01-23","674.2","705.2","674.2","705.2","6.69","88576"
"JLI","2022-01-20","631","661","631","661","2.80","17247"
"JLI","2022-01-19","653","660.9","640","643","-0.77","9584"
"JLI","2022-01-18","650.1","662","647","648","-2.26","13772"
"JLI","2022-01-17","660","670","652","663","-1.03","16020"
"JLI","2022-01-16","665","679","660","669.9","0.74","18575"
"JLI","2022-01-13","654","671","645","665","1.48","10628"
"JLI","2022-01-12","680","695","655.1","655.3","-3.49","19211"
"JLI","2022-01-11","669","690","660","679","1.34","25716"
"JLI","2022-01-10","663","676","652.1","670","-0.95","16551"
"JLI","2022-01-09","651.7","685","651.7","676.4","1.71","28227"
"JLI","2022-01-06","627.3","668.1","617","665","3.89","33471"
"JLI","2022-01-05","644","656","628","640.1","-2.42","27285"
"JLI","2022-01-04","611.1","656","611.1","656","5.47","46459"
"JLI","2022-01-03","608","633","595.2","622","2.81","37807"
"JLI","2022-01-02","580","622","560","605","6.14","28846"
"JLI","2021-12-29","563","580","556","570","-0.35","5672"
"JLI","2021-12-28","563.5","576","553","572","-0.52","5200"
"JLI","2021-12-27","612","625","575","575","-4.26","26246"
"JLI","2021-12-26","538","600.6","538","600.6","10.00","32644"
"JLI","2021-12-23","530","546.7","524","546","2.25","8227"
"JLI","2021-12-22","509.1","534","509.1","534","4.60","6557"
"JLI","2021-12-21","518","518","503.1","510.5","0.49","4796"
"JLI","2021-12-20","507","512","505","508","-1.26","5636"
"JLI","2021-12-16","525","525","514.5","514.5","-2.94","3327"
"JLI","2021-12-15","540","560","520","530.1","-1.83","8502"
"JLI","2021-12-14","500","545.7","500","540","7.96","3039"
"JLI","2021-12-13","522","522","499.9","500.2","-4.18","10612"
"JLI","2021-12-12","532","536","522","522","-2.61","5904"
"JLI","2021-12-09","533.2","545","533.2","536","-1.47","5662"
"JLI","2021-12-08","564","564","543","544","-3.72","8090"
"JLI","2021-12-07","555","580","546","565","1.62","8025"
"JLI","2021-12-06","535.5","556","530","556","2.21","10364"
"JLI","2021-12-05","549","555","539","544","-0.93","9626"
"JLI","2021-12-02","555","555","549.1","549.1","-1.42","4991"
"JLI","2021-12-01","552","570","550","557","-0.54","10317"
"JLI","2021-11-30","551","571.2","551","560","0.00","4833"
"JLI","2021-11-29","558","572","558","560","-1.60","5388"
"JLI","2021-11-28","576","594","565","569.1","-3.05","10489"
"JLI","2021-11-25","590","590","582","587","-0.34","4593"
"JLI","2021-11-24","578","595","578","589","0.15","8890"
"JLI","2021-11-23","590","605","586.1","588.1","-2.15","10460"
"JLI","2021-11-22","596","609.8","594","601","0.17","7899"
"JLI","2021-11-21","600","609","598.2","600","-1.66","11721"
"JLI","2021-11-18","616","620","608.1","610.1","-2.85","7167"
"JLI","2021-11-17","638","640","626","628","0.10","16600"
"JLI","2021-11-16","610","627.4","593","627.4","4.57","12739"
"JLI","2021-11-15","573.3","600","573.3","600","2.56","7007"
"JLI","2021-11-14","600","600","578.2","585","-1.71","10052"
"JLI","2021-11-11","603","610","591","595.2","-3.22","7815"
"JLI","2021-11-09","633","633.1","601","615","-3.30","15904"
"JLI","2021-11-08","636","654","635.2","636","-1.44","9766"
"JLI","2021-11-03","643","649","635.09","645.3","0.36","7425"
"JLI","2021-11-02","640","650","635.1","643","-0.77","10799"
"JLI","2021-11-01","634","659.5","634","648","2.21","21626"
"JLI","2021-10-31","605","642","605","634","2.76","10842"
"JLI","2021-10-28","620","621","608","617","-0.47","7783"
"JLI","2021-10-27","614","643","596","619.9","2.46","17150"
"JLI","2021-10-26","565","605","565","605","7.84","16269"
"JLI","2021-10-25","528","570","528","561","4.18","7237"
"JLI","2021-10-24","545","545","535","538.5","-1.19","7079"
"JLI","2021-10-21","552","552","541.1","545","0.28","2948"
"JLI","2021-10-20","541","562","530.1","543.5","0.83","4402"
"JLI","2021-10-19","545","545","535.1","539","-2.97","6013"
"JLI","2021-10-18","555","566","553","555.5","-1.16","5338"
"JLI","2021-10-17","558.3","565","555","562","-1.23","2057"
"JLI","2021-10-11","560","570","555","569","0.00","3234"
"JLI","2021-10-10","571.1","579","561","569","-0.35","4590"
"JLI","2021-10-06","551.1","572","551.1","571","3.61","6343"
"JLI","2021-10-05","544","567","537","551.1","1.31","6168"
"JLI","2021-10-04","550","557","540","544","-1.98","7263"
"JLI","2021-10-03","566","566","550","555","-1.94","8519"
"JLI","2021-09-30","575","581","565.1","566","-1.22","9540"
"JLI","2021-09-29","560","573","550.7","573","1.24","7905"
"JLI","2021-09-28","574","585","563","566","-2.92","10954"
"JLI","2021-09-27","600","602","583","583","-3.64","11683"
"JLI","2021-09-26","621.1","621.1","602","605","-2.59","8700"
"JLI","2021-09-23","635","640.5","620","621.1","-1.72","13565"
"JLI","2021-09-22","615","638","612","632","3.27","12920"
"JLI","2021-09-21","600","624.2","565","612","1.66","11840"
"JLI","2021-09-20","633","645","589.5","602","-6.67","21082"
"JLI","2021-09-16","660","660","642","645","-3.73","17242"
"JLI","2021-09-15","688","692","669","670","-2.76","11318"
"JLI","2021-09-14","690","695","681","689","0.07","11855"
"JLI","2021-09-13","685.1","697","682","688.5","0.50","10932"
"JLI","2021-09-12","676.1","690","676.1","685.1","0.01","11340"
"JLI","2021-09-09","680","699.7","675","685","-0.15","7577"
"JLI","2021-09-08","691","700","682.1","686","-2.14","7230"
"JLI","2021-09-07","716","716","688","701","-2.09","10525"
"JLI","2021-09-06","675","716","664.7","716","5.57","14863"
"JLI","2021-09-05","697.8","700","648","678.2","-4.48","22148"
