"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"JOSHI","2022-05-05","217.2","222.1","209.1","211","-4.74","17149"
"JOSHI","2022-05-04","228","228","217","221.5","-2.85","11718"
"JOSHI","2022-05-02","234","235","223","228","-3.80","14365"
"JOSHI","2022-04-28","245","245","235.7","237","-2.87","16869"
"JOSHI","2022-04-27","236.1","244","234","244","1.71","10970"
"JOSHI","2022-04-26","241","248.8","237.2","239.9","-0.46","14226"
"JOSHI","2022-04-25","253","259.9","240","241","-3.60","35154"
"JOSHI","2022-04-24","233.5","251.9","229","250","9.17","23803"
"JOSHI","2022-04-21","224.5","230","215","229","0.00","21037"
"JOSHI","2022-04-20","236.1","240","228","229","-4.58","9343"
"JOSHI","2022-04-19","240","245.7","228.3","240","0.00","15115"
"JOSHI","2022-04-18","248","248","238","240","-4.00","16705"
"JOSHI","2022-04-17","260","265.2","246","250","-3.59","13012"
"JOSHI","2022-04-13","255","262","250","259.3","0.89","14176"
"JOSHI","2022-04-12","257","260","251.9","257","-1.91","18290"
"JOSHI","2022-04-11","276.4","277","257.2","262","-3.32","30525"
"JOSHI","2022-04-07","275","275","264","271","0.37","20753"
"JOSHI","2022-04-06","265","275.4","261","270","1.12","16059"
"JOSHI","2022-04-05","275","280","265","267","-3.96","20333"
"JOSHI","2022-04-04","283.6","284.9","274.5","278","-0.39","16259"
"JOSHI","2022-04-03","282","283","274.4","279.1","-0.32","14338"
"JOSHI","2022-03-31","291","291","278","280","-3.11","23641"
"JOSHI","2022-03-30","286.2","290","283.3","289","2.99","23642"
"JOSHI","2022-03-29","288.3","290","278.4","280.6","-0.74","12762"
"JOSHI","2022-03-28","285.3","298.8","282.7","282.7","-1.84","34653"
"JOSHI","2022-03-27","296.1","300","288","288","-2.74","23885"
"JOSHI","2022-03-24","300","303.8","296","296.1","-1.30","27762"
"JOSHI","2022-03-23","308","308","299","300","-3.23","94183"
"JOSHI","2022-03-22","310","314","310","310","-0.29","19019"
"JOSHI","2022-03-21","305","312.1","300","310.9","3.95","12952"
"JOSHI","2022-03-20","305","309","299.1","299.1","-1.93","13906"
"JOSHI","2022-03-16","309","310","303","305","-1.61","19173"
"JOSHI","2022-03-15","310","314.5","306.1","310","-1.59","24791"
"JOSHI","2022-03-14","320","320","310","315","-1.56","9293"
"JOSHI","2022-03-13","312.1","320","308","320","4.58","31535"
"JOSHI","2022-03-10","292","307","285","306","6.62","25613"
"JOSHI","2022-03-09","300","312","285.4","287","-4.01","33999"
"JOSHI","2022-03-07","312","313","299","299","-2.29","28202"
"JOSHI","2022-03-06","312.1","318","300","306","0.00","18976"
"JOSHI","2022-03-02","315","315","305","306","-3.04","34565"
"JOSHI","2022-02-28","335.5","342","315","315.6","-4.07","51646"
"JOSHI","2022-02-27","325.5","338","323","329","1.08","73093"
"JOSHI","2022-02-24","343","344","323","325.5","-3.41","79358"
"JOSHI","2022-02-23","322.7","350.3","322.7","337","4.66","151058"
"JOSHI","2022-02-22","321.5","328","317","322","1.42","43113"
"JOSHI","2022-02-21","319.3","321.3","312","317.5","1.41","17800"
"JOSHI","2022-02-20","316","324","303.6","313.1","-0.92","33179"
"JOSHI","2022-02-17","321","321","306.8","316","0.29","40947"
"JOSHI","2022-02-16","332","332","312","315.1","-3.34","22136"
"JOSHI","2022-02-15","316.9","328","310","326","4.82","27257"
"JOSHI","2022-02-14","313","317","309","311","0.97","27791"
"JOSHI","2022-02-13","312.7","317","301","308","-3.45","40169"
"JOSHI","2022-02-10","324.9","325","318","319","-0.31","28171"
"JOSHI","2022-02-09","317","324.5","317","320","-0.93","29313"
"JOSHI","2022-02-08","334.5","346","322","323","0.00","58928"
"JOSHI","2022-02-07","320","332.5","319.1","328","0.92","25855"
"JOSHI","2022-02-06","333.9","334","323","325","-2.69","39117"
"JOSHI","2022-02-03","341.7","349.8","333.2","334","-0.30","132280"
"JOSHI","2022-02-01","326","336.6","320","335","3.08","61821"
"JOSHI","2022-01-31","338","341.5","324.1","325","-2.11","37150"
"JOSHI","2022-01-30","317.2","335","317.2","332","6.75","75791"
"JOSHI","2022-01-27","306","316","306","311","0.32","49547"
"JOSHI","2022-01-26","321","321","305.4","310","-1.90","69071"
"JOSHI","2022-01-25","312","329.4","312","316","-0.63","42461"
"JOSHI","2022-01-24","334","334","315.1","318","-4.79","110505"
"JOSHI","2022-01-23","344","352","327","334","-1.91","103309"
"JOSHI","2022-01-20","325","340.5","322","340.5","3.81","58680"
