"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"JSLBB","2022-05-05","2000","2005","1903.1","1911","-4.43","583"
"JSLBB","2022-05-04","2041","2055","1999.5","1999.5","-3.41","736"
"JSLBB","2022-05-02","2100","2100","2070","2070","-3.23","240"
"JSLBB","2022-04-28","2150","2150","2095.2","2139","-1.93","796"
"JSLBB","2022-04-27","2139.9","2181","2101","2181","-0.11","641"
"JSLBB","2022-04-26","2159","2185","2159","2183.5","-0.89","423"
"JSLBB","2022-04-25","2215","2285","2171","2203","1.29","992"
"JSLBB","2022-04-24","2100","2179","2058","2175","3.57","880"
"JSLBB","2022-04-21","1940.4","2100","1940.4","2100","6.06","1534"
"JSLBB","2022-04-20","1970","2050","1970","1980","0.15","445"
"JSLBB","2022-04-19","1980","2019","1975","1977.1","-1.19","753"
"JSLBB","2022-04-18","2030","2036","1991","2001","-3.33","700"
"JSLBB","2022-04-17","2100","2100","2070","2070","-1.43","492"
"JSLBB","2022-04-13","2080","2122","2080","2100","0.96","470"
"JSLBB","2022-04-12","2126.6","2126.6","2080","2080","-2.19","512"
"JSLBB","2022-04-11","2172","2175","2126.6","2126.6","-0.16","373"
"JSLBB","2022-04-07","2126","2155","2100","2130","0.00","691"
"JSLBB","2022-04-06","2150","2150","2116.8","2130","-1.39","128"
"JSLBB","2022-04-05","2128","2160","2100.2","2160","-0.23","826"
"JSLBB","2022-04-04","2160","2170","2146","2165","-0.28","482"
"JSLBB","2022-04-03","2215","2248","2171","2171","-1.99","278"
"JSLBB","2022-03-31","2284","2284","2209","2215","-1.12","83"
"JSLBB","2022-03-30","2161","2242","2161","2240","1.82","328"
"JSLBB","2022-03-29","2231.8","2232","2191","2200","-1.43","277"
"JSLBB","2022-03-28","2250","2279.9","2230","2232","-2.28","183"
"JSLBB","2022-03-27","2245","2284","2244.4","2284","-0.27","279"
"JSLBB","2022-03-24","2311","2311","2290","2290.2","-0.94","409"
"JSLBB","2022-03-23","2330","2330","2312","2312","-0.77","660"
"JSLBB","2022-03-22","2310.1","2330","2300","2330","0.65","888"
"JSLBB","2022-03-21","2320","2320","2315","2315","-0.22","99"
"JSLBB","2022-03-20","2300","2320","2290","2320","0.30","439"
"JSLBB","2022-03-16","2315","2315","2280","2313","0.74","420"
"JSLBB","2022-03-15","2280","2300","2242","2296","0.70","345"
"JSLBB","2022-03-14","2335.8","2335.8","2280","2280","-0.44","183"
"JSLBB","2022-03-13","2286","2327","2285","2290","2.14","463"
"JSLBB","2022-03-10","2158","2244","2158","2242","1.91","1149"
"JSLBB","2022-03-09","2259","2259","2180","2200","-0.81","1279"
"JSLBB","2022-03-07","2213","2256.9","2175","2218","2.21","467"
"JSLBB","2022-03-06","2201","2210","2170.1","2170.1","-1.40","652"
"JSLBB","2022-03-02","2232.1","2240","2200","2201","-3.25","518"
"JSLBB","2022-02-28","2310","2319","2275","2275","0.00","782"
"JSLBB","2022-02-27","2281","2306.9","2225","2275","-1.39","738"
"JSLBB","2022-02-24","2340","2340","2304","2307","-1.41","983"
"JSLBB","2022-02-23","2340","2350","2325","2340","-1.27","239"
"JSLBB","2022-02-22","2389","2397","2335","2370","0.85","367"
"JSLBB","2022-02-21","2355","2355","2316","2350","-0.21","1032"
"JSLBB","2022-02-20","2370","2370","2351","2355","-2.61","979"
"JSLBB","2022-02-17","2430","2430","2418","2418","-2.00","716"
"JSLBB","2022-02-16","2372","2467.3","2372","2467.3","2.00","680"
"JSLBB","2022-02-15","2440","2440","2395","2419","1.04","591"
"JSLBB","2022-02-14","2380","2394","2360","2394","1.66","496"
