"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"KADBL","2020-02-09","277","290","274","283","3.28","10350"
"KADBL","2020-02-06","265","280","265","274","1.48","13886"
"KADBL","2020-02-05","265","280","260","270","0.00","2978"
"KADBL","2020-02-04","268","275","268","271","1.12","12007"
"KADBL","2020-02-03","264","268","263","268","-0.37","6328"
"KADBL","2020-02-02","264","269","264","269","0.75","1908"
"KADBL","2020-01-30","263","267","258","267","-0.37","6100"
"KADBL","2020-01-29","255","268","251","268","3.08","4140"
"KADBL","2020-01-28","255","267","255","260","0.78","9692"
"KADBL","2020-01-27","244","258","244","258","4.03","5700"
"KADBL","2020-01-26","251","255","246","248","-3.12","3961"
"KADBL","2020-01-23","243","266","242","256","4.07","2051"
"KADBL","2020-01-22","264","265","240","243","-8.65","6362"
"KADBL","2020-01-21","270","274","261","266","-3.27","4330"
"KADBL","2020-01-20","285","285","280","280","-3.45","170"
"KADBL","2020-01-19","296","298","290","290","-1.02","1305"
"KADBL","2020-01-16","283","293","274","293","5.40","7864"
"KADBL","2020-01-15","268","278","263","278","5.70","32404"
"KADBL","2020-01-14","252","263","252","263","6.05","3060"
"KADBL","2020-01-13","245","256","243","248","2.90","7480"
"KADBL","2020-01-12","236","241","236","241","3.43","2810"
"KADBL","2020-01-09","226","233","226","233","1.75","2819"
"KADBL","2020-01-08","225","231","223","229","0.00","3506"
"KADBL","2020-01-07","224","229","223","229","4.09","2453"
"KADBL","2020-01-06","224","225","220","220","-1.79","2420"
"KADBL","2020-01-05","210","224","210","224","7.18","6881"
"KADBL","2020-01-02","209","209","209","209","-0.48","100"
"KADBL","2020-01-01","210","210","210","210","-1.87","60"
"KADBL","2019-12-31","215","217","213","214","-1.09","1980"
"KADBL","2019-12-30","235","238","226","238","-0.42","8512"
"KADBL","2019-12-29","232","239","230","239","4.82","19425"
"KADBL","2019-12-26","230","242","224","228","0.88","27659"
"KADBL","2019-12-25","210","226","210","226","9.71","24874"
"KADBL","2019-12-24","191","206","191","206","9.57","2293"
"KADBL","2019-12-23","188","191","188","188","1.62","160"
"KADBL","2019-12-22","182","185","182","185","0.00","69"
"KADBL","2019-12-15","185","185","185","185","-1.60","4000"
"KADBL","2019-12-12","191","191","188","188","-2.59","72"
"KADBL","2019-12-10","193","193","193","193","1.58","34"
"KADBL","2019-12-09","184","190","184","190","4.97","332"
"KADBL","2019-12-08","172","181","172","181","7.10","60"
"KADBL","2019-12-04","169","169","169","169","-0.59","163"
"KADBL","2019-12-02","170","170","170","170","0.59","153"
"KADBL","2019-11-26","170","170","169","169","1.20","930"
"KADBL","2019-11-11","168","168","167","167","-0.60","519"
"KADBL","2019-11-10","168","168","168","168","1.82","590"
"KADBL","2019-11-07","166","169","165","165","-1.79","1121"
"KADBL","2019-11-04","168","168","168","168","-1.18","10"
"KADBL","2019-11-03","171","171","170","170","-0.58","685"
"KADBL","2019-10-31","171","171","171","171","0.59","60"
"KADBL","2019-10-24","170","170","170","170","-0.58","306"
"KADBL","2019-09-29","171","171","171","171","-1.72","100"
"KADBL","2019-09-24","180","180","174","174","-4.92","1721"
"KADBL","2019-09-23","183","183","183","183","-1.61","536"
"KADBL","2019-09-19","186","186","186","186","1.64","10"
"KADBL","2019-09-18","177","183","177","183","3.39","8769"
"KADBL","2019-09-10","181","181","177","177","-3.80","1398"
"KADBL","2019-08-25","186","186","186","186","-1.59","20"
"KADBL","2019-08-19","189","189","189","189","-1.56","41"
"KADBL","2019-08-12","192","192","192","192","-1.54","20"
"KADBL","2019-08-05","195","195","195","195","1.56","33"
"KADBL","2019-07-25","192","192","192","192","0.00","115"
"KADBL","2019-07-16","192","192","192","192","4.92","10"
"KADBL","2019-07-15","180","183","180","183","0.00","1022"
"KADBL","2019-07-11","184","184","183","183","-1.08","493"
"KADBL","2019-07-10","194","194","185","185","-6.09","526"
"KADBL","2019-07-08","197","197","197","197","-1.99","500"
"KADBL","2019-07-07","198","201","198","201","3.08","30"
"KADBL","2019-07-04","195","195","195","195","1.56","10"
"KADBL","2019-07-03","192","192","192","192","0.00","294"
"KADBL","2019-07-02","192","192","192","192","0.52","20"
"KADBL","2019-07-01","190","192","190","191","-1.04","1000"
"KADBL","2019-06-30","193","193","193","193","1.05","60"
"KADBL","2019-06-25","191","191","191","191","-0.52","177"
"KADBL","2019-06-24","193","193","192","192","1.05","30"
"KADBL","2019-06-23","190","190","190","190","0.00","303"
"KADBL","2019-06-19","186","190","186","190","1.60","1282"
"KADBL","2019-06-18","187","187","187","187","-1.58","525"
"KADBL","2019-06-17","184","193","184","190","1.60","767"
"KADBL","2019-06-13","190","190","187","187","-3.11","6000"
"KADBL","2019-06-12","204","204","193","193","-3.50","1010"
"KADBL","2019-06-11","203","204","200","200","0.00","1350"
"KADBL","2019-06-10","199","210","199","200","2.04","1985"
"KADBL","2019-06-06","187","196","187","196","6.52","660"
"KADBL","2019-06-04","184","184","184","184","-1.60","500"
"KADBL","2019-06-03","190","190","187","187","-3.11","1500"
"KADBL","2019-06-02","189","193","189","193","0.52","1730"
"KADBL","2019-05-30","192","192","192","192","1.05","500"
"KADBL","2019-05-29","190","190","190","190","1.60","677"
"KADBL","2019-05-28","188","189","187","187","-1.58","1749"
"KADBL","2019-05-27","186","190","186","190","3.26","6127"
"KADBL","2019-05-26","184","184","184","184","1.66","670"
"KADBL","2019-05-23","177","184","177","181","3.43","3890"
"KADBL","2019-05-22","177","177","175","175","0.57","56"
"KADBL","2019-05-21","174","174","174","174","-1.69","115"
"KADBL","2019-05-20","177","177","177","177","-1.67","346"
"KADBL","2019-05-19","181","181","180","180","-0.55","3300"
"KADBL","2019-05-16","184","186","181","181","-1.09","4012"
"KADBL","2019-05-15","177","183","177","183","5.17","1156"
"KADBL","2019-05-14","174","174","174","174","-1.69","1840"
"KADBL","2019-05-13","177","177","177","177","0.00","100"
"KADBL","2019-05-09","177","177","177","177","0.57","30"
"KADBL","2019-05-08","176","176","176","176","-1.68","887"
"KADBL","2019-05-07","179","179","179","179","1.70","10"
"KADBL","2019-05-06","176","176","176","176","0.57","50"
"KADBL","2019-05-05","177","178","175","175","0.00","1740"
"KADBL","2019-05-02","172","175","172","175","0.00","79"
"KADBL","2019-04-30","175","175","175","175","-1.69","60"
"KADBL","2019-04-29","178","178","178","178","-1.66","361"
"KADBL","2019-04-28","177","181","172","181","3.43","1248"
"KADBL","2019-04-25","171","175","169","175","3.55","656"
"KADBL","2019-04-24","166","169","166","169","1.81","755"
"KADBL","2019-04-23","166","166","166","166","-1.78","1000"
"KADBL","2019-04-22","169","169","169","169","1.81","170"
"KADBL","2019-04-21","166","167","164","166","1.22","2471"
"KADBL","2019-04-18","161","167","161","164","3.80","1528"
"KADBL","2019-04-17","159","161","158","158","-0.63","526"
"KADBL","2019-04-16","158","159","156","159","0.00","620"
"KADBL","2019-04-11","159","159","159","159","1.92","10"
"KADBL","2019-04-10","153","156","153","156","1.96","3840"
"KADBL","2019-04-09","154","155","153","153","0.66","835"
"KADBL","2019-04-08","151","157","152","152","0.66","647"
"KADBL","2019-04-07","151","151","151","151","-1.31","100"
"KADBL","2019-04-04","153","153","153","153","0.00","826"
"KADBL","2019-04-03","150","153","150","153","2.00","180"
"KADBL","2019-04-02","156","156","150","150","-5.66","4700"
"KADBL","2019-04-01","168","168","159","159","-7.02","100"
"KADBL","2019-03-28","171","171","171","171","1.79","10"
"KADBL","2019-03-27","165","168","168","168","1.82","10"
"KADBL","2019-03-26","168","168","164","165","0.00","673"
"KADBL","2019-03-25","165","165","165","165","1.85","20"
"KADBL","2019-03-24","162","162","162","162","-1.82","10"
"KADBL","2019-03-21","165","165","165","165","1.85","30"
"KADBL","2019-03-19","159","162","159","162","0.00","70"
"KADBL","2019-03-18","165","165","162","162","-2.99","200"
"KADBL","2019-03-17","167","167","167","167","1.83","30"
"KADBL","2019-03-14","167","167","164","164","0.00","30"
"KADBL","2019-03-13","164","167","164","164","-1.80","10"
"KADBL","2019-03-12","167","167","165","167","1.21","100"
"KADBL","2019-03-11","156","165","153","165","7.84","140"
"KADBL","2019-03-10","153","153","151","153","1.32","100"
"KADBL","2019-03-09","153","153","151","153","1.32","100"
"KADBL","2019-03-07","154","157","151","151","-3.82","143"
"KADBL","2019-03-06","147","157","145","157","8.28","90"
"KADBL","2019-03-05","143","145","141","145","2.84","314"
"KADBL","2019-03-03","141","143","141","141","-1.40","50"
"KADBL","2019-02-27","143","145","143","143","-1.38","765"
"KADBL","2019-02-24","147","147","145","145","0.00","80"
"KADBL","2019-02-21","141","145","141","145","1.40","632"
"KADBL","2019-02-20","144","146","140","143","-2.05","5043"
"KADBL","2019-02-19","144","146","142","146","2.82","4079"
"KADBL","2019-02-18","147","150","142","142","-5.33","6962"
"KADBL","2019-02-17","158","161","150","150","-6.83","291"
"KADBL","2019-02-13","161","161","160","161","0.62","100"
"KADBL","2019-02-12","160","163","163","163","0.00",""
"KADBL","2019-02-11","159","163","159","163","0.62","180"
"KADBL","2019-02-10","165","165","162","162","0.00","250"
"KADBL","2019-02-03","165","165","159","162","-0.61","5550"
"KADBL","2019-01-31","160","163","160","163","1.87","10"
"KADBL","2019-01-30","157","160","154","160","1.91","120"
"KADBL","2019-01-29","160","160","157","157","-1.87","50"
"KADBL","2019-01-28","158","160","158","160","1.27","5566"
"KADBL","2019-01-27","158","158","158","158","0.00","622"
"KADBL","2019-01-23","156","159","155","158","1.28","1676"
"KADBL","2019-01-22","173","173","156","156","-9.83","5436"
"KADBL","2019-01-16","173","173","170","173","0.00","110"
"KADBL","2019-01-14","174","174","173","173","-0.57","60"
"KADBL","2018-12-27","171.43","174","171.43","174","1.50","110"
"KADBL","2018-12-26","172","181","172","180","4.65","1894"
"KADBL","2018-12-25","176","176","172","172","-2.27","724"
"KADBL","2018-12-24","176","176","176","176","0.00","12"
"KADBL","2018-12-23","176","176","173","176","0.00","230"
"KADBL","2018-12-19","176","176","173","176","0.00","251"
"KADBL","2018-12-18","176","176","176","176","0.00","100"
"KADBL","2018-12-17","175","176","175","176","0.57","110"
"KADBL","2018-12-16","174","175","174","175","0.57","10"
"KADBL","2018-12-13","175","175","173","174","-0.57","614"
"KADBL","2018-12-12","176","176","175","175","-0.57","1278"
"KADBL","2018-12-11","176","176","176","176","0.00","10"
"KADBL","2018-12-09","173","176","173","176","1.73","15"
"KADBL","2018-11-05","173","173","173","173","0.00","112"
"KADBL","2018-10-31","173","173","173","173","-1.70","68"
"KADBL","2018-10-28","176","176","176","176","-1.68","112"
"KADBL","2018-10-25","176","179","176","176","0.56","72"
"KADBL","2018-10-15","175","178","175","178","3.49","100"
"KADBL","2018-10-14","173","173","172","173","0.00","112"
"KADBL","2018-10-11","172","172","170","172","1.78","592"
"KADBL","2018-10-10","169","169","169","169","-1.74","992"
"KADBL","2018-10-08","176","175","172","172","-2.27","213"
