"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"KBLPO","2022-04-25","130","130","130","130","0.00","10796"
"KBLPO","2022-04-18","130","130","130","130","0.00","64050"
"KBLPO","2022-04-03","130","130","130","130","0.00","70190"
"KBLPO","2022-03-29","130","130","130","130","0.78","11684"
"KBLPO","2022-03-28","129","129","129","129","-0.54","12431"
"KBLPO","2022-03-27","129.7","129.7","129.7","129.7","0.00","54000"
"KBLPO","2022-03-15","129.7","129.7","129.7","129.7","0.00","2197"
"KBLPO","2022-02-23","129.7","129.7","129.7","129.7","-1.97","4082"
"KBLPO","2022-02-22","132.3","132.3","132.3","132.3","-1.93","11572"
"KBLPO","2022-02-20","137.6","137.6","134.9","134.9","-1.96","36818"
"KBLPO","2022-02-17","137.6","137.6","137.6","137.6","-1.99","5339"
"KBLPO","2022-02-16","140.4","140.4","140.4","140.4","-1.96","8309"
"KBLPO","2022-02-14","146.1","146.1","143.2","143.2","-1.98","90089"
"KBLPO","2022-02-07","146.1","146.1","146.1","146.1","0.00","34360"
"KBLPO","2022-02-06","149","149","146.1","146.1","-1.95","124000"
"KBLPO","2022-01-31","149","149","149","149","0.00","7099"
"KBLPO","2022-01-30","149","149","149","149","0.00","13318"
"KBLPO","2022-01-06","149","149","149","149","0.00","63000"
"KBLPO","2021-12-27","149","149","149","149","0.00","10668"
"KBLPO","2021-12-20","149","149","149","149","0.00","68896"
"KBLPO","2021-12-13","149","149","149","149","0.00","50000"
"KBLPO","2021-12-09","149","149","149","149","0.00","242000"
"KBLPO","2021-11-29","149","149","149","149","0.00","195000"
"KBLPO","2021-11-28","149","149","149","149","1.37","238640"
"KBLPO","2021-09-23","155.8","155.8","155.8","155.8","0.00","15000"
"KBLPO","2021-09-20","149.9","155.8","149.9","155.8","5.99","42877"
"KBLPO","2021-09-07","147","147","147","147","0.00","12800"
"KBLPO","2021-09-01","147","147","147","147","-2.00","47919"
"KBLPO","2021-08-16","150","150","150","150","0.00","15000"
"KBLPO","2021-07-27","150","150","150","150","0.00","55748"
"KBLPO","2021-07-26","150","150","150","150","0.00","25000"
"KBLPO","2021-06-22","138","150","138","150","8.70","562301"
"KBLPO","2021-06-21","128","138","128","138","9.52","60"
"KBLPO","2021-06-20","118","126","118","126","8.62","50"
"KBLPO","2021-06-16","116","116","116","116","0.00","22103"
"KBLPO","2021-05-25","116","116","116","116","1.75","48029"
"KBLPO","2021-05-06","114","114","114","114","0.00","8216"
"KBLPO","2021-05-03","114","114","114","114","0.00","13244"
"KBLPO","2021-04-26","114","114","114","114","0.00","12475"
"KBLPO","2021-04-25","114","114","114","114","14.00","45000"
"KBLPO","2021-04-22","100","100","100","100","0.00","12475"
"KBLPO","2021-04-12","112","112","112","112","0.00","120000"
"KBLPO","2021-04-07","112","112","112","112","0.00","66217"
"KBLPO","2021-04-05","112","112","112","112","-1.75","10586"
"KBLPO","2021-04-01","114","114","114","114","1.79","25000"
