"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"KBL","2022-05-05","218","218","214","215.5","-1.15","31549"
"KBL","2022-05-04","215","219","215","218","0.00","23947"
"KBL","2022-05-02","221","224","218","218","-1.36","34161"
"KBL","2022-04-28","224.4","224.4","220","221","0.45","26664"
"KBL","2022-04-27","223","223","218","220","0.00","25609"
"KBL","2022-04-26","220.5","225","218.6","220","-0.90","42969"
"KBL","2022-04-25","226","228","221","222","-1.77","36797"
"KBL","2022-04-24","220.3","226.5","216","226","4.63","51798"
"KBL","2022-04-21","222.2","222.2","212.7","216","-0.87","54576"
"KBL","2022-04-20","223.2","223.2","217","217.9","-0.46","45045"
"KBL","2022-04-19","221","221","215.1","218.9","0.92","36347"
"KBL","2022-04-18","221.8","221.8","216.9","216.9","-1.50","50823"
"KBL","2022-04-17","226.4","227.4","220.2","220.2","-0.81","29934"
"KBL","2022-04-13","220","222.9","217","222","0.91","28780"
"KBL","2022-04-12","224","224","218.6","220","-0.45","32132"
"KBL","2022-04-11","225","230","220","221","-0.90","52979"
"KBL","2022-04-07","221","226","220","223","0.90","55347"
"KBL","2022-04-06","221.1","223","219","221","-0.90","28368"
"KBL","2022-04-05","229.5","229.5","220.8","223","-0.89","47837"
"KBL","2022-04-04","231.1","231.1","224","225","-0.71","47494"
"KBL","2022-04-03","229.5","231","226","226.6","-1.69","45764"
"KBL","2022-03-31","232.2","234.9","230.3","230.5","-0.69","30960"
"KBL","2022-03-30","232","233","228.3","232.1","0.48","26162"
"KBL","2022-03-29","230.5","234","230","231","-0.43","38358"
"KBL","2022-03-28","235","235","230.6","232","-0.85","24518"
"KBL","2022-03-27","235","236","232.1","234","-0.85","48909"
"KBL","2022-03-24","240.2","240.2","235.1","236","-0.46","39334"
"KBL","2022-03-23","243","243","236","237.1","-1.62","47872"
"KBL","2022-03-22","242.9","242.9","239","241","0.84","53253"
"KBL","2022-03-21","239","239","232.5","239","1.27","55129"
"KBL","2022-03-20","242","242","236","236","-1.46","51831"
"KBL","2022-03-16","242","243","239.3","239.5","-1.03","42539"
