"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"KLBSL","2022-05-05","1295","1295","1193.4","1264","-4.24","1169"
"KLBSL","2022-05-04","1354","1354","1315","1320","-0.75","330"
"KLBSL","2022-05-02","1314","1330","1313","1330","-0.75","160"
"KLBSL","2022-04-28","1418","1444","1340","1340","-3.67","249"
"KLBSL","2022-04-27","1371","1454.8","1369.4","1391","3.27","360"
"KLBSL","2022-04-26","1295","1372","1295","1347","4.02","901"
"KLBSL","2022-04-25","1339.9","1342","1295","1295","-1.89","705"
"KLBSL","2022-04-24","1288","1320","1265","1320","2.64","2428"
"KLBSL","2022-04-21","1230","1287","1225","1286","3.54","558"
"KLBSL","2022-04-20","1270","1275","1195","1242","-2.89","3603"
"KLBSL","2022-04-19","1330","1330","1278.9","1278.9","-2.00","1883"
"KLBSL","2022-04-18","1332","1332","1305","1305","-2.03","1280"
"KLBSL","2022-04-17","1360","1361","1332","1332","-0.97","544"
"KLBSL","2022-04-13","1326.1","1345","1325.1","1345","0.45","170"
"KLBSL","2022-04-12","1332.9","1339","1332.9","1339","-1.54","252"
"KLBSL","2022-04-11","1400","1400","1360","1360","-2.51","738"
"KLBSL","2022-04-07","1360.1","1405","1360.1","1395","2.57","342"
"KLBSL","2022-04-06","1340","1360","1340","1360","0.74","117"
"KLBSL","2022-04-05","1428","1428","1345","1350","-3.57","1147"
"KLBSL","2022-04-04","1420","1428","1400","1400","-0.64","1169"
"KLBSL","2022-04-03","1435","1435","1409","1409","-2.83","310"
"KLBSL","2022-03-31","1454","1460","1450","1450","-0.34","150"
"KLBSL","2022-03-30","1440","1456","1415","1455","0.00","964"
"KLBSL","2022-03-29","1467","1467","1440","1455","-2.35","993"
"KLBSL","2022-03-28","1495","1495","1470","1490","-0.33","516"
"KLBSL","2022-03-27","1499","1520","1489.7","1495","-0.33","210"
"KLBSL","2022-03-24","1493","1505","1493","1500","-1.38","186"
"KLBSL","2022-03-23","1533.9","1539","1509","1521","-0.79","477"
"KLBSL","2022-03-22","1590","1590","1533.1","1533.1","-1.91","400"
"KLBSL","2022-03-21","1508","1563","1508","1562.9","3.78","4342"
"KLBSL","2022-03-20","1455","1506","1455","1506","1.76","3532"
"KLBSL","2022-03-16","1500","1500","1473","1480","-1.29","866"
"KLBSL","2022-03-15","1490","1499.4","1467","1499.3","0.02","1653"
"KLBSL","2022-03-14","1490","1499.9","1475","1499","0.67","800"
"KLBSL","2022-03-13","1488","1489","1465","1489","2.06","2590"
"KLBSL","2022-03-10","1439","1501","1388","1459","3.04","3721"
"KLBSL","2022-03-09","1432.1","1432.1","1414","1416","-2.68","1711"
"KLBSL","2022-03-07","1462.4","1462.4","1433.5","1455","1.39","760"
"KLBSL","2022-03-06","1462.8","1462.8","1431","1435","0.06","754"
"KLBSL","2022-03-02","1440","1450","1434.1","1434.2","-1.77","912"
"KLBSL","2022-02-28","1505","1520","1460","1460","-2.86","1753"
"KLBSL","2022-02-27","1518","1525","1500.3","1503","-1.76","516"
"KLBSL","2022-02-24","1540","1567","1525","1530","-2.55","1052"
"KLBSL","2022-02-23","1565","1570","1535.1","1570","0.32","1402"
"KLBSL","2022-02-22","1570","1590","1558","1565","0.00","841"
"KLBSL","2022-02-21","1609","1609","1525","1565","-0.95","2201"
"KLBSL","2022-02-20","1590","1600","1560.1","1580","-2.59","1743"
"KLBSL","2022-02-17","1634","1636","1606.5","1622","-0.98","933"
"KLBSL","2022-02-16","1612","1638","1607.2","1638","-0.12","660"
"KLBSL","2022-02-15","1635","1640","1595","1640","-0.75","1872"
"KLBSL","2022-02-14","1595","1652.4","1566","1652.4","3.60","1953"
"KLBSL","2022-02-13","1615","1626","1581","1595","-3.04","1346"
"KLBSL","2022-02-10","1656","1656","1645","1645","-0.60","340"
"KLBSL","2022-02-09","1660","1660","1653","1655","-0.90","789"
"KLBSL","2022-02-08","1728","1728.9","1670","1670","0.00","1093"
"KLBSL","2022-02-07","1680","1695","1680","1695","0.00","157"
"KLBSL","2022-02-06","1725","1728","1662","1695","-0.29","783"
