"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"KMCDBP","2022-03-02","693","693","693","693","0.00","8000"
"KMCDBP","2021-11-25","785","785","785","785","0.00","2000"
"KMCDBP","2021-11-03","785","785","785","785","0.00","1000"
"KMCDBP","2021-09-07","785","785","785","785","0.00","2000"
"KMCDBP","2021-08-26","785","785","785","785","0.00","8000"
"KMCDBP","2021-07-15","785","785","785","785","0.00","17820"
"KMCDBP","2021-04-01","710","710","710","710","0.00","3000"
"KMCDBP","2019-04-03","438","438","438","438","0.23","6000"
"KMCDBP","2018-02-08","887","887","887","887","1.95","5000"
"KMCDBP","2017-04-13","800","800","800","800","0.00","70000"
"KMCDBP","2017-02-07","800","800","800","800","0.00","6000"
"KMCDBP","2017-02-06","800","800","800","800","0.00","7000"
"KMCDBP","2017-02-02","800","800","800","800","0.00","5000"
