"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"KMCDB","2022-05-05","1173","1190","1162","1183.9","-1.02","3377"
"KMCDB","2022-05-04","1195","1219","1194.6","1196.1","-1.87","1416"
"KMCDB","2022-05-02","1260","1260","1213","1218.9","-2.10","1917"
"KMCDB","2022-04-28","1264.9","1275","1245","1245","-1.57","1085"
"KMCDB","2022-04-27","1245","1264.9","1240","1264.9","1.60","2729"
"KMCDB","2022-04-26","1260","1270","1235","1245","-0.40","1413"
"KMCDB","2022-04-25","1272.8","1284.9","1250","1250","-3.75","2392"
"KMCDB","2022-04-24","1260","1300","1250.1","1298.7","4.82","4615"
"KMCDB","2022-04-21","1225","1249","1202","1239","1.11","2085"
"KMCDB","2022-04-20","1265","1265","1225.2","1225.4","-3.51","2737"
"KMCDB","2022-04-19","1291.7","1291.7","1250","1270","-3.64","3520"
"KMCDB","2022-04-18","1280","1318","1244.1","1318","1.38","3480"
"KMCDB","2022-04-17","1284","1300","1249","1300","-0.76","6594"
"KMCDB","2022-04-13","1225","1318.8","1220","1310","6.05","5933"
"KMCDB","2022-04-12","1248","1248","1232.2","1235.3","-1.57","1584"
"KMCDB","2022-04-11","1260.2","1275","1255","1255","-1.57","920"
"KMCDB","2022-04-07","1250","1299","1250","1275","1.76","3855"
"KMCDB","2022-04-06","1250","1299.8","1233.1","1253","0.15","3293"
"KMCDB","2022-04-05","1269","1270","1250","1251.1","-3.17","3717"
"KMCDB","2022-04-04","1267","1294","1267","1292","0.23","2782"
"KMCDB","2022-04-03","1280","1290","1266.2","1289","-0.08","713"
"KMCDB","2022-03-31","1267","1295","1267","1290","0.39","880"
"KMCDB","2022-03-30","1266","1305","1266","1285","0.39","2372"
"KMCDB","2022-03-29","1299","1300","1275","1280","-0.16","1999"
"KMCDB","2022-03-28","1281.1","1300","1281.1","1282","-1.38","4233"
"KMCDB","2022-03-27","1330","1346","1295","1300","-2.26","4843"
"KMCDB","2022-03-24","1295","1359","1295","1330","1.99","11411"
"KMCDB","2022-03-23","1271","1338.2","1271","1304","0.69","17216"
"KMCDB","2022-03-22","1277","1299","1261","1295","1.41","4467"
"KMCDB","2022-03-21","1259","1277","1250","1277","1.43","3126"
"KMCDB","2022-03-20","1250","1259","1232.1","1259","0.55","930"
"KMCDB","2022-03-16","1297","1297","1252.1","1252.1","-1.64","1497"
"KMCDB","2022-03-15","1270.1","1280","1257.1","1273","-1.47","2193"
"KMCDB","2022-03-14","1271","1296","1250","1292","-0.15","634"
"KMCDB","2022-03-13","1271","1294.8","1270","1293.9","1.24","5469"
"KMCDB","2022-03-10","1195","1309","1184","1278","6.50","3328"
"KMCDB","2022-03-09","1230","1230","1200","1200","-1.40","2524"
"KMCDB","2022-03-07","1208","1230.9","1202.1","1217","0.75","1127"
"KMCDB","2022-03-06","1201","1230","1201","1208","-0.33","2184"
"KMCDB","2022-03-02","1196","1218","1191","1212","-0.33","2703"
"KMCDB","2022-02-28","1235","1243","1216","1216","-1.54","2033"
"KMCDB","2022-02-27","1250","1250","1230","1235","-1.98","2501"
"KMCDB","2022-02-24","1270","1280","1240","1260","-2.33","8875"
"KMCDB","2022-02-23","1290","1310","1270","1290","-1.37","5892"
"KMCDB","2022-02-22","1316","1319","1290","1307.9","-0.92","6210"
"KMCDB","2022-02-21","1319","1343","1311","1320","-1.86","3066"
"KMCDB","2022-02-20","1319.1","1345","1285","1345","-0.07","6948"
"KMCDB","2022-02-17","1310.8","1346","1309","1346","0.82","2525"
"KMCDB","2022-02-16","1304.4","1335","1290","1335","0.30","7124"
"KMCDB","2022-02-15","1253","1331","1245","1331","4.97","4254"
"KMCDB","2022-02-14","1227.1","1275","1227","1268","2.59","3727"
"KMCDB","2022-02-13","1235","1248.9","1225.1","1236","-1.90","18528"
"KMCDB","2022-02-10","1283","1294.9","1260","1260","-2.48","10256"
"KMCDB","2022-02-09","1295","1310","1270","1292","-0.23","3711"
"KMCDB","2022-02-08","1333","1346","1295","1295","0.00","5245"
"KMCDB","2022-02-07","1319","1319","1297.1","1307.1","-0.91","2149"
"KMCDB","2022-02-06","1334","1339","1309","1319.1","-1.12","2693"
"KMCDB","2022-02-03","1370","1374","1331","1334","-2.27","10385"
"KMCDB","2022-02-01","1320","1365","1320","1365","2.32","9897"
"KMCDB","2022-01-31","1350","1355","1327","1334","-1.11","6230"
"KMCDB","2022-01-30","1369.8","1393","1346","1349","0.45","26153"
"KMCDB","2022-01-27","1330.1","1356","1325","1343","0.00","6776"
"KMCDB","2022-01-26","1343.3","1360","1317","1343","1.97","18697"
"KMCDB","2022-01-25","1242","1326","1242","1317","4.52","30451"
