"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"KMFL","2019-05-13","757","830","757","830","7.79","401"
"KMFL","2019-05-12","785","785","760","770","-2.04","477"
"KMFL","2019-05-09","799","799","786","786","0.13","119"
"KMFL","2019-05-08","787","796","785","785","-2.00","674"
"KMFL","2019-05-07","833","833","801","801","-1.96","482"
"KMFL","2019-05-06","790","817","790","817","2.00","325"
"KMFL","2019-05-05","801","801","800","801","-0.62","320"
"KMFL","2019-05-02","826","827","806","806","-2.54","230"
"KMFL","2019-04-30","858","858","827","827","-3.73","198"
"KMFL","2019-04-29","900","900","859","859","-3.59","478"
"KMFL","2019-04-28","810","891","810","891","10.00","345"
"KMFL","2019-04-25","819","819","804","810","-1.22","345"
"KMFL","2019-04-24","820","820","820","820","-1.80","100"
"KMFL","2019-04-23","835","835","835","835","-1.30","150"
"KMFL","2019-04-22","863","863","846","846","-0.12","160"
"KMFL","2019-04-21","847","847","847","847","1.93","25"
"KMFL","2019-04-18","847","847","831","831","0.00","24"
"KMFL","2019-04-17","850","881","831","831","-2.24","1088"
"KMFL","2019-04-16","820","850","820","850","3.66","474"
"KMFL","2019-04-15","815","820","812","820","-1.32","384"
"KMFL","2019-04-11","810","831","800","831","1.96","382"
"KMFL","2019-04-10","794","815","810","815","0.62","112"
"KMFL","2019-04-09","830","830","810","810","-1.82","233"
"KMFL","2019-04-08","831","825","810","825","-0.72","515"
"KMFL","2019-04-07","776","831","791","831","5.06","279"
"KMFL","2019-04-04","815","815","790","791","-2.94","262"
"KMFL","2019-04-03","810","815","800","815","0.62","169"
"KMFL","2019-04-02","810","810","810","810","-0.86","10"
"KMFL","2019-04-01","852","852","804","817","-5.98","281"
"KMFL","2019-03-31","805","805","805","805","0.00","20"
"KMFL","2019-03-27","790","869","790","869","10.00","113"
"KMFL","2019-03-26","800","800","790","790","-2.47","170"
"KMFL","2019-03-25","805","810","805","810","1.12","258"
"KMFL","2019-03-24","810","810","800","801","-2.32","245"
"KMFL","2019-03-21","851","851","820","820","-5.20","787"
"KMFL","2019-03-19","865","865","865","865","0.58","74"
"KMFL","2019-03-18","875","875","858","860","-1.15","829"
"KMFL","2019-03-17","870","870","865","870","0.12","468"
"KMFL","2019-03-14","852","869","852","869","0.12","39"
"KMFL","2019-03-13","870","885","868","868","-1.92","504"
