"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"KNBL","2019-06-04","188","196","182","196","5.38","54168"
"KNBL","2019-06-03","181","192","181","186","4.49","70737"
"KNBL","2019-06-02","169","178","169","178","9.88","76608"
"KNBL","2019-05-30","173","176","158","162","-4.71","21687"
"KNBL","2019-05-29","156","174","156","170","4.29","30567"
"KNBL","2019-05-28","158","166","154","163","7.95","41649"
"KNBL","2019-05-27","145","153","145","151","5.59","12425"
"KNBL","2019-05-26","142","145","139","143","2.14","14284"
"KNBL","2019-05-23","140","140","140","140","-1.41","300"
"KNBL","2019-05-22","142","144","141","142","1.43","2274"
"KNBL","2019-05-21","138","146","138","140","0.00","3780"
"KNBL","2019-05-20","145","146","139","140","-4.76","5665"
"KNBL","2019-05-19","139","147","137","147","5.76","9871"
"KNBL","2019-05-16","136","142","134","139","0.72","10758"
"KNBL","2019-05-15","132","144","132","138","4.55","18519"
"KNBL","2019-05-14","134","136","132","132","-1.49","2860"
"KNBL","2019-05-13","130","134","130","134","2.29","2231"
"KNBL","2019-05-12","133","135","131","131","-2.96","1241"
"KNBL","2019-05-09","136","136","132","135","-2.17","788"
"KNBL","2019-05-08","138","141","134","138","1.47","7126"
"KNBL","2019-05-07","129","136","129","136","3.82","9288"
"KNBL","2019-05-06","128","132","127","131","3.97","12561"
"KNBL","2019-05-05","124","126","124","126","1.61","501"
"KNBL","2019-05-02","127","127","124","124","-3.12","7266"
"KNBL","2019-04-30","127","129","127","128","1.59","847"
"KNBL","2019-04-29","130","130","126","126","-4.55","933"
"KNBL","2019-04-28","132","132","130","132","1.54","5206"
"KNBL","2019-04-25","129","133","128","130","0.78","6071"
"KNBL","2019-04-24","125","131","125","129","3.20","2335"
"KNBL","2019-04-23","126","126","125","125","-0.79","803"
"KNBL","2019-04-22","130","130","126","126","-1.56","1199"
"KNBL","2019-04-21","127","128","127","128","1.59","561"
"KNBL","2019-04-18","129","130","126","126","-2.33","1012"
"KNBL","2019-04-17","129","129","127","129","0.00","1417"
"KNBL","2019-04-16","124","130","124","129","4.03","4177"
"KNBL","2019-04-15","124","124","122","124","-1.59","311"
"KNBL","2019-04-11","128","128","124","126","0.00","110"
"KNBL","2019-04-10","124","126","124","126","1.61","600"
"KNBL","2019-04-09","126","127","124","124","-0.80","2660"
"KNBL","2019-04-08","128","129","125","125","-2.34","1310"
"KNBL","2019-04-07","121","128","121","128","4.92","2006"
"KNBL","2019-04-04","125","125","122","122","-3.17","2930"
"KNBL","2019-04-03","119","126","119","126","4.13","3800"
"KNBL","2019-04-02","122","122","120","121","0.00","2601"
"KNBL","2019-04-01","120","121","120","121","0.83","376"
"KNBL","2019-03-31","119","120","119","120","0.84","1380"
"KNBL","2019-03-28","119","120","119","119","-0.83","1333"
"KNBL","2019-03-27","124","122","120","120","-3.23","150"
"KNBL","2019-03-26","122","124","120","124","0.00","1563"
"KNBL","2019-03-25","124","124","124","124","-1.59","1000"
"KNBL","2019-03-21","126","126","126","126","-1.56","10"
"KNBL","2019-03-18","128","130","125","127","0.79","1211"
"KNBL","2019-03-17","126","129","125","126","-0.79","5787"
"KNBL","2019-03-14","127","129","127","127","-1.55","529"
"KNBL","2019-03-13","129","129","127","129","1.57","10"
"KNBL","2019-03-12","126","127","125","127","0.79","72"
"KNBL","2019-03-11","126","126","124","126","1.61","10"
