"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"KPCL","2022-05-05","399.9","412.5","395","412","0.98","2416"
"KPCL","2022-05-04","408.7","421","402","408","-2.04","1366"
"KPCL","2022-05-02","435","435","410.2","416.5","-4.27","2936"
"KPCL","2022-04-28","435.2","444","427.1","435.1","-2.00","5294"
"KPCL","2022-04-27","431","444","429.3","444","1.37","1673"
"KPCL","2022-04-26","450.9","450.9","429","438","-1.82","1930"
"KPCL","2022-04-25","450","463","441.1","446.1","-2.58","4048"
"KPCL","2022-04-24","411.7","458","411.7","457.9","9.02","7149"
"KPCL","2022-04-21","430","440","405","420","-2.10","4399"
"KPCL","2022-04-20","452.8","452.8","418.6","429","-3.38","3104"
"KPCL","2022-04-19","428.4","447","428.4","444","1.60","3245"
"KPCL","2022-04-18","455","464","430","437","-5.82","4458"
"KPCL","2022-04-17","465","482","447","464","-2.11","3005"
"KPCL","2022-04-13","452","474","449.8","474","3.31","5265"
"KPCL","2022-04-12","459","475","444","458.8","-1.97","6702"
"KPCL","2022-04-11","488","504","467","468","-4.27","5174"
"KPCL","2022-04-07","475","488.9","459","488.9","4.47","3634"
"KPCL","2022-04-06","470.4","478","463.6","468","-2.50","1620"
"KPCL","2022-04-05","473.5","492","464","480","-0.62","4427"
"KPCL","2022-04-04","490","495","483","483","-1.43","1380"
"KPCL","2022-04-03","483","510","483","490","1.03","2208"
"KPCL","2022-03-31","493","496","485","485","-2.81","4789"
"KPCL","2022-03-30","482","499","482","499","1.63","1910"
"KPCL","2022-03-29","494","494","478","491","1.24","4876"
"KPCL","2022-03-28","498.9","498.9","485","485","-1.02","3464"
"KPCL","2022-03-27","493.1","511","490","490","-2.58","5035"
"KPCL","2022-03-24","504","510","502","503","-2.12","8326"
"KPCL","2022-03-23","503","521","503","513.9","0.33","2005"
"KPCL","2022-03-22","521","527","510.4","512.2","-2.81","5208"
"KPCL","2022-03-21","501.2","527","501.2","527","4.15","6101"
"KPCL","2022-03-20","506","515","505","506","0.00","2165"
