"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"KRBL","2022-05-05","311","311","298","298","-2.61","2067"
"KRBL","2022-05-04","302","308.5","296","306","-0.68","4824"
"KRBL","2022-05-02","315.1","316.2","307","308.1","-4.02","3377"
"KRBL","2022-04-28","331","334","321","321","-2.99","3670"
"KRBL","2022-04-27","320","330.9","315","330.9","1.82","9040"
"KRBL","2022-04-26","336.3","336.3","317.6","325","-1.49","2461"
"KRBL","2022-04-25","334","345.2","325.5","329.9","-0.66","5457"
"KRBL","2022-04-24","321.3","344","321","332.1","5.43","8780"
"KRBL","2022-04-21","316.5","321","308","315","-2.42","4147"
"KRBL","2022-04-20","332.2","338","322","322.8","-3.93","4043"
"KRBL","2022-04-19","340.6","345","332","336","0.60","6176"
"KRBL","2022-04-18","341.1","347","333.5","334","-4.02","6762"
"KRBL","2022-04-17","360","362.8","348","348","-4.66","4926"
"KRBL","2022-04-13","361","365","351","365","3.11","3432"
"KRBL","2022-04-12","374.3","374.3","350","354","-3.54","7190"
"KRBL","2022-04-11","381.4","389","362","367","-1.87","7453"
"KRBL","2022-04-07","376","381","368","374","1.22","6159"
"KRBL","2022-04-06","381","381","366","369.5","-1.20","7578"
"KRBL","2022-04-05","373","387","365","374","-1.58","9337"
"KRBL","2022-04-04","390","395","380","380","-4.28","6252"
"KRBL","2022-04-03","390","397","383.1","397","0.51","2296"
"KRBL","2022-03-31","421.2","421.2","390","395","-4.36","7743"
"KRBL","2022-03-30","389","413","382","413","6.17","24968"
"KRBL","2022-03-29","390","390","384","389","-0.71","5734"
"KRBL","2022-03-28","394","396","385","391.8","-1.68","9403"
"KRBL","2022-03-27","402","407.9","390","398.5","-2.33","7004"
"KRBL","2022-03-24","412.6","418","408","408","-3.09","7933"
"KRBL","2022-03-23","420","421","416","421","-1.41","6560"
"KRBL","2022-03-22","428","435","420.1","427","-1.39","13247"
"KRBL","2022-03-21","401","433","401","433","6.49","10247"
"KRBL","2022-03-20","415","415","404","406.6","-2.02","3813"
"KRBL","2022-03-16","408","415","407","415","1.72","8610"
"KRBL","2022-03-15","412","417.9","404.5","408","-1.09","9467"
"KRBL","2022-03-14","415.1","423.4","412.5","412.5","-2.02","4472"
"KRBL","2022-03-13","410","430","402","421","4.21","17433"
"KRBL","2022-03-10","366","404","365","404","8.89","9965"
"KRBL","2022-03-09","375","380","371","371","-2.11","3045"
"KRBL","2022-03-07","386.5","391.9","376.4","379","0.00","2366"
"KRBL","2022-03-06","370","390","370","379","1.74","9879"
"KRBL","2022-03-02","369","390","369","372.5","-0.93","6910"
"KRBL","2022-02-28","387","401.8","376","376","-2.84","6454"
"KRBL","2022-02-27","395","405","381","387","-2.35","5383"
"KRBL","2022-02-24","405","405","395","396.3","-3.58","12782"
"KRBL","2022-02-23","407","418","405.1","411","0.24","2435"
"KRBL","2022-02-22","415","422","409.3","410","0.49","10286"
"KRBL","2022-02-21","410","413.1","402.1","408","0.74","3684"
"KRBL","2022-02-20","410.6","410.6","396.3","405","-3.32","9691"
"KRBL","2022-02-17","410","418.9","410","418.9","2.42","5504"
"KRBL","2022-02-16","410","416","408","409","-1.68","5267"
"KRBL","2022-02-15","409","418.5","400.1","416","1.96","10101"
"KRBL","2022-02-14","410","415","402","408","-0.49","10119"
"KRBL","2022-02-13","421.4","421.4","406.5","410","-4.65","16295"
"KRBL","2022-02-10","432","437","420","430","0.23","9234"
"KRBL","2022-02-09","439","439","425","429","-0.46","4204"
"KRBL","2022-02-08","440.6","451","427","431","0.00","12095"
"KRBL","2022-02-07","432","448.8","424","432","-0.02","9239"
"KRBL","2022-02-06","444","448","432","432.1","-2.90","9607"
"KRBL","2022-02-03","465","466","441.1","445","-2.63","33082"
"KRBL","2022-02-01","448","463","447","457","0.44","24862"
"KRBL","2022-01-31","474","474","448","455","-2.15","24936"
"KRBL","2022-01-30","438.6","466","438.6","465","8.14","48680"
"KRBL","2022-01-27","446","446","427","430","-1.83","17062"
"KRBL","2022-01-26","456","456","431","438","-2.67","15342"
"KRBL","2022-01-25","435","455","431.8","450","2.13","31835"
"KRBL","2022-01-24","480","480","436.2","440.6","-7.82","78302"
"KRBL","2022-01-23","490","495","469","478","-2.05","26768"
"KRBL","2022-01-20","460.6","489","460.6","488","3.83","31616"
"KRBL","2022-01-19","476","493","460","470","-3.09","64808"
"KRBL","2022-01-18","493","501","478","485","-2.81","37666"
"KRBL","2022-01-17","495","499","480","499","-0.20","40241"
"KRBL","2022-01-16","479.6","514","469","500","6.34","78446"
"KRBL","2022-01-13","422","470.2","422","470.2","9.35","34541"
"KRBL","2022-01-12","439","464","425","430","-3.80","30751"
"KRBL","2022-01-11","432","454","430","447","3.47","22016"
"KRBL","2022-01-10","440","450.8","419","432","-0.46","41943"
"KRBL","2022-01-09","408","434","404","434","8.50","35465"
"KRBL","2022-01-06","378","400.8","378","400","3.73","20822"
"KRBL","2022-01-05","403.9","404.9","377","385.6","-2.63","25669"
"KRBL","2022-01-04","374","400","374","396","6.42","22320"
"KRBL","2022-01-03","379","389","365.5","372.1","0.03","8601"
"KRBL","2022-01-02","375","375","366","372","0.54","10196"
"KRBL","2021-12-29","368","380","361","370","-1.33","3047"
"KRBL","2021-12-28","363","376.9","361.1","375","1.35","9749"
"KRBL","2021-12-27","397","397","368","370","-5.13","10180"
"KRBL","2021-12-26","380","399","372.4","390","1.83","19964"
"KRBL","2021-12-23","397.6","405","382.1","383","-1.77","15128"
"KRBL","2021-12-22","367","395","367","389.9","6.24","12991"
"KRBL","2021-12-21","361","367","359","367","3.67","4839"
"KRBL","2021-12-20","362","362","342","354","-0.28","5765"
