"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"KSBBLP","2022-04-24","310","310","310","310","0.00","25000"
"KSBBLP","2022-03-22","310","310","310","310","-1.90","26894"
"KSBBLP","2022-02-22","316","316","316","316","0.00","4835"
"KSBBLP","2022-01-20","316","316","316","316","0.00","18000"
"KSBBLP","2021-10-25","381","381","381","381","0.00","12605"
"KSBBLP","2021-09-30","381","381","381","381","0.00","20122"
"KSBBLP","2021-09-09","381","381","381","381","0.00","63721"
"KSBBLP","2021-07-18","121","121","121","121","0.00","6884"
"KSBBLP","2021-07-05","121","121","121","121","0.00","5953"
"KSBBLP","2021-06-29","121","121","121","121","0.00","5784"
"KSBBLP","2021-06-22","121","121","121","121","0.00","50000"
"KSBBLP","2021-06-20","121","121","121","121","0.00","19336"
"KSBBLP","2021-04-27","121","121","121","121","0.00","6884"
"KSBBLP","2021-04-22","121","121","121","121","-1.63","22231"
"KSBBLP","2021-04-12","123","123","123","123","0.00","20044"
"KSBBLP","2021-04-04","123","123","123","123","0.00","100000"
"KSBBLP","2021-03-03","123","123","123","123","0.00","15000"
"KSBBLP","2021-01-17","123","123","123","123","0.00","1231"
"KSBBLP","2021-01-07","123","123","123","123","0.00","11333"
"KSBBLP","2020-12-30","123","123","123","123","0.00","73608"
"KSBBLP","2020-12-29","123","123","123","123","0.00","10421"
"KSBBLP","2020-11-01","123","123","123","123","0.00","23448"
"KSBBLP","2020-10-21","123","123","123","123","0.00","25666"
"KSBBLP","2020-07-23","104","104","104","104","0.00","27500"
"KSBBLP","2020-01-28","104","104","104","104","0.00","157343"
"KSBBLP","2020-01-09","104","104","104","104","0.00","50000"
"KSBBLP","2019-12-03","104","104","104","104","0.00","14335"
"KSBBLP","2019-09-22","104","104","104","104","-1.89","13515"
"KSBBLP","2019-09-11","106","106","106","106","0.00","29975"
"KSBBLP","2019-09-08","106","106","106","106","0.00","6500"
"KSBBLP","2019-08-05","106","106","106","106","0.95","13920"
"KSBBLP","2019-07-24","105","105","105","105","0.00","45139"
"KSBBLP","2019-07-23","105","105","105","105","0.00","27000"
"KSBBLP","2019-07-04","105","105","105","105","0.00","29295"
"KSBBLP","2019-06-30","105","105","105","105","0.00","6494"
"KSBBLP","2019-06-12","105","105","105","105","-1.87","101070"
"KSBBLP","2019-04-21","107","107","107","107","0.00","46000"
"KSBBLP","2019-03-19","107","107","107","107","0.00","33693"
"KSBBLP","2019-02-12","107","107","105","107","1.90","15825"
"KSBBLP","2019-02-07","105","105","105","105","0.00","55915"
"KSBBLP","2018-10-11","105","105","105","105","0.00","5000"
"KSBBLP","2018-09-30","105","105","105","105","0.00","18400"
"KSBBLP","2018-07-29","105","105","105","105","0.00","9500"
"KSBBLP","2018-07-16","105","105","105","105","0.00","13600"
"KSBBLP","2018-06-28","105","105","105","105","0.00","31232"
"KSBBLP","2018-06-24","105","105","105","105","-0.94","71060"
"KSBBLP","2018-05-08","106","106","106","106","0.00","30000"
"KSBBLP","2018-04-11","106","106","106","106","0.00","20000"
"KSBBLP","2018-03-20","106","106","106","106","0.00","22743"
"KSBBLP","2018-02-11","106","106","106","106","0.95","95000"
"KSBBLP","2017-10-17","137","139","137","139","2.96","27397"
