"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"LBBLPO","2022-04-11","248","248","248","248","0.00","12491"
"LBBLPO","2022-03-15","248","248","248","248","0.00","40000"
"LBBLPO","2021-11-03","262","262","262","262","0.00","10522"
"LBBLPO","2021-11-01","262","262","262","262","0.00","247943"
"LBBLPO","2021-10-27","262","262","262","262","0.00","247943"
"LBBLPO","2021-10-26","262","262","262","262","0.00","19070"
"LBBLPO","2021-07-20","324","324","324","324","0.00","25000"
"LBBLPO","2021-07-15","324","324","324","324","0.00","3930"
"LBBLPO","2021-02-09","110","118","110","118","0.09","56152"
"LBBLPO","2020-08-13","106","106","106","106","0.00","39553"
"LBBLPO","2020-02-27","113","113","113","113","0.00","1000"
"LBBLPO","2020-01-13","113","113","113","113","0.00","149145"
"LBBLPO","2019-11-21","113","113","113","113","0.00","71000"
"LBBLPO","2019-08-05","113","113","113","113","0.00","46000"
"LBBLPO","2019-06-20","113","113","113","113","0.00","3000"
"LBBLPO","2019-02-06","113","115","113","113","-1.74","6000"
"LBBLPO","2019-01-10","115","115","115","115","0.00","43070"
"LBBLPO","2019-01-06","115","115","115","115","0.00","14000"
"LBBLPO","2018-12-19","110","115","110","115","4.55","71506"
"LBBLPO","2018-09-30","110","110","110","110","0.00","76078"
"LBBLPO","2018-07-09","110","110","110","110","0.00","40000"
"LBBLPO","2018-02-06","105","105","105","105","0.00","50000"
