"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"LBLD86","2022-04-24","971","971","971","971","-2.00","50"
"LBLD86","2022-04-12","990.8","990.8","990.8","990.8","-2.00","25"
"LBLD86","2022-01-10","1011","1011","1011","1011","0.10","25"
"LBLD86","2022-01-06","1024","1025","1010","1010","0.50","90"
"LBLD86","2021-12-13","1005","1005","1005","1005","1.20","25"
"LBLD86","2021-12-07","993.1","993.1","993.1","993.1","0.21","25"
"LBLD86","2021-12-06","991","991","991","991","-1.39","25"
"LBLD86","2021-11-14","1005","1005","1005","1005","0.00","25"
"LBLD86","2021-10-27","1005","1005","1005","1005","-1.95","30"
"LBLD86","2021-10-25","1025","1025","1025","1025","-1.91","10"
"LBLD86","2021-09-27","1045","1045","1045","1045","0.00","25"
"LBLD86","2021-09-26","1045","1045","1045","1045","0.00","450"
"LBLD86","2021-09-16","1042","1045","1042","1045","-0.95","95"
"LBLD86","2021-09-02","1055","1055","1055","1055","0.00","360"
"LBLD86","2021-08-29","1055","1055","1055","1055","-0.47","75"
"LBLD86","2021-08-16","1060","1060","1060","1060","0.95","95"
"LBLD86","2021-08-11","1050","1050","1050","1050","0.00","15"
"LBLD86","2021-08-10","1050","1050","1050","1050","-0.47","50"
"LBLD86","2021-08-09","1050","1055","1050","1055","1.34","90"
"LBLD86","2021-08-08","1041.1","1041.1","1041.1","1041.1","0.11","300"
"LBLD86","2021-08-05","1040","1040","1040","1040","1.96","20"
"LBLD86","2021-08-04","1020","1020","1020","1020","0.00","30"
"LBLD86","2021-08-02","1020","1020","1020","1020","0.43","500"
"LBLD86","2021-07-26","1030","1030","1015.6","1015.6","-0.92","20"
"LBLD86","2021-07-25","1040","1040","1025","1025","-3.30","50"
"LBLD86","2021-07-12","1060","1060","1060","1060","1.73","190"
"LBLD86","2021-07-11","1042","1042","1042","1042","-1.23","25"
"LBLD86","2021-07-04","1055","1055","1055","1055","0.00","65"
"LBLD86","2021-06-30","1055","1055","1055","1055","-0.09","25"
"LBLD86","2021-06-28","1057","1057","1056","1056","-1.86","20"
"LBLD86","2021-06-21","1076","1076","1076","1076","1.99","50"
"LBLD86","2021-06-20","1055","1055","1055","1055","0.29","25"
"LBLD86","2021-06-15","1052","1052","1052","1052","-1.22","25"
"LBLD86","2021-06-13","1045","1065","1050","1065","1.91","125"
"LBLD86","2021-06-03","1045","1045","1045","1045","-0.48","25"
"LBLD86","2021-06-01","1047","1050","1050","1050","0.29","25"
"LBLD86","2021-05-30","1050","1050","1047","1047","0.10","50"
"LBLD86","2021-05-19","1046","1046","1046","1046","0.10","25"
"LBLD86","2021-05-17","1045","1045","1045","1045","-0.48","25"
"LBLD86","2021-05-16","1050","1050","1050","1050","0.00","25"
"LBLD86","2021-05-13","1050","1050","1050","1050","0.48","25"
"LBLD86","2021-05-11","1045","1045","1045","1045","0.00","25"
"LBLD86","2021-05-09","1045","1045","1045","1045","-0.95","25"
"LBLD86","2021-05-06","1050","1055","1050","1055","0.48","131"
"LBLD86","2021-05-03","1045","1050","1045","1050","0.00","35"
"LBLD86","2021-05-02","1050","1050","1050","1050","0.00","50"
"LBLD86","2021-04-29","1050","1050","1050","1050","0.00","100"
"LBLD86","2021-04-28","1050","1050","1050","1050","Infinity","50"
