"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"LBLPO","2021-12-09","163","163","163","163","0.00","30203"
"LBLPO","2021-06-09","211","211","211","211","-0.02","66968"
"LBLPO","2020-12-31","137","137","137","137","0.00","3525"
"LBLPO","2020-10-21","137","137","137","137","-1.44","266431"
"LBLPO","2019-10-23","112","112","112","112","0.00","2561"
"LBLPO","2019-09-12","112","112","112","112","-1.75","419717"
"LBLPO","2019-09-11","114","114","114","114","-1.72","167032"
"LBLPO","2018-02-28","145","145","145","145","1.40","2280"
"LBLPO","2017-06-13","265","265","265","265","-1.85","250"
"LBLPO","2017-02-22","440","440","440","440","0.00","750"
"LBLPO","2016-09-21","440","440","440","440","-1.12","7000"
"LBLPO","2016-09-12","445","445","445","445","-1.33","61000"
"LBLPO","2016-09-08","451","451","451","451","-1.96","62000"
"LBLPO","2016-04-10","326","320","320","320","-1.84","18471"
"LBLPO","2015-11-08","245","245","245","245","0.00","60000"
"LBLPO","2015-10-08","245","245","245","245","-2.00","324068"
"LBLPO","2015-07-15","250","250","250","250","-1.96","138607"
"LBLPO","2015-06-16","260","255","255","255","-1.92","137557"
"LBLPO","2015-06-02","128","260","260","260","-1.89","2100"
"LBLPO","2013-10-02","128","128","128","128","0.00","6945"
"LBLPO","2013-10-01","128","128","128","128","0.00","13891"
"LBLPO","2013-09-29","128","128","128","128","0.00","74000"
"LBLPO","2013-09-22","128","128","128","128","0.00","70992"
