"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"LEC","2022-05-05","296","298","277.6","283","-5.98","9225"
"LEC","2022-05-04","301.3","313","289.2","301","-1.95","10916"
"LEC","2022-05-02","322.5","322.5","305.8","307","-6.69","12965"
"LEC","2022-04-28","331","331","317","329","0.92","5169"
"LEC","2022-04-27","317","326","305.1","326","0.93","7939"
"LEC","2022-04-26","322","331","316","323","-1.52","3226"
"LEC","2022-04-25","328","339","316","328","0.18","10587"
"LEC","2022-04-24","312","331","301.2","327.4","6.64","11207"
"LEC","2022-04-21","315","315","297","307","-2.23","16403"
"LEC","2022-04-20","323","323","307","314","-0.95","1160"
"LEC","2022-04-19","311","323","307.2","317","0.32","4927"
"LEC","2022-04-18","321.4","329","312.1","316","-3.63","8556"
"LEC","2022-04-17","345.7","345.7","325.4","327.9","-3.27","8787"
"LEC","2022-04-13","335.5","339","326.6","339","1.04","10725"
"LEC","2022-04-12","341.1","344","333.5","335.5","-2.75","4260"
"LEC","2022-04-11","367.2","368.9","341.3","345","-4.17","26592"
"LEC","2022-04-07","353.1","364.7","352","360","1.95","15890"
"LEC","2022-04-06","352.8","359","346","353.1","-1.92","14762"
"LEC","2022-04-05","361","361","344","360","1.41","9790"
"LEC","2022-04-04","346","355","345","355","2.01","20334"
"LEC","2022-04-03","354","354","346","348","-3.33","13182"
"LEC","2022-03-31","367","373","356.3","360","-1.91","17447"
"LEC","2022-03-30","350","367","345.1","367","4.86","18478"
"LEC","2022-03-29","359","359","348.1","350","-2.21","8364"
"LEC","2022-03-28","363","363","341.9","357.9","-1.13","9446"
"LEC","2022-03-27","360","365","347.2","362","0.50","23852"
"LEC","2022-03-24","366.1","377.9","359","360.2","-3.43","12252"
"LEC","2022-03-23","368","375","364","373","-0.24","5986"
"LEC","2022-03-22","377","382","367","373.9","-0.82","22213"
"LEC","2022-03-21","358","380","355","377","4.14","13312"
"LEC","2022-03-20","362.7","384","360.2","362","-2.14","12052"
"LEC","2022-03-16","387.6","390","360","369.9","-2.66","28061"
"LEC","2022-03-15","379","389","373","380","-1.55","29535"
"LEC","2022-03-14","380","387","378.3","386","0.49","3072"
"LEC","2022-03-13","375","395","371.5","384.1","2.43","32557"
"LEC","2022-03-10","356","375","355.8","375","3.31","12620"
"LEC","2022-03-09","378","378","352","363","-2.42","11995"
"LEC","2022-03-07","369","372","356","372","0.54","13491"
"LEC","2022-03-06","372.3","372.3","358","370","1.37","11467"
"LEC","2022-03-02","369","375.6","351","365","-2.93","31875"
"LEC","2022-02-28","404.9","405","374.4","376","-5.29","20295"
"LEC","2022-02-27","392","402.9","383.1","397","1.79","23790"
"LEC","2022-02-24","389","401","385","390","-1.52","25379"
"LEC","2022-02-23","403","409.9","392","396","0.00","31499"
