"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"LEMF","2022-05-05","10.25","10.25","10.14","10.14","-1.93","23100"
"LEMF","2022-05-04","10.55","10.55","10.34","10.34","-3.81","15000"
"LEMF","2022-05-02","10.75","10.75","10.75","10.75","1.32","500"
"LEMF","2022-04-28","10.75","10.75","10.61","10.61","-1.67","51000"
"LEMF","2022-04-27","10.71","10.79","10.68","10.79","-0.92","17100"
"LEMF","2022-04-26","10.71","10.89","10.71","10.89","1.68","25717"
"LEMF","2022-04-25","10.67","10.71","10.5","10.71","2.29","4200"
"LEMF","2022-04-24","10.25","10.47","10.25","10.47","0.67","8600"
"LEMF","2022-04-21","10.25","10.4","10.2","10.4","0.00","44328"
"LEMF","2022-04-20","10.3","10.4","10.26","10.4","0.00","2050"
"LEMF","2022-04-19","10.4","10.4","10.4","10.4","1.96","1000"
"LEMF","2022-04-18","10.5","10.53","10.2","10.2","-1.26","25278"
"LEMF","2022-04-17","10.5","10.5","10.31","10.33","-1.62","14200"
"LEMF","2022-04-13","10.5","10.5","10.5","10.5","-0.94","1000"
"LEMF","2022-04-12","10.62","10.62","10.6","10.6","-2.12","24358"
"LEMF","2022-04-11","10.62","10.83","10.62","10.83","0.28","300"
"LEMF","2022-04-07","10.6","10.91","10.49","10.8","3.65","202090"
"LEMF","2022-04-06","10.45","10.45","10.42","10.42","0.48","35500"
"LEMF","2022-04-05","10.32","10.37","10.32","10.37","-1.24","5500"
"LEMF","2022-04-04","10.4","10.6","10.2","10.5","1.06","48550"
"LEMF","2022-04-03","10.4","10.45","10.35","10.39","0.58","24800"
"LEMF","2022-03-31","10.35","10.4","10.27","10.33","-1.15","42100"
"LEMF","2022-03-30","10.34","10.45","10.34","10.45","0.58","14100"
"LEMF","2022-03-29","10.4","10.45","10.39","10.39","-0.48","10700"
"LEMF","2022-03-28","10.4","10.5","10.4","10.44","0.38","30373"
"LEMF","2022-03-27","10.5","10.5","10.4","10.4","-1.42","65965"
"LEMF","2022-03-24","10.35","10.55","10.35","10.55","1.25","54099"
"LEMF","2022-03-23","10.6","10.6","10.4","10.42","0.19","13200"
"LEMF","2022-03-22","10.4","10.6","10.39","10.4","0.00","81200"
"LEMF","2022-03-21","10.4","10.4","10.4","10.4","0.19","1100"
"LEMF","2022-03-20","10.33","10.5","10.33","10.38","-0.19","11500"
"LEMF","2022-03-16","10.53","10.53","10.4","10.4","-1.23","12500"
"LEMF","2022-03-15","10.71","10.71","10.51","10.53","-2.59","26200"
"LEMF","2022-03-14","10.81","10.81","10.81","10.81","1.98","1000"
"LEMF","2022-03-13","10.3","10.6","10.3","10.6","4.54","13600"
"LEMF","2022-03-10","10.2","10.25","10.14","10.14","-1.17","2500"
"LEMF","2022-03-09","10.49","10.5","10.26","10.26","-0.29","47950"
"LEMF","2022-03-07","10.59","10.59","10.29","10.29","-0.96","54200"
"LEMF","2022-03-06","10.26","10.65","10.26","10.39","-0.57","47165"
"LEMF","2022-03-02","10.51","10.51","10.45","10.45","-1.88","52000"
"LEMF","2022-02-28","10.51","10.65","10.48","10.65","1.24","53500"
"LEMF","2022-02-27","10.54","10.55","10.52","10.52","-1.31","30508"
"LEMF","2022-02-24","10.63","10.68","10.52","10.66","0.19","85550"
"LEMF","2022-02-23","10.79","10.79","10.64","10.64","-3.27","1500"
"LEMF","2022-02-22","10.8","11","10.58","11","3.09","54785"
"LEMF","2022-02-21","10.55","10.67","10.55","10.67","0.00","6974"
"LEMF","2022-02-20","11","11","10.61","10.67","-3.00","34100"
"LEMF","2022-02-17","10.99","11.1","10.99","11","0.73","11000"
"LEMF","2022-02-16","11.17","11.17","10.92","10.92","-0.73","40300"
"LEMF","2022-02-15","10.75","11","10.75","11","2.33","88850"
"LEMF","2022-02-14","10.53","10.75","10.53","10.75","0.47","33500"
"LEMF","2022-02-13","10.53","10.7","10.5","10.7","-0.09","15600"
"LEMF","2022-02-10","10.38","10.71","10.38","10.71","1.13","30600"
"LEMF","2022-02-09","10.69","10.74","10.59","10.59","-1.49","57000"
"LEMF","2022-02-08","10.61","10.75","10.6","10.75","0.00","62100"
