"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"LFC","2019-06-06","126","126","126","126","-1.56","200"
"LFC","2019-05-29","130","130","128","128","-1.54","150"
"LFC","2019-04-01","130","130","130","130","0.00","252"
"LFC","2019-03-31","130","130","130","130","0.00","1878"
"LFC","2019-03-17","130","130","130","130","1.56","55"
"LFC","2019-01-29","133","133","128","128","-3.76","300"
"LFC","2019-01-09","135","135","133","133","-1.48","10"
"LFC","2019-01-01","134","135","134","135","0.75","490"
"LFC","2018-12-31","132","134","132","134","1.52","10"
"LFC","2018-12-27","136","136","134","134","-1.47","1990"
"LFC","2018-12-26","138","138","136","136","-1.45","361"
"LFC","2018-12-25","140","140","138","138","-1.43","1000"
"LFC","2018-12-20","150","150","140","140","-6.67","5742"
"LFC","2018-12-19","150","150","150","150","0.00","5500"
"LFC","2018-12-18","149","150","149","150","0.67","6500"
"LFC","2018-09-13","149","149","149","149","0.00","40"
"LFC","2018-09-12","149","149","149","149","-1.97","223"
"LFC","2018-09-09","152","152","152","152","-1.30","100"
"LFC","2018-09-06","154","154","154","154","1.99","500"
"LFC","2018-08-16","164","164","151","151","-9.58","771"
"LFC","2018-08-14","167","167","167","167","-1.76","220"
"LFC","2018-06-20","167","170","167","170","0.00","170"
"LFC","2018-06-04","170","170","170","170","-1.73","50"
"LFC","2018-06-03","173","173","173","173","1.76","50"
"LFC","2018-05-31","170","170","170","170","-1.73","300"
"LFC","2018-05-30","176","176","173","173","-3.35","255"
"LFC","2018-05-29","179","179","179","179","-1.65","100"
"LFC","2018-05-28","179","182","182","182","1.68","10"
"LFC","2018-05-24","176","179","179","179","1.70","90"
"LFC","2018-05-22","176","176","176","176","1.73","100"
"LFC","2018-05-21","176","176","173","173","0.00","510"
"LFC","2018-05-20","173","176","173","173","1.76","800"
"LFC","2018-05-17","170","170","170","170","-1.16","500"
"LFC","2018-05-16","172","172","172","172","1.78","901"
"LFC","2018-05-08","169","169","169","169","-1.74","14"
"LFC","2018-05-07","172","172","172","172","-1.71","30"
"LFC","2018-05-06","178","178","175","175","-3.31","260"
"LFC","2018-04-26","184","184","181","181","0.00","250"
"LFC","2018-04-25","181","181","181","181","-1.63","600"
"LFC","2018-04-24","185","184","184","184","1.10","70"
"LFC","2018-04-23","180","182","180","182","2.82","833"
"LFC","2018-04-19","177","177","177","177","-1.67","750"
"LFC","2018-04-18","180","180","180","180","1.12","600"
"LFC","2018-04-17","175","178","178","178","1.71","215"
"LFC","2018-04-16","172","175","172","175","1.74","1195"
"LFC","2018-04-12","172","172","172","172","-1.71","50"
"LFC","2018-04-09","175","175","175","175","0.00","100"
"LFC","2018-04-08","172","178","172","175","2.94","349"
"LFC","2018-04-05","170","170","170","170","1.80","610"
"LFC","2018-04-04","167","167","167","167","1.83","192"
"LFC","2018-04-03","167","167","164","164","-3.53","337"
"LFC","2018-03-27","170","170","170","170","-1.73","40"
"LFC","2018-03-14","173","173","173","173","1.17","20"
"LFC","2018-03-13","171","171","171","171","0.59","100"
"LFC","2018-03-07","173","173","170","170","0.00","600"
"LFC","2018-03-06","164","170","161","170","5.59","3522"
"LFC","2018-03-04","161","161","161","161","-1.83","88"
"LFC","2018-02-28","164","164","164","164","-1.80","600"
"LFC","2018-02-25","167","167","167","167","-1.76","20"
"LFC","2018-02-15","167","170","167","170","3.66","834"
"LFC","2018-02-12","164","164","164","164","-1.80","245"
"LFC","2018-02-07","167","167","167","167","-1.76","100"
"LFC","2018-02-06","170","170","168","170","0.59","1070"
"LFC","2018-02-05","169","169","169","169","-1.74","300"
"LFC","2018-02-04","171","172","171","172","2.38","75"
"LFC","2018-01-31","168","168","168","168","-1.18","15"
"LFC","2018-01-28","164","170","161","170","1.80","320"
"LFC","2018-01-17","170","172","167","167","-3.47","1340"
"LFC","2018-01-16","173","176","170","173","-1.70","2325"
"LFC","2018-01-14","180","180","176","176","-3.83","1209"
"LFC","2018-01-10","184","184","183","183","-0.54","1200"
"LFC","2018-01-09","187","184","184","184","-1.60","100"
"LFC","2018-01-04","183","187","182","187","3.89","688"
"LFC","2018-01-03","180","180","180","180","-0.55","100"
"LFC","2018-01-02","193","193","181","181","-4.74","530"
"LFC","2018-01-01","190","190","189","190","0.53","810"
"LFC","2017-12-31","189","189","189","189","-1.56","20"
"LFC","2017-12-27","183","192","183","192","4.92","3723"
"LFC","2017-12-26","183","186","183","183","-3.17","240"
