"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"LGIL","2022-05-05","620","620","597","597","-3.08","7154"
"LGIL","2022-05-04","627","632","615.3","616","-1.75","5753"
"LGIL","2022-05-02","643","643","625.1","627","-4.42","3775"
"LGIL","2022-04-28","664.9","666","647","656","0.17","3504"
"LGIL","2022-04-27","651.1","657","649","654.9","-0.77","3669"
"LGIL","2022-04-26","672","672","649","660","-0.09","4964"
"LGIL","2022-04-25","683","683","660.6","660.6","-3.28","6414"
"LGIL","2022-04-24","655","693.5","647","683","5.58","7895"
"LGIL","2022-04-21","632","655.8","632","646.9","0.61","5725"
"LGIL","2022-04-20","668","668","643","643","-3.31","9174"
"LGIL","2022-04-19","678","682.9","655","665","-1.95","5578"
"LGIL","2022-04-18","696.8","696.8","678","678.2","-4.61","9063"
"LGIL","2022-04-17","694","711","667","711","1.86","10616"
"LGIL","2022-04-13","690","703.8","678.2","698","0.72","4177"
"LGIL","2022-04-12","700","706","687","693","-2.38","6031"
"LGIL","2022-04-11","737","737","705","709.9","-1.95","6907"
"LGIL","2022-04-07","710","724","706.1","724","1.69","6506"
"LGIL","2022-04-06","710","720","701","712","-0.97","8381"
"LGIL","2022-04-05","726","734","707.5","719","-2.31","41151"
"LGIL","2022-04-04","727","740","718","736","1.78","22731"
"LGIL","2022-04-03","721","729","720","723.1","0.29","9031"
"LGIL","2022-03-31","749","750","721","721","-2.70","8647"
"LGIL","2022-03-30","715","741","715","741","2.92","8919"
"LGIL","2022-03-29","733","735","715.7","720","-1.37","8425"
"LGIL","2022-03-28","740","748","727","730","-2.01","21406"
"LGIL","2022-03-27","768","800.1","745","745","-1.06","77126"
"LGIL","2022-03-24","731","761","730","753","2.45","26211"
"LGIL","2022-03-23","730","755","726.3","735","-0.68","7838"
"LGIL","2022-03-22","742","742","735","740","0.68","12630"
"LGIL","2022-03-21","735","738","726","735","1.51","7270"
"LGIL","2022-03-20","730","738","724","724.1","-0.81","14286"
"LGIL","2022-03-16","729","739.5","721","730","1.39","28423"
"LGIL","2022-03-15","727","731","718","720","0.42","11662"
"LGIL","2022-03-14","716","726.9","707.3","717","-0.55","5527"
"LGIL","2022-03-13","686","721","679.2","721","5.10","26507"
"LGIL","2022-03-10","640","686","639.2","686","5.54","12388"
"LGIL","2022-03-09","662","663","650","650","-1.69","12353"
"LGIL","2022-03-07","684","684","661.1","661.2","-1.90","7360"
"LGIL","2022-03-06","680","680","659.2","674","-0.88","5447"
"LGIL","2022-03-02","679.2","685","673.2","680","-1.73","11608"
"LGIL","2022-02-28","712","713","688","692","-3.62","12391"
"LGIL","2022-02-27","708.1","722","706.2","718","-0.28","9446"
"LGIL","2022-02-24","719.4","730","696","720","-1.91","38911"
"LGIL","2022-02-23","736","748.8","729","734","-0.94","4851"
"LGIL","2022-02-22","734","741","725","741","2.63","25205"
"LGIL","2022-02-21","723","738","710","722","0.11","7406"
"LGIL","2022-02-20","734","740","721.2","721.2","-3.32","8438"
"LGIL","2022-02-17","755","755","742.1","746","-0.13","3798"
"LGIL","2022-02-16","745","764","744","747","-1.56","9755"
"LGIL","2022-02-15","744","758.8","735","758.8","3.79","12364"
"LGIL","2022-02-14","735","748.9","730","731.1","0.15","14517"
"LGIL","2022-02-13","756","756","725","730","-4.74","21393"
"LGIL","2022-02-10","775","790.5","766.3","766.3","-0.74","24227"
"LGIL","2022-02-09","779","781","769","772","-1.15","7907"
"LGIL","2022-02-08","795.9","805","775","781","0.00","46295"
"LGIL","2022-02-07","770","790.6","767.1","780.5","1.89","17467"
"LGIL","2022-02-06","775","782","765.4","766","-1.54","13317"
"LGIL","2022-02-03","807","807","778","778","-2.75","29500"
"LGIL","2022-02-01","776","802","776","800","1.14","19898"
"LGIL","2022-01-31","823","823","789","791","-2.22","21905"
"LGIL","2022-01-30","787","812.9","775","809","4.79","45319"
"LGIL","2022-01-27","775","790","771","772","-1.40","25389"
"LGIL","2022-01-26","780","784","762","783","-0.63","33314"
"LGIL","2022-01-25","773","803","772","788","0.13","33768"
"LGIL","2022-01-24","803","807","765","787","-3.67","120917"
"LGIL","2022-01-23","820","826","802","817","0.86","41181"
"LGIL","2022-01-20","795","811.9","780","810","2.77","36780"
"LGIL","2022-01-19","804","815","783","788.2","-0.61","44621"
"LGIL","2022-01-18","800","812","792","793","-1.25","70467"
"LGIL","2022-01-17","784.3","812","784.3","803","0.50","84293"
"LGIL","2022-01-16","804","816","792","799","1.27","64300"
"LGIL","2022-01-13","735","801","735","789","5.62","69241"
"LGIL","2022-01-12","766","790","745","747","-1.45","75085"
"LGIL","2022-01-11","733","770","713","758","4.86","57627"
"LGIL","2022-01-10","730","743.9","710","722.9","0.96","31671"
"LGIL","2022-01-09","691","720","690","716","3.77","61532"
"LGIL","2022-01-06","670","695","670","690","1.17","7601"
"LGIL","2022-01-05","709","710","675","682","-2.43","27457"
"LGIL","2022-01-04","700","700","685","699","1.16","13630"
"LGIL","2022-01-03","717","717","685","691","-2.12","28734"
"LGIL","2022-01-02","692.9","706.5","679","706","3.82","28433"
"LGIL","2021-12-29","670","683","650","680","1.49","20411"
"LGIL","2021-12-28","666","670","635","670","0.60","17030"
"LGIL","2021-12-27","718","732.3","656.6","666","-5.40","62113"
"LGIL","2021-12-26","652","704","645","704","10.00","57747"
"LGIL","2021-12-23","640","658","619","640","1.91","18702"
"LGIL","2021-12-22","610","631.3","600","628","4.84","23523"
"LGIL","2021-12-21","595","605","590","599","1.87","5841"
"LGIL","2021-12-20","604","604","570","588","-1.01","6302"
"LGIL","2021-12-16","611","611","584","594","-1.00","7402"
"LGIL","2021-12-15","616","628","588","600","-0.83","13851"
"LGIL","2021-12-14","583","606","583","605","5.77","7928"
"LGIL","2021-12-13","600","615","566.5","572","-5.45","24626"
"LGIL","2021-12-12","634","649","605","605","-5.01","13245"
"LGIL","2021-12-09","621","641","621","636.9","1.10","6154"
"LGIL","2021-12-08","650","655","630","630","-2.02","9589"
"LGIL","2021-12-07","677.2","690","643","643","-3.16","8678"
"LGIL","2021-12-06","650","682","636","664","0.61","13072"
"LGIL","2021-12-05","662","675","645","660","-2.00","15917"
"LGIL","2021-12-02","684","697","670","673.5","-3.37","10644"
"LGIL","2021-12-01","703","710","685.1","697","0.00","6701"
"LGIL","2021-11-30","700","709.8","685","697","-0.14","5397"
"LGIL","2021-11-29","696","737","691","698","0.29","9199"
"LGIL","2021-11-28","728.9","728.9","695.8","696","-4.51","23107"
"LGIL","2021-11-25","755","755","726","728.9","-1.63","7092"
"LGIL","2021-11-24","741","746.9","730","741","0.00","8238"
"LGIL","2021-11-23","748","769.9","735","741","-2.88","18822"
"LGIL","2021-11-22","773","783","755","763","0.26","31586"
"LGIL","2021-11-21","756","780","752.7","761","-1.04","25766"
"LGIL","2021-11-18","799","800","754.5","769","-2.53","20230"
"LGIL","2021-11-17","765","803","754","789","4.64","66470"
"LGIL","2021-11-16","720","758.5","720","754","3.30","22295"
"LGIL","2021-11-15","730","740","721","729.9","1.80","14543"
"LGIL","2021-11-14","690","720","683","717","3.17","11877"
"LGIL","2021-11-11","697","710","686","695","-2.25","12400"
"LGIL","2021-11-09","731","745.6","708","711","-4.56","14708"
