"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"LICN","2022-05-05","1690","1723.8","1630","1689.8","-1.64","15026"
"LICN","2022-05-04","1810","1810","1670","1717.9","-3.33","11697"
"LICN","2022-05-02","1875","1875","1750","1777","-3.42","10669"
"LICN","2022-04-28","1875","1875","1802","1840","0.04","9073"
"LICN","2022-04-27","1876.8","1876.8","1816","1839.2","-0.04","3123"
"LICN","2022-04-26","1869","1869","1830","1840","-1.60","3745"
"LICN","2022-04-25","1899","1899","1840","1870","-1.32","7646"
"LICN","2022-04-24","1865","1900","1830","1895","2.83","8479"
"LICN","2022-04-21","1813","1855.3","1800","1842.8","1.31","9904"
"LICN","2022-04-20","1880","1880","1817","1819","-2.20","9434"
"LICN","2022-04-19","1890","1890","1846","1860","-0.20","8656"
"LICN","2022-04-18","1935","1935","1851.1","1863.8","-2.36","4876"
"LICN","2022-04-17","1976","1976","1880","1908.9","-1.60","6710"
"LICN","2022-04-13","1968","1968","1917.5","1939.9","-0.01","6411"
"LICN","2022-04-12","2017","2020","1932","1940","-1.92","6557"
"LICN","2022-04-11","2063.4","2139","1976","1978","-2.22","11551"
"LICN","2022-04-07","1987.7","2070","1950","2023","2.79","8889"
"LICN","2022-04-06","1985","1985","1931","1968","0.87","6647"
"LICN","2022-04-05","2054","2054","1950","1951","-4.59","15294"
"LICN","2022-04-04","2092","2133","2019","2044.9","-0.34","7735"
"LICN","2022-04-03","2098","2098","2034","2051.8","-0.93","18900"
"LICN","2022-03-31","2145","2145","2070.1","2071","-2.36","6291"
"LICN","2022-03-30","2140","2140","2058","2121","0.63","14400"
"LICN","2022-03-29","2160","2160","2073","2107.8","-0.99","13994"
"LICN","2022-03-28","2100","2164.9","2100","2128.8","-0.38","26556"
"LICN","2022-03-27","2143","2274","2137","2137","1.70","68532"
"LICN","2022-03-24","2029.6","2120","1990","2101.2","5.59","54363"
"LICN","2022-03-23","2005","2007","1987","1989.9","-0.75","6833"
"LICN","2022-03-22","2040","2051.9","1990.1","2005","-0.34","9845"
"LICN","2022-03-21","2040","2040","1961","2011.9","-0.10","5594"
"LICN","2022-03-20","2077","2077","1970","2014","-1.18","13796"
"LICN","2022-03-16","2078.5","2089","2002","2038","-0.58","13534"
"LICN","2022-03-15","2044","2087","1968.1","2049.8","2.18","16338"
"LICN","2022-03-14","1970","2030","1970","2006","2.77","30910"
"LICN","2022-03-13","1846","1952","1840","1952","7.85","25394"
"LICN","2022-03-10","1755","1810","1730","1810","3.13","7448"
"LICN","2022-03-09","1780","1790","1719.1","1755","-2.93","9898"
"LICN","2022-03-07","1809","1849.9","1764","1807.9","-1.58","5235"
"LICN","2022-03-06","1849","1849","1780","1837","1.16","3322"
"LICN","2022-03-02","1934","1934","1816","1816","-4.26","10859"
"LICN","2022-02-28","1970","1970","1849.1","1896.9","-1.81","8837"
"LICN","2022-02-27","1986","1986","1905","1931.9","-0.88","4400"
"LICN","2022-02-24","1980","1980","1887","1949","-2.01","9430"
"LICN","2022-02-23","1970","1988.9","1960","1988.9","0.45","9103"
"LICN","2022-02-22","2010","2010","1980","1980","-0.60","8656"
