"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"LIFEINSU","2022-05-05","12004.55","12024.37","11659.22","11744.39","0.00","201561785.5"
"LIFEINSU","2022-05-04","12253.1","12302.07","11951.73","12004.54","0.00","103037574.8"
"LIFEINSU","2022-05-02","12679.06","12749.73","12202.19","12253.1","0.00","120301928.9"
"LIFEINSU","2022-04-28","12764.03","12829.46","12532.44","12595.35","0.00","96066595.5"
"LIFEINSU","2022-04-27","12810.81","12863.99","12597.49","12746.09","0.00","69101234.2"
"LIFEINSU","2022-04-26","12836.63","12931.82","12671.54","12740.77","0.00","66965131.7"
"LIFEINSU","2022-04-25","13035.94","13195.49","12788.05","12836.62","0.00","139937120.3"
"LIFEINSU","2022-04-24","12612.57","13103.63","12600.03","13035.93","0.00","203284738.4"
"LIFEINSU","2022-04-21","12538.43","12647.25","12346.13","12612.57","0.00","140868536.3"
"LIFEINSU","2022-04-20","12784.9","12854.95","12518.23","12538.42","0.00","100114618.8"
"LIFEINSU","2022-04-19","12675.54","12871.22","12544.49","12784.89","0.00","113695456.3"
"LIFEINSU","2022-04-18","12951.2","12986.2","12672.2","12687.24","0.00","118992442.7"
"LIFEINSU","2022-04-17","13155.69","13307.03","12870.06","12951.19","0.00","128022412.9"
"LIFEINSU","2022-04-13","13044.15","13217.57","12946.65","13152.06","0.00","117011263.8"
"LIFEINSU","2022-04-12","13312","13384.25","13027.82","13056.82","0.00","142324646"
"LIFEINSU","2022-04-11","13712.77","14044.24","13200.11","13271.05","0.00","362125644.8"
"LIFEINSU","2022-04-07","13440.51","13798.02","13412.65","13702.87","0.00","207556953.3"
"LIFEINSU","2022-04-06","13511.23","13630.03","13348.32","13440.5","0.00","208402526.6"
"LIFEINSU","2022-04-05","13928.25","13951.89","13418.86","13511.23","0.00","347403118.9"
"LIFEINSU","2022-04-04","14079.11","14191.25","13895.26","13943.51","0.00","182772189.6"
"LIFEINSU","2022-04-03","14277.96","14296.69","14026.4","14060.97","0.00","277868479.7"
"LIFEINSU","2022-03-31","14454.25","14540.96","14234.71","14277.96","0.00","198897710"
"LIFEINSU","2022-03-30","14281.6","14456.58","14069.96","14454.25","0.00","252744204.3"
"LIFEINSU","2022-03-29","14462.49","14608.85","14141.29","14242.85","0.00","196251391.1"
"LIFEINSU","2022-03-28","14817.1","14891.4","14414.35","14462.48","0.00","345363243.6"
"LIFEINSU","2022-03-27","15181.57","15729.15","14773.15","14805.8","0.00","1259081156.9"
