"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"LLBS","2022-05-05","1251.1","1275","1250","1250","-1.96","390"
"LLBS","2022-05-04","1280","1300","1275","1275","-0.41","534"
"LLBS","2022-05-02","1305","1320","1280.2","1280.2","-3.82","475"
"LLBS","2022-04-28","1344","1344","1291","1331","-0.97","489"
"LLBS","2022-04-27","1271.1","1344","1271","1344","3.78","179"
"LLBS","2022-04-26","1339","1339","1285.2","1295","-3.43","1015"
"LLBS","2022-04-25","1346","1346","1340","1341","-0.37","242"
"LLBS","2022-04-24","1269","1346.4","1269","1346","4.02","546"
"LLBS","2022-04-21","1293","1294","1269.2","1294","0.08","817"
"LLBS","2022-04-20","1324","1324","1293","1293","-1.73","2315"
"LLBS","2022-04-19","1320","1325","1290","1315.8","0.75","467"
"LLBS","2022-04-18","1299","1325","1275","1306","-1.43","1745"
"LLBS","2022-04-17","1363.7","1367","1325","1325","-0.90","395"
"LLBS","2022-04-13","1311","1337","1285","1337","1.98","429"
"LLBS","2022-04-12","1314.1","1325","1311","1311","-1.80","530"
"LLBS","2022-04-11","1333","1340","1311","1335","0.53","1033"
"LLBS","2022-04-07","1338","1355","1328","1328","-0.75","559"
"LLBS","2022-04-06","1345","1355","1320","1338","-0.52","446"
"LLBS","2022-04-05","1380","1380","1320.1","1345","-2.39","848"
"LLBS","2022-04-04","1379","1379","1345","1378","-0.07","875"
"LLBS","2022-04-03","1379","1379","1379","1379","-1.57","180"
"LLBS","2022-03-31","1414","1415","1362","1401","0.07","755"
"LLBS","2022-03-30","1352","1400","1352","1400","3.02","881"
"LLBS","2022-03-29","1355","1359","1350","1359","-1.52","675"
"LLBS","2022-03-28","1380","1388","1360","1380","-1.36","494"
"LLBS","2022-03-27","1400","1400","1374","1399","-0.07","820"
"LLBS","2022-03-24","1400","1420","1392","1400","-1.41","723"
"LLBS","2022-03-23","1429","1430","1410","1420","0.57","277"
"LLBS","2022-03-22","1413.7","1428.9","1400","1412","1.88","2394"
"LLBS","2022-03-21","1370","1397","1370","1386","-0.29","902"
"LLBS","2022-03-20","1386.7","1400","1386.7","1390","-1.77","230"
"LLBS","2022-03-16","1375","1419.9","1375","1415","1.07","928"
"LLBS","2022-03-15","1380","1400","1367","1400","1.74","480"
"LLBS","2022-03-14","1400","1400","1376","1376","-1.71","525"
"LLBS","2022-03-13","1379","1400.9","1366","1400","3.55","1527"
"LLBS","2022-03-10","1330","1354","1330","1352","1.50","774"
"LLBS","2022-03-09","1331","1332","1310","1332","0.08","440"
"LLBS","2022-03-07","1347.7","1351","1320.8","1331","0.73","852"
"LLBS","2022-03-06","1312","1350","1300","1321.3","0.56","1333"
"LLBS","2022-03-02","1341","1342.1","1305.1","1314","-3.74","2862"
"LLBS","2022-02-28","1370","1380","1362","1365","-1.37","891"
"LLBS","2022-02-27","1385","1412","1384","1384","-1.14","1098"
"LLBS","2022-02-24","1433","1433","1384","1400","-4.11","2925"
"LLBS","2022-02-23","1471","1472","1445","1460","-0.75","424"
