"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"LVF1","2020-03-19","9.46","9.64","9.46","9.64","0.94","25310"
"LVF1","2020-03-18","9.55","9.55","9.55","9.55","-1.14","8100"
"LVF1","2020-03-17","9.68","9.68","9.66","9.66","-1.73","10000"
"LVF1","2020-03-16","9.46","9.83","9.46","9.83","1.87","61806"
"LVF1","2020-03-15","9.65","9.65","9.65","9.65","-0.21","16000"
"LVF1","2020-03-12","9.66","9.67","9.66","9.67","-0.21","20500"
"LVF1","2020-03-11","9.62","9.69","9.62","9.69","2.00","46016"
"LVF1","2020-03-10","9.6","9.6","9.5","9.5","-1.35","21000"
"LVF1","2020-03-05","9.65","9.65","9.63","9.63","-0.10","120620"
"LVF1","2020-03-04","9.64","9.64","9.64","9.64","1.90","10000"
"LVF1","2020-03-03","9.76","9.65","9.46","9.46","-3.07","26000"
"LVF1","2020-03-02","9.6","9.79","9.6","9.76","-0.20","23000"
"LVF1","2020-03-01","10.1","9.9","9.66","9.78","-3.17","114000"
"LVF1","2020-02-27","10.08","10.1","10.08","10.1","0.20","26000"
"LVF1","2020-02-26","9.89","10.09","9.89","10.08","3.92","112700"
"LVF1","2020-02-25","9.8","9.8","9.64","9.7","0.94","18500"
"LVF1","2020-02-24","9.73","9.82","9.61","9.61","-1.23","75500"
"LVF1","2020-02-20","9.63","9.73","9.6","9.73","1.04","25638"
"LVF1","2020-02-19","9.62","9.65","9.62","9.63","0.21","21500"
"LVF1","2020-02-18","9.53","9.8","9.53","9.61","-0.41","18132"
"LVF1","2020-02-17","9.6","9.65","9.6","9.65","1.47","30900"
"LVF1","2020-02-16","9.6","9.7","9.51","9.51","-0.94","23300"
"LVF1","2020-02-12","9.6","9.6","9.6","9.6","0.00","28945"
"LVF1","2020-02-11","9.6","9.6","9.6","9.6","0.00","3000"
"LVF1","2020-02-06","9.42","9.6","9.36","9.6","1.91","33030"
"LVF1","2020-02-05","9.6","9.6","9.42","9.42","-2.59","34241"
"LVF1","2020-02-03","9.67","9.67","9.67","9.67","0.52","1000"
"LVF1","2020-02-02","9.55","9.62","9.5","9.62","1.26","30500"
"LVF1","2020-01-30","9.35","9.6","9.35","9.5","0.00","72351"
"LVF1","2020-01-29","9.46","9.5","9.46","9.5","0.42","2500"
"LVF1","2020-01-28","9.46","9.46","9.46","9.46","-1.46","500"
"LVF1","2020-01-27","9.6","9.6","9.6","9.6","1.59","1000"
"LVF1","2020-01-23","9","9.5","9.45","9.45","0.00","21500"
"LVF1","2020-01-22","9","9.5","9.45","9.45","-0.53","8770"
"LVF1","2020-01-21","9","9.5","9.5","9.5","0.00","3000"
"LVF1","2020-01-20","9","9.69","9.35","9.5","-1.96","50000"
"LVF1","2020-01-19","9","9.69","9.59","9.69","2.00","62500"
"LVF1","2020-01-16","9","9.58","9.5","9.5","1.06","12600"
"LVF1","2020-01-14","9","9.4","9.4","9.4","0.75","1000"
"LVF1","2020-01-13","9","9.43","9.33","9.33","-1.06","47500"
"LVF1","2020-01-12","9","9.43","9.41","9.43","1.62","2200"
"LVF1","2020-01-09","9","9.28","9.28","9.28","1.98","3000"
"LVF1","2020-01-08","9","9.12","9.1","9.1","-1.09","10100"
"LVF1","2020-01-07","9","9.38","9.1","9.2","0.22","27951"
"LVF1","2020-01-06","9","9.18","9.16","9.18","0.44","20000"
"LVF1","2020-01-05","9","9.14","9","9.14","0.44","1000"
"LVF1","2020-01-02","9","9.1","9.1","9.1","1.22","3000"
"LVF1","2020-01-01","9","9","8.99","8.99","-0.11","11900"
"LVF1","2019-12-31","8","9","8.99","9","1.12","17000"
"LVF1","2019-12-30","8","9","8.9","8.9","-0.78","43100"
