"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"MANUFACTURE","2022-05-05","5378.6","5387.66","5293.18","5322.33","0.00","83300553.9"
"MANUFACTURE","2022-05-04","5424.98","5445.37","5337.95","5378.59","0.00","62141917.9"
"MANUFACTURE","2022-05-02","5537.72","5553.1","5402.58","5424.98","0.00","88303988.7"
"MANUFACTURE","2022-04-28","5612.71","5671.62","5517.87","5537.72","0.00","89906887.7"
"MANUFACTURE","2022-04-27","5590.38","5635.2","5555.45","5612.71","0.00","58582017.6"
"MANUFACTURE","2022-04-26","5573.95","5672.18","5573.94","5590.37","0.00","57846448.8"
"MANUFACTURE","2022-04-25","5628.2","5720.18","5560.04","5573.94","0.00","137969337.7"
"MANUFACTURE","2022-04-24","5471.73","5661.63","5471.73","5628.19","0.00","205264890.2"
"MANUFACTURE","2022-04-21","5458.31","5497.94","5389.14","5471.73","0.00","60184636.1"
"MANUFACTURE","2022-04-20","5540.56","5565.49","5441.23","5458.31","0.00","59233256.1"
"MANUFACTURE","2022-04-19","5515.94","5587.89","5460.38","5540.55","0.00","63404226"
"MANUFACTURE","2022-04-18","5609.38","5626.01","5483.79","5515.94","0.00","81737990.9"
"MANUFACTURE","2022-04-17","5698.18","5760.17","5609.37","5609.37","0.00","74778719.6"
"MANUFACTURE","2022-04-13","5635.19","5717.36","5590.09","5698.17","0.00","130758955.5"
"MANUFACTURE","2022-04-12","5734.9","5767.54","5595.65","5635.19","0.00","99117747.2"
"MANUFACTURE","2022-04-11","5901.94","5985.34","5733.58","5734.89","0.00","130692414.3"
"MANUFACTURE","2022-04-07","5816.03","5907.86","5803.5","5863.84","0.00","114188986.4"
"MANUFACTURE","2022-04-06","5839.05","5892.52","5778.6","5816.02","0.00","149299846.8"
"MANUFACTURE","2022-04-05","5882.25","5882.25","5779.12","5839.05","0.00","150393599.3"
"MANUFACTURE","2022-04-04","5897.6","5962.04","5874.5","5882.25","0.00","62783010.1"
"MANUFACTURE","2022-04-03","5947.39","5986.75","5886.57","5897.59","0.00","44763721.6"
"MANUFACTURE","2022-03-31","5974.5","6015.68","5927.91","5947.38","0.00","93530249.2"
"MANUFACTURE","2022-03-30","5886.79","6001.5","5886.29","5974.5","0.00","109722294"
"MANUFACTURE","2022-03-29","5901.8","5984.48","5837.65","5886.79","0.00","137607637.3"
"MANUFACTURE","2022-03-28","5986.68","6021.13","5901.73","5901.8","0.00","112057429.8"
"MANUFACTURE","2022-03-27","6134.28","6218.62","5984.85","5986.67","0.00","187521853.7"
"MANUFACTURE","2022-03-24","6218.6","6246.76","6123.46","6134.27","0.00","127358163"
"MANUFACTURE","2022-03-23","6294.81","6334.09","6192","6218.6","0.00","102016780.7"
"MANUFACTURE","2022-03-22","6245.18","6345.91","6245.18","6294.8","0.00","150789941.2"
"MANUFACTURE","2022-03-21","6210.37","6257.25","6193.88","6245.18","0.00","130420409.4"
"MANUFACTURE","2022-03-20","6328.41","6341.6","6196.91","6210.36","0.00","84760784.3"
"MANUFACTURE","2022-03-16","6323.58","6369.07","6262.81","6278.95","0.00","117977860.2"
"MANUFACTURE","2022-03-15","6427.99","6446.39","6293.3","6323.57","0.00","155564156.7"
"MANUFACTURE","2022-03-14","6544.28","6544.28","6399.3","6427.98","0.00","96841578.4"
"MANUFACTURE","2022-03-13","6189.32","6460.62","6159.42","6448.99","0.00","488334158.2"
"MANUFACTURE","2022-03-10","6013.73","6149.82","5974.05","6140.93","0.00","146990846.1"
"MANUFACTURE","2022-03-09","6061.6","6137.12","5993.28","6026.25","0.00","0"
"MANUFACTURE","2022-03-07","5973.97","6094.43","5868.58","6061.59","0.00","346179043.7"
"MANUFACTURE","2022-03-06","6068.32","6114.46","5947.24","5973.97","0.00","238385010"
"MANUFACTURE","2022-03-02","6330.61","6346.88","6089.53","6100.96","0.00","249124134.8"
"MANUFACTURE","2022-02-28","6459.95","6549.2","6316.1","6330.61","0.00","232724809.3"
"MANUFACTURE","2022-02-27","6531.11","6594.49","6445.53","6459.94","0.00","146225000.2"
"MANUFACTURE","2022-02-24","6660.84","6661.46","6504.36","6531.1","0.00","184863992.9"
"MANUFACTURE","2022-02-23","6742.96","6794.95","6649.27","6660.84","0.00","128245587.3"
"MANUFACTURE","2022-02-22","6761.67","6807.9","6709.93","6742.96","0.00","150800606.8"
"MANUFACTURE","2022-02-21","6691.01","6805.05","6648.79","6761.66","0.00","151488007"
"MANUFACTURE","2022-02-20","6766.72","6821.06","6648.06","6695.39","0.00","209097646.7"
"MANUFACTURE","2022-02-17","6858.08","6917.31","6792.92","6858.19","0.00","157218665.9"
"MANUFACTURE","2022-02-16","6947.43","6971.21","6837.25","6858.08","0.00","157876956.7"
"MANUFACTURE","2022-02-15","6856.33","6965.13","6833.36","6947.43","0.00","248977158.3"
"MANUFACTURE","2022-02-14","6945.63","7092.36","6889.71","6910.35","0.00","171595776.7"
"MANUFACTURE","2022-02-13","7270.09","7270.09","6935.25","6945.62","0.00","256175907.4"
"MANUFACTURE","2022-02-10","7296.89","7345.34","7240.69","7281.34","0.00","140998956.9"
"MANUFACTURE","2022-02-09","7350.08","7380.31","7268.01","7282.62","0.00","121203507.2"
"MANUFACTURE","2022-02-08","7277.19","7472.47","7277.19","7297.65","0.00","154057451"
"MANUFACTURE","2022-02-07","7242.33","7313.73","7194.61","7277.19","0.00","62720828.1"
"MANUFACTURE","2022-02-06","7302.26","7352.82","7234.9","7242.32","0.00","93100665"
"MANUFACTURE","2022-02-03","7381.68","7491.92","7302.26","7302.26","0.00","159477437"
"MANUFACTURE","2022-02-01","7394.76","7429.85","7370.79","7381.67","0.00","93734189.5"
"MANUFACTURE","2022-01-31","7506.03","7537.95","7357.06","7394.75","0.00","127957193.9"
"MANUFACTURE","2022-01-30","7380.38","7642.69","7380.38","7466.13","0.00","227895810.6"
"MANUFACTURE","2022-01-27","7239.66","7408.19","7239.66","7268.38","0.00","138195356"
"MANUFACTURE","2022-01-26","7294.27","7334.36","7154.14","7239.66","0.00","150215849"
"MANUFACTURE","2022-01-25","7307.86","7411.85","7210.48","7294.27","0.00","176685667.2"
"MANUFACTURE","2022-01-24","7551.86","7553.73","7285.79","7307.86","0.00","282085215.6"
"MANUFACTURE","2022-01-23","7535.59","7669.45","7534.45","7551.85","0.00","178580735.6"
"MANUFACTURE","2022-01-20","7504.12","7609.15","7463.88","7535.59","0.00","190419424.2"
"MANUFACTURE","2022-01-19","7613.71","7678.79","7490.76","7504.11","0.00","229746562.6"
"MANUFACTURE","2022-01-18","7859.44","7899.5","7538.24","7613.71","0.00","353994131.8"
"MANUFACTURE","2022-01-17","7819.75","7869.67","7629.93","7800.13","0.00","402166188.1"
"MANUFACTURE","2022-01-16","7379.35","7706.51","7379.35","7700.81","0.00","492671975.4"
"MANUFACTURE","2022-01-13","7163.66","7301.75","7163.66","7290.99","0.00","198365034.1"
"MANUFACTURE","2022-01-12","7157.37","7327.69","7132.94","7163.66","0.00","298146239.7"
"MANUFACTURE","2022-01-11","7188.6","7243.72","7130.29","7157.37","0.00","225226606.1"
"MANUFACTURE","2022-01-10","7236.38","7327.84","7160.17","7188.6","0.00","219335520.7"
"MANUFACTURE","2022-01-09","7097.58","7321.58","7097.57","7236.37","0.00","307628227.4"
"MANUFACTURE","2022-01-06","7103.55","7155.2","7093.82","7097.57","0.00","179007624"
"MANUFACTURE","2022-01-05","7207.99","7248.12","7071.5","7103.55","0.00","313562979.9"
"MANUFACTURE","2022-01-04","7198.13","7317.28","7155.41","7155.41","0.00","212130418.9"
"MANUFACTURE","2022-01-03","7309.72","7332.06","7178.17","7198.12","0.00","468528431"
"MANUFACTURE","2022-01-02","6903.15","7214.6","6903.14","7200.38","0.00","701628216.7"
"MANUFACTURE","2021-12-29","6797.1","6909.28","6741.25","6854.14","0.00","665656179.1"
"MANUFACTURE","2021-12-28","6659.15","6808.03","6587.58","6797.09","0.00","353984693.3"
"MANUFACTURE","2021-12-27","6827.99","6926.31","6641.43","6659.14","0.00","499161874.6"
"MANUFACTURE","2021-12-26","6516.59","6775.75","6456.18","6775.75","0.00","444267102.7"
"MANUFACTURE","2021-12-23","6416.05","6539.85","6284.8","6420.42","0.00","470980682.85"
"MANUFACTURE","2021-12-22","5949.21","6361.82","5949.21","6355.45","0.00","722812790.6"
"MANUFACTURE","2021-12-21","5777.93","5928.43","5777.93","5903.42","0.00","166745859"
"MANUFACTURE","2021-12-20","5538.52","5803.88","5474.67","5733.32","0.00","214514601.6"
"MANUFACTURE","2021-12-16","5623.88","5634.6","5473.08","5538.52","0.00","68756943.2"
"MANUFACTURE","2021-12-15","5652.74","5776.94","5515.21","5623.87","0.00","149291200"
"MANUFACTURE","2021-12-14","5311.37","5616.28","5311.36","5616.1","0.00","55902139.5"
"MANUFACTURE","2021-12-13","5443.74","5521.09","5297.66","5311.36","0.00","166482271.2"
"MANUFACTURE","2021-12-12","5669.77","5707.36","5477.64","5483.08","0.00","92340919.1"
"MANUFACTURE","2021-12-09","5691.06","5701.55","5551.73","5669.76","0.00","114224012.1"
"MANUFACTURE","2021-12-08","5861.62","5883.42","5691.06","5691.06","0.00","118834497.5"
"MANUFACTURE","2021-12-07","5953.65","6031.45","5855.46","5861.62","0.00","91815289"
"MANUFACTURE","2021-12-06","5891.37","5977.7","5736.23","5953.65","0.00","176914296.5"
"MANUFACTURE","2021-12-05","6016.64","6042.05","5870.61","5891.37","0.00","192538224.9"
"MANUFACTURE","2021-12-02","6170.31","6213.95","5998.51","6016.64","0.00","141648292.5"
"MANUFACTURE","2021-12-01","6115.63","6210.71","6115.63","6170.31","0.00","116278252.5"
"MANUFACTURE","2021-11-30","6167.32","6221.93","6074.56","6115.63","0.00","124852403.2"
"MANUFACTURE","2021-11-29","6229.26","6324.16","6134.64","6167.32","0.00","98280616"
"MANUFACTURE","2021-11-28","6421.67","6447.98","6215.66","6229.26","0.00","126493632.9"
