"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"MBJC","2022-05-05","279.4","288","272.8","273","-4.21","15544"
"MBJC","2022-05-04","290","294.9","280","285","-1.72","17738"
"MBJC","2022-05-02","295","298.1","287","290","-2.36","12336"
"MBJC","2022-04-28","297.1","305","297","297","-1.95","17856"
"MBJC","2022-04-27","294","311","294","302.9","0.97","11404"
"MBJC","2022-04-26","306","310","299","300","-1.96","10899"
"MBJC","2022-04-25","314","320","303","306","-2.55","29117"
"MBJC","2022-04-24","296.8","320.1","293","314","7.90","18912"
"MBJC","2022-04-21","285","298.9","278","291","0.69","13285"
"MBJC","2022-04-20","290.1","298","285.2","289","-1.70","13265"
"MBJC","2022-04-19","287.2","310","286","294","0.34","21022"
"MBJC","2022-04-18","302.2","306.9","293","293","-4.56","19079"
"MBJC","2022-04-17","318","322","305.5","307","-3.15","12627"
"MBJC","2022-04-13","312.2","327","307.1","317","-0.35","17952"
"MBJC","2022-04-12","325","327","315.9","318.1","-3.31","18704"
"MBJC","2022-04-11","343","350","329","329","-4.08","22565"
"MBJC","2022-04-07","332","348","332","343","1.60","21036"
"MBJC","2022-04-06","342.1","347.9","336","337.6","-2.99","22140"
"MBJC","2022-04-05","355.3","361","345","348","-3.60","30439"
"MBJC","2022-04-04","360.1","370","360","361","-1.20","15069"
"MBJC","2022-04-03","371","374","365","365.4","-1.51","15135"
"MBJC","2022-03-31","380","385.9","370.7","371","-2.37","12636"
"MBJC","2022-03-30","362.1","380","362.1","380","3.26","16223"
"MBJC","2022-03-29","372","385","367","368","-1.08","17649"
"MBJC","2022-03-28","374","383","372","372","-1.61","26946"
"MBJC","2022-03-27","385","390","378","378.1","-3.05","21284"
"MBJC","2022-03-24","395","397.8","387.1","390","-1.27","25713"
"MBJC","2022-03-23","400","405","392.1","395","-1.25","14092"
"MBJC","2022-03-22","412","412","397","400","-0.99","21203"
"MBJC","2022-03-21","390","406.8","387.1","404","3.22","29067"
"MBJC","2022-03-20","395","404","391.2","391.4","-2.13","22386"
"MBJC","2022-03-16","396.1","404","394.1","399.9","-0.77","19150"
"MBJC","2022-03-15","400","416","400","403","-1.23","26137"
"MBJC","2022-03-14","420","420","400","408","-2.39","13178"
"MBJC","2022-03-13","400","418","395","418","5.96","36795"
"MBJC","2022-03-10","378","401.5","370.5","394.5","4.37","32450"
"MBJC","2022-03-09","387","393","374.9","378","-2.83","26126"
"MBJC","2022-03-07","408","408","375","389","-2.75","68379"
"MBJC","2022-03-06","403","409","398","400","-0.74","27820"
"MBJC","2022-03-02","407.2","420.1","401","403","-2.94","31844"
"MBJC","2022-02-28","428","453","415","415.2","-3.15","52097"
"MBJC","2022-02-27","435","443","422","428.7","-1.45","48473"
"MBJC","2022-02-24","452","455","431","435","-3.76","52331"
"MBJC","2022-02-23","430","465.9","427.1","452","5.85","126540"
"MBJC","2022-02-22","405.8","440","405.8","427","3.14","97982"
"MBJC","2022-02-21","410","420","405.1","414","0.98","37810"
"MBJC","2022-02-20","409.7","416.2","397","410","-1.91","27972"
"MBJC","2022-02-17","409","418.4","403.3","418","2.20","23187"
"MBJC","2022-02-16","422","423","408.1","409","-3.08","23013"
"MBJC","2022-02-15","405","423.1","400.2","422","3.94","29078"
"MBJC","2022-02-14","401","419.1","401","406","-0.73","24853"
"MBJC","2022-02-13","425","425","407","409","-5.10","47777"
"MBJC","2022-02-10","430","447.7","430","431","-1.21","32370"
"MBJC","2022-02-09","438","441","433.1","436.3","-1.09","33968"
"MBJC","2022-02-08","459","467","437","441.1","0.00","46197"
"MBJC","2022-02-07","440.1","450","440","450","0.94","38037"
"MBJC","2022-02-06","450","452.1","445","445.8","-1.15","34341"
"MBJC","2022-02-03","455","466","451","451","-0.88","74742"
"MBJC","2022-02-01","441","463","441","455","1.54","59724"
"MBJC","2022-01-31","470","479","448","448.1","-2.80","43054"
"MBJC","2022-01-30","449","466","446","461","4.54","64363"
"MBJC","2022-01-27","432","452","432","441","0.92","36998"
"MBJC","2022-01-26","440","451.2","435","437","-2.24","64379"
"MBJC","2022-01-25","455","461","440","447","-1.76","71995"
"MBJC","2022-01-24","465","470","450.1","455","-3.19","102924"
"MBJC","2022-01-23","488","488","465.9","470","-1.88","86480"
"MBJC","2022-01-20","475","480","458.7","479","0.42","135601"
"MBJC","2022-01-19","505","505","472","477","-3.83","148537"
"MBJC","2022-01-18","467.9","503","441","496","8.11","357427"
"MBJC","2022-01-17","425.4","458.8","425.4","458.8","10.00","240409"
"MBJC","2022-01-16","379.2","417.1","386.7","417.1","9.99","12392"
"MBJC","2022-01-13","351.6","379.2","351.6","379.2","9.98","2675"
"MBJC","2022-01-12","309.6","344.8","309.6","344.8","9.98","1630"
"MBJC","2022-01-11","290.7","313.5","290.7","313.5","10.00","556"
"MBJC","2022-01-10","259.1","285","259.1","285","10.00","440"
"MBJC","2022-01-09","240.3","259.1","240.3","259.1","9.97","609"
"MBJC","2022-01-06","214.2","235.6","214.2","235.6","9.99","445"
"MBJC","2022-01-05","198.6","214.2","198.6","214.2","9.96","315"
"MBJC","2022-01-04","177.1","194.8","177.1","194.8","9.99","212"
"MBJC","2022-01-03","164.2","177.1","164.2","177.1","10.00","217"
"MBJC","2022-01-02","144.6","161","144.6","161","9.97","239"
"MBJC","2021-12-29","133.1","146.4","133.1","146.4","9.99","137"
"MBJC","2021-12-28","119.3","133.1","119.3","133.1","10.00","160"
"MBJC","2021-12-27","110","121","110","121","10.00","184"
"MBJC","2021-12-26","100","110","100","110","0.00","150"
