"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"MBLD2085","2022-04-18","943.5","943.5","943.5","943.5","0.22","25"
"MBLD2085","2022-04-12","960.4","960.4","941.4","941.4","-3.94","100"
"MBLD2085","2022-03-16","980","980","980","980","-2.00","300"
"MBLD2085","2022-01-23","1000","1000","1000","1000","-0.45","100"
"MBLD2085","2022-01-16","1025","1004.5","1004.5","1004.5","-2.00","25"
"MBLD2085","2022-01-13","1025","1025","1025","1025","0.39","30"
"MBLD2085","2022-01-06","1021","1021","1021","1021","-1.83","25"
"MBLD2085","2022-01-04","1040","1040","1040","1040","0.00","50"
"MBLD2085","2022-01-02","1040","1040","1040","1040","1.96","25"
"MBLD2085","2021-12-15","1020","1020","1020","1020","-1.35","65"
"MBLD2085","2021-12-13","1034","1034","1034","1034","-1.99","10"
"MBLD2085","2021-11-24","1054","1055","1054","1055","0.00","55"
"MBLD2085","2021-11-15","1055","1055","1055","1055","-1.95","50"
"MBLD2085","2021-09-26","1076","1076","1076","1076","0.08","75"
"MBLD2085","2021-08-09","1096.68","1097","1075.1","1075.1","-3.92","200"
"MBLD2085","2021-07-15","1098","1119","1098","1119","3.90","20"
"MBLD2085","2021-07-07","1077","1077","1077","1077","1.99","10"
"MBLD2085","2021-07-04","1094","1094","1056","1056","-5.38","75"
"MBLD2085","2021-07-01","1116","1116","1116","1116","0.00","10"
"MBLD2085","2021-06-27","1116","1116","1116","1116","1.92","820"
"MBLD2085","2021-06-23","1095","1095","1095","1095","0.92","240"
"MBLD2085","2021-06-22","1082","1085","1082","1085","0.28","225"
"MBLD2085","2021-06-20","1071","1082","1071","1082","1.98","75"
"MBLD2085","2021-06-10","1061","1061","1061","1061","0.00","25"
"MBLD2085","2021-06-09","1061","1061","1061","1061","-0.00","100"
"MBLD2085","2021-06-08","1065","1065","1065","1065","0.66","525"
"MBLD2085","2021-06-07","1058","1058","1058","1058","-0.19","25"
"MBLD2085","2021-05-30","1065","1065","1060","1060","0.47","175"
"MBLD2085","2021-05-24","1055","1055","1055","1055","0.00","50"
"MBLD2085","2021-05-23","1060","1060","1055","1055","-0.47","100"
"MBLD2085","2021-05-18","1060","1060","1060","1060","0.76","50"
"MBLD2085","2021-05-16","1052","1052","1052","1052","-1.96","100"
"MBLD2085","2021-05-13","1065","1073","1065","1073","2.00","50"
"MBLD2085","2021-05-10","1052","1052","1052","1052","0.00","25"
"MBLD2085","2021-05-09","1052","1052","1052","1052","0.19","25"
"MBLD2085","2021-05-05","1050","1050","1050","1050","0.19","25"
"MBLD2085","2021-05-04","1030","1048","1030","1048","0.19","75"
"MBLD2085","2021-05-03","1046","1046","1046","1046","0.10","60"
"MBLD2085","2021-05-02","1066","1066","1045","1045","-0.10","115"
"MBLD2085","2021-04-28","1047","1047","1046","1046","-0.10","150"
"MBLD2085","2021-04-27","1046","1047","1046","1047","-0.29","125"
"MBLD2085","2021-04-26","1000","1050","1000","1050","5.00","1325"
