"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"MBLPO","2022-04-24","151","151","151","151","0.00","5451"
"MBLPO","2021-08-01","250","250","250","250","0.00","288726"
"MBLPO","2021-04-21","250","250","250","250","0.00","2561"
"MBLPO","2021-02-18","120","120","120","120","0.00","20000"
"MBLPO","2019-06-25","148","148","148","148","0.00","10077"
"MBLPO","2019-06-12","148","148","148","148","1.37","5211"
"MBLPO","2019-03-14","130","130","130","130","0.00","6505"
"MBLPO","2019-02-03","113","130","130","130","0.00","522055"
"MBLPO","2019-01-16","74","74","74","74","0.00","299966"
"MBLPO","2018-12-17","130","130","130","130","0.00","21373"
"MBLPO","2018-12-16","130","130","130","130","0.00","6085"
"MBLPO","2018-12-13","130","130","130","130","0.00","156701"
"MBLPO","2018-12-06","130","130","130","130","0.00","128881"
"MBLPO","2018-11-04","130","130","130","130","0.00","1274190"
"MBLPO","2018-10-24","130","130","130","130","0.00","10246"
"MBLPO","2017-10-11","285","285","285","285","0.00","49729"
"MBLPO","2017-03-19","285","285","285","285","0.00","13151"
"MBLPO","2016-12-12","285","285","285","285","-0.70","260"
"MBLPO","2016-10-03","0","0","0","280","0.00","29124"
"MBLPO","2016-07-27","287","0","0","0","0.00","46090"
"MBLPO","2015-09-15","287","287","287","287","1.77","38106"
"MBLPO","2015-09-10","0","0","0","102","0.00","191828"
"MBLPO","2015-08-16","0","0","0","115","0.00","700"
"MBLPO","2015-07-13","282","282","282","282","0.00","2223"
"MBLPO","2014-11-03","102","104","104","104","1.96","8615"
"MBLPO","2014-11-02","100","102","102","102","2.00","25341"
"MBLPO","2014-10-28","99","100","100","100","1.01","3061"
"MBLPO","2014-10-14","99","99","99","99","0.00","25341"
"MBLPO","2014-10-13","98","99","99","99","1.02","3061"
"MBLPO","2014-09-28","92","98","96","98","6.52","37040"
"MBLPO","2014-08-31","92","92","92","92","0.00","65809"
"MBLPO","2013-12-09","94","92","92","92","-2.13","32778"
"MBLPO","2013-09-15","95","94","94","94","-1.05","10028"
"MBLPO","2013-08-15","95","95","95","95","0.00","38333"
"MBLPO","2013-07-07","96","95","95","95","-1.04","236717"
"MBLPO","2013-06-18","97","96","96","96","-1.03","97729"
"MBLPO","2013-03-05","90","97","97","97","7.78","10066"
"MBLPO","2013-02-20","98","97","90","90","-8.16","221384"
"MBLPO","2013-01-17","70","98","98","98","40.00","133812"
"MBLPO","2012-11-11","100","90","70","70","-30.00","261142"
"MBLPO","2012-10-11","100","100","100","100","0.00","1093616"
"MBLPO","2012-05-21","100","100","100","100","0.00","99000"
"MBLPO","2012-03-27","205","100","100","100","-51.22","170493"
