"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"MDBPO","2022-01-25","274","274","274","274","0.00","8592"
"MDBPO","2022-01-20","274","274","274","274","0.00","8600"
"MDBPO","2022-01-16","274","274","274","274","0.00","45130"
"MDBPO","2020-09-16","182","182","182","182","-1.62","5926"
"MDBPO","2020-07-28","185","185","185","185","0.00","16165"
"MDBPO","2020-07-23","185","185","185","185","0.00","6061"
"MDBPO","2020-02-05","136","136","136","136","0.00","12000"
"MDBPO","2019-12-11","136","136","136","136","0.00","2000"
"MDBPO","2019-12-04","136","136","136","136","0.00","9440"
"MDBPO","2016-09-12","551","551","551","551","0.00","2871"
"MDBPO","2016-09-07","551","551","551","551","0.00","1440"
"MDBPO","2016-08-21","551","551","551","551","0.18","2600"
"MDBPO","2015-11-16","234","234","234","234","-1.68","20880"
"MDBPO","2015-11-15","238","238","238","238","-1.65","21600"
"MDBPO","2015-11-10","242","242","242","242","-1.63","23400"
"MDBPO","2015-08-10","246","246","246","246","0.00","4000"
"MDBPO","2015-07-13","246","246","246","246","0.00","11520"
"MDBPO","2014-12-28","232","232","232","232","0.00","3520"
"MDBPO","2014-12-23","232","232","232","232","0.00","2160"
"MDBPO","2014-11-13","240","236","232","232","-3.33","15840"
"MDBPO","2014-08-07","244","240","240","240","-1.64","15840"
"MDBPO","2014-06-29","0","244","244","244","0.00","4320"
