"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"MDB","2022-05-05","416","416","402","416","-1.65","14419"
"MDB","2022-05-04","421.5","437","414","423","-1.63","7479"
"MDB","2022-05-02","438.3","444","430","430","-3.80","4885"
"MDB","2022-04-28","444","455","438.3","447","-0.67","7071"
"MDB","2022-04-27","442.2","454.9","442","450","0.67","3563"
"MDB","2022-04-26","461","461","443.1","447","-3.04","1171"
"MDB","2022-04-25","470","475","455","461","-2.12","9822"
"MDB","2022-04-24","453","479.1","445","471","5.84","9752"
"MDB","2022-04-21","432","445","425.1","445","1.34","6034"
"MDB","2022-04-20","455","455","438","439.1","-3.26","2350"
"MDB","2022-04-19","452.9","462","436.1","453.9","2.00","7180"
"MDB","2022-04-18","438.5","451","430","445","0.00","16656"
"MDB","2022-04-17","451.8","459","444.1","445","-3.47","5471"
"MDB","2022-04-13","461","461","436.2","461","1.77","6104"
"MDB","2022-04-12","462.6","462.6","450.8","453","-4.03","3488"
"MDB","2022-04-11","470","477","459","472","1.09","10192"
"MDB","2022-04-07","459","471.9","451","466.9","2.62","9703"
"MDB","2022-04-06","443","458","443","455","0.86","7940"
"MDB","2022-04-05","456","465","447","451.1","-2.68","15037"
"MDB","2022-04-04","470","475","461","463.5","-1.17","4066"
"MDB","2022-04-03","466.1","469","466","469","-0.87","6164"
"MDB","2022-03-31","480","489","473.1","473.1","-2.85","8891"
"MDB","2022-03-30","479","492","464","487","3.62","7898"
"MDB","2022-03-29","469","479.4","464","470","0.00","7900"
"MDB","2022-03-28","480","486","467","470","-2.49","21243"
"MDB","2022-03-27","502","502","480","482","-3.41","13854"
"MDB","2022-03-24","510","510","497","499","-3.48","20682"
"MDB","2022-03-23","514","521","512.2","517","-1.34","9821"
"MDB","2022-03-22","518","525","510","524","2.54","25249"
"MDB","2022-03-21","505","515","490.3","511","2.61","20713"
"MDB","2022-03-20","508","508","488","498","-0.36","13538"
"MDB","2022-03-16","510","511","495","499.8","-0.24","13068"
"MDB","2022-03-15","489","502.8","484","501","2.66","24378"
"MDB","2022-03-14","505","505","482.2","488","-2.40","8976"
"MDB","2022-03-13","470","500","465","500","7.99","25909"
"MDB","2022-03-10","435","463","432","463","5.44","11083"
"MDB","2022-03-09","467","467","439","439.1","-4.54","17172"
"MDB","2022-03-07","478","478","460","460","-1.92","7007"
"MDB","2022-03-06","463","477","460","469","1.74","12272"
"MDB","2022-03-02","470","470","460","461","-2.54","15496"
"MDB","2022-02-28","495","495","465","473","-4.06","9361"
"MDB","2022-02-27","492","493","475","493","1.44","7684"
"MDB","2022-02-24","500","503","485","486","-3.76","9575"
"MDB","2022-02-23","512","515","501","505","-1.37","5199"
"MDB","2022-02-22","510","517","505.1","512","2.20","9434"
"MDB","2022-02-21","505","508","500","501","0.20","2888"
"MDB","2022-02-20","513.7","513.7","495.1","500","-2.67","9379"
"MDB","2022-02-17","500","513.7","500","513.7","1.72","5917"
"MDB","2022-02-16","510","525","505","505","-1.94","8805"
"MDB","2022-02-15","507","517","501.1","515","2.96","5813"
"MDB","2022-02-14","490","507","490","500.2","0.46","6984"
"MDB","2022-02-13","516.8","520","495","497.9","-5.58","27560"
"MDB","2022-02-10","536","537","525","527.3","-1.62","8019"
"MDB","2022-02-09","536","536","523","536","-0.37","15569"
"MDB","2022-02-08","559","569.5","538","538","0.00","13691"
"MDB","2022-02-07","550","555","540","549","0.55","9727"
"MDB","2022-02-06","548","559","545","546","-2.33","6763"
"MDB","2022-02-03","570","576.9","559","559","-0.55","25063"
"MDB","2022-02-01","559","569","551","562.1","0.38","11373"
"MDB","2022-01-31","572","575","558","560","-1.75","11671"
"MDB","2022-01-30","546","570","546","570","6.42","25868"
"MDB","2022-01-27","547","547","535.1","535.6","-0.26","9486"
"MDB","2022-01-26","554","555","530","537","-2.01","15952"
"MDB","2022-01-25","556","566","544.9","548","-1.44","23541"
"MDB","2022-01-24","572","572","545.6","556","-3.47","37271"
