"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"MEGAPO","2022-05-04","120","120","120","120","0.00","34120"
"MEGAPO","2022-04-25","120","120","120","120","0.00","22102"
"MEGAPO","2022-04-24","120","120","120","120","0.00","49587"
"MEGAPO","2022-04-17","120","120","120","120","0.00","29585"
"MEGAPO","2022-04-13","120","120","120","120","0.00","43688"
"MEGAPO","2022-04-12","120","120","120","120","0.00","4908"
"MEGAPO","2022-04-07","120","120","120","120","0.00","105768"
"MEGAPO","2022-04-04","120","120","120","120","0.00","35858"
"MEGAPO","2022-03-27","120","120","120","120","0.00","35000"
"MEGAPO","2022-03-21","120","120","120","120","0.00","1354"
"MEGAPO","2022-03-20","119.6","120","119.6","120","2.30","105400"
"MEGAPO","2022-03-16","115.7","117.3","115","117.3","-0.59","50259"
"MEGAPO","2022-03-13","118","118","118","118","-1.67","29587"
"MEGAPO","2022-03-10","120","120","120","120","0.00","12730"
"MEGAPO","2022-03-06","120","120","120","120","0.00","64309"
"MEGAPO","2022-02-28","120","120","120","120","0.00","12820"
"MEGAPO","2022-02-27","120","120","120","120","0.00","28912"
"MEGAPO","2022-02-03","120","120","120","120","0.00","26896"
"MEGAPO","2022-01-30","120","120","120","120","-1.64","25000"
"MEGAPO","2022-01-10","122","122","122","122","0.00","25640"
"MEGAPO","2021-12-09","122","122","122","122","0.00","13545"
"MEGAPO","2021-11-29","122","122","122","122","-1.61","26896"
"MEGAPO","2021-11-28","124","124","124","124","0.00","39717"
"MEGAPO","2021-11-23","124","124","124","124","0.00","42011"
"MEGAPO","2021-11-16","124","124","124","124","0.00","19661"
"MEGAPO","2021-11-15","124","124","124","124","0.00","30956"
"MEGAPO","2021-11-14","122","124","122","124","3.33","7324"
"MEGAPO","2021-11-02","120","120","120","120","0.00","5000"
"MEGAPO","2021-10-20","120","120","120","120","0.00","20000"
"MEGAPO","2021-10-05","120","120","120","120","0.00","6410"
"MEGAPO","2021-10-04","120","120","120","120","0.00","51896"
"MEGAPO","2021-09-29","120","120","120","120","0.00","16000"
"MEGAPO","2021-09-26","120","120","120","120","0.00","30530"
"MEGAPO","2021-09-23","120","120","120","120","0.00","21191"
"MEGAPO","2021-09-21","120","120","120","120","1.69","26896"
"MEGAPO","2021-09-16","118","118","118","118","-1.67","38954"
"MEGAPO","2021-09-12","120","120","120","120","0.00","11393"
"MEGAPO","2021-08-15","120","120","120","120","0.00","12819"
"MEGAPO","2021-08-02","120","120","120","120","0.00","48792"
"MEGAPO","2021-07-19","120","120","120","120","0.00","13448"
"MEGAPO","2021-07-12","120","120","120","120","0.00","50183"
"MEGAPO","2021-07-08","120","120","120","120","0.00","33104"
"MEGAPO","2021-07-07","120","120","120","120","0.00","13039"
"MEGAPO","2021-07-04","120","120","120","120","0.00","80685"
"MEGAPO","2021-06-28","120","120","120","120","0.00","12819"
"MEGAPO","2021-06-27","120","120","120","120","0.00","9545"
"MEGAPO","2021-06-09","120","120","120","120","0.00","15503"
"MEGAPO","2021-05-31","124","124","120","120","-1.64","65354"
"MEGAPO","2021-05-30","122","122","122","122","0.00","10000"
"MEGAPO","2021-05-25","122","122","122","122","-1.61","11729"
"MEGAPO","2021-05-10","124","124","124","124","0.00","48902"
"MEGAPO","2021-04-20","124","124","124","124","-1.59","36501"
"MEGAPO","2021-04-12","126","126","126","126","0.00","536"
"MEGAPO","2021-04-07","126","126","126","126","-1.56","26897"
"MEGAPO","2021-04-06","128","128","128","128","-1.54","11654"
"MEGAPO","2021-04-05","130","130","130","130","0.00","24806"
"MEGAPO","2021-04-04","130","130","130","130","0.00","1867"
"MEGAPO","2021-04-01","130","130","130","130","-1.52","3805"
"MEGAPO","2021-03-23","132","132","132","132","0.00","35481"
"MEGAPO","2021-03-18","128","132","128","132","4.76","73249"
"MEGAPO","2021-03-16","126","126","126","126","0.00","24451"
"MEGAPO","2021-03-15","126","126","126","126","0.00","23685"
"MEGAPO","2021-03-14","126","126","126","126","0.00","6520"
"MEGAPO","2021-03-08","126","126","126","126","0.00","24452"
"MEGAPO","2021-03-02","126","126","126","126","0.00","2852"
"MEGAPO","2021-03-01","126","126","126","126","0.00","48900"
"MEGAPO","2021-02-28","126","126","126","126","0.00","5365"
"MEGAPO","2021-02-14","126","126","126","126","0.00","9780"
"MEGAPO","2020-12-31","126","126","126","126","0.00","32789"
"MEGAPO","2020-12-30","126","126","126","126","0.00","43393"
"MEGAPO","2020-12-28","126","126","126","126","0.00","80115"
"MEGAPO","2020-12-24","126","126","126","126","0.00","14800"
"MEGAPO","2020-12-15","126","126","126","126","0.00","12226"
"MEGAPO","2020-12-01","126","126","126","126","0.00","24449"
"MEGAPO","2020-11-26","126","126","126","126","0.00","7484"
"MEGAPO","2020-11-25","126","126","126","126","0.00","12224"
"MEGAPO","2020-11-22","124","126","124","126","0.00","600"
"MEGAPO","2020-11-19","124","124","122","122","0.00","12225"
