"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"MEN","2022-05-05","918.1","989","900","901","-3.64","1317"
"MEN","2022-05-04","942","1017","933.1","935","-2.64","2365"
"MEN","2022-05-02","1009.4","1009.4","960.4","960.4","-6.76","1651"
"MEN","2022-04-28","981","1030","981","1030","3.29","1915"
"MEN","2022-04-27","1009.4","1017","989.3","997.2","-3.18","1250"
"MEN","2022-04-26","1043.7","1060","1013.1","1030","-3.29","2060"
"MEN","2022-04-25","1038","1065","1038","1065","1.91","500"
"MEN","2022-04-24","981","1045.5","973.1","1045","4.40","2842"
"MEN","2022-04-21","975.1","1001","960","1001","0.72","7590"
"MEN","2022-04-20","995","995","963","993.8","-0.12","710"
"MEN","2022-04-19","980","1000","962.1","995","-0.30","595"
"MEN","2022-04-18","999","1005","983","998","-0.81","560"
"MEN","2022-04-17","1034","1050","1006.1","1006.1","-4.64","800"
"MEN","2022-04-13","1013.4","1055","997","1055","2.03","907"
"MEN","2022-04-12","1008.5","1034","995","1034","0.49","1000"
"MEN","2022-04-11","1027.1","1049.9","1010","1029","-1.69","965"
"MEN","2022-04-07","1024","1050","1000","1046.7","0.26","2963"
"MEN","2022-04-06","1009","1050","1000","1044","1.46","4337"
"MEN","2022-04-05","1038","1056.7","1017.1","1029","-2.28","1273"
"MEN","2022-04-04","1055","1060","1048","1053","-2.05","2780"
"MEN","2022-04-03","1067.2","1075","1045.9","1075","-1.28","3150"
"MEN","2022-03-31","1070","1090","1055.3","1088.9","-0.19","520"
"MEN","2022-03-30","1068.1","1091","1050","1091","0.11","1725"
"MEN","2022-03-29","1079","1097","1035","1089.8","1.00","1670"
"MEN","2022-03-28","1068","1080","1051.1","1079","1.03","2860"
"MEN","2022-03-27","1079","1101.6","1060.4","1068","-3.00","3022"
"MEN","2022-03-24","1100","1110","1080","1101","0.09","1844"
"MEN","2022-03-23","1080.1","1120","1080.1","1100","0.00","1705"
"MEN","2022-03-22","1130","1130","1080","1100","-0.90","2260"
"MEN","2022-03-21","1057.7","1135","1048.1","1110","4.03","1355"
"MEN","2022-03-20","1055.1","1067.5","1042","1067","-0.75","547"
"MEN","2022-03-16","1074.1","1085","1072","1075.1","-1.82","1490"
"MEN","2022-03-15","1101","1101","1091","1095","-1.62","2315"
"MEN","2022-03-14","1104.1","1135","1086","1113","-1.07","680"
"MEN","2022-03-13","1100","1129","1085","1125","2.27","5967"
"MEN","2022-03-10","1113","1113","1050","1100","-3.08","3450"
"MEN","2022-03-09","1032","1135","1014","1135","8.10","2253"
"MEN","2022-03-07","1050","1076","1036.5","1050","-0.47","2065"
"MEN","2022-03-06","1100","1100","1045.1","1055","-2.31","4125"
"MEN","2022-03-02","1104","1110","1055.2","1080","-2.17","3672"
"MEN","2022-02-28","1135","1158","1093.8","1104","-2.30","4462"
"MEN","2022-02-27","1139","1145","1120","1130","-0.88","3240"
"MEN","2022-02-24","1150","1150.8","1128.4","1140","-2.48","2485"
"MEN","2022-02-23","1160","1179.9","1145","1169","0.78","3740"
"MEN","2022-02-22","1140","1180","1137","1160","2.20","5190"
"MEN","2022-02-21","1120","1160","1120","1135","-0.35","1050"
"MEN","2022-02-20","1132","1154.5","1109.4","1139","-1.39","3145"
"MEN","2022-02-17","1150","1169","1124","1155","0.26","633"
"MEN","2022-02-16","1135.2","1175","1119","1152","-0.35","4922"
"MEN","2022-02-15","1115","1156","1115","1156","1.85","1845"
"MEN","2022-02-14","1135.5","1160","1116","1135","-1.26","3050"
"MEN","2022-02-13","1175.1","1175.1","1112","1149.5","-4.13","5036"
"MEN","2022-02-10","1168","1214","1146","1199","0.67","16844"
"MEN","2022-02-09","1200","1200","1175.1","1191","-2.70","4103"
"MEN","2022-02-08","1244.4","1279","1192","1224","0.00","23423"
"MEN","2022-02-07","1196","1230","1196","1220","0.00","1665"
"MEN","2022-02-06","1210.3","1243","1210.1","1220","-1.21","3105"
"MEN","2022-02-03","1251","1255","1230","1235","-1.28","6386"
"MEN","2022-02-01","1204.6","1253.6","1185","1251","1.78","11176"
"MEN","2022-01-31","1184","1229.1","1177.7","1229.1","2.00","5185"
"MEN","2022-01-30","1193.4","1216.8","1169.2","1205","2.99","7180"
"MEN","2022-01-27","1161","1170","1150","1170","0.00","976"
"MEN","2022-01-26","1157","1174","1145","1170","-0.43","4300"
"MEN","2022-01-25","1155.1","1191.5","1155.1","1175","0.58","3060"
"MEN","2022-01-24","1231","1231","1167","1168.2","-5.10","7730"
"MEN","2022-01-23","1245","1245","1200","1231","-1.12","11450"
"MEN","2022-01-20","1226","1245","1213.5","1245","-0.32","7046"
"MEN","2022-01-19","1231","1259.7","1226.2","1249","-0.16","10150"
"MEN","2022-01-18","1300","1305","1225","1251","-3.77","13111"
"MEN","2022-01-17","1212.3","1319","1189","1300","5.09","39877"
"MEN","2022-01-16","1200","1256.7","1176","1237","3.08","38488"
"MEN","2022-01-13","1160","1200","1145","1200","3.54","3935"
"MEN","2022-01-12","1170","1200","1150","1159","-1.53","14940"
"MEN","2022-01-11","1197","1220","1175","1177","-3.52","16277"
"MEN","2022-01-10","1163","1221.9","1155","1220","5.17","10920"
"MEN","2022-01-09","1142.4","1203.6","1130","1160","3.57","8523"
"MEN","2022-01-06","1065","1149","1065","1120","5.22","12273"
"MEN","2022-01-05","1060","1120","1060","1064.4","-0.99","3867"
"MEN","2022-01-04","1043.7","1084","1027","1075","0.94","1190"
"MEN","2022-01-03","1032","1086.3","1032","1065","1.33","6020"
"MEN","2022-01-02","1030","1070","1020","1051","0.23","1790"
"MEN","2021-12-29","1080","1087.2","1023.4","1048.6","-1.62","2750"
"MEN","2021-12-28","1009.4","1065.9","992","1065.9","3.49","3544"
"MEN","2021-12-27","1069","1111","1030","1030","-5.50","2330"
"MEN","2021-12-26","1135","1135","1083","1090","-3.11","7161"
"MEN","2021-12-23","1110","1125","1039.8","1125","0.90","3731"
"MEN","2021-12-22","1089.9","1120","1006","1115","2.29","4475"
"MEN","2021-12-21","997.2","1090","997.2","1090","7.38","1304"
"MEN","2021-12-20","1065","1065","985","1015.1","-6.17","2560"
"MEN","2021-12-16","1019.2","1081.8","999","1081.8","4.03","5660"
"MEN","2021-12-15","1085.9","1085.9","1012","1039.9","-2.34","2871"
"MEN","2021-12-14","1015","1064.8","995","1064.8","2.88","4128"
"MEN","2021-12-13","977","1036","925","1035","3.92","9061"
"MEN","2021-12-12","1013.5","1033.7","953","996","-1.69","13255"
"MEN","2021-12-09","1033","1053.6","1000","1013.1","-3.84","3074"
"MEN","2021-12-08","1035","1055","1010.9","1053.6","-0.13","2515"
"MEN","2021-12-07","1071","1071","1037.7","1055","0.48","4801"
"MEN","2021-12-06","1085.9","1085.9","1007","1050","-1.41","4490"
"MEN","2021-12-05","1118","1118","1033","1065","-3.35","4860"
"MEN","2021-12-02","1105","1120","1075","1101.9","0.17","4405"
"MEN","2021-12-01","1115","1137","1100","1100","-1.70","1610"
"MEN","2021-11-30","1090","1154","1070","1119","2.10","2427"
"MEN","2021-11-29","1078.3","1121.7","1078.3","1096","-0.36","1420"
"MEN","2021-11-28","1146","1148","1087.8","1100","-5.82","6141"
"MEN","2021-11-25","1190","1190","1150","1168","-0.17","3546"
"MEN","2021-11-24","1191","1191","1123","1170","0.17","13985"
"MEN","2021-11-23","1173","1173","1149","1168","-2.34","2735"
"MEN","2021-11-22","1169","1201","1168","1196","0.50","1890"
"MEN","2021-11-21","1151.1","1193.4","1151.1","1190","1.71","1670"
"MEN","2021-11-18","1200.5","1210","1170","1170","-4.49","2430"
"MEN","2021-11-17","1180","1259","1180","1225","3.99","13217"
"MEN","2021-11-16","1150","1200","1107","1178","1.12","5147"
"MEN","2021-11-15","1175.1","1222.5","1155","1165","-2.84","6479"
"MEN","2021-11-14","1195.4","1219","1144","1199","2.30","8577"
"MEN","2021-11-11","1157.1","1198","1150","1172","-0.68","3452"
"MEN","2021-11-09","1250","1279","1159","1180","-4.07","3823"
"MEN","2021-11-08","1215","1265","1191","1230","-0.73","17742"
"MEN","2021-11-03","1230","1244","1210","1239","-0.48","1091"
