"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"MFILPO","2021-12-22","217","217","217","217","0.00","3000"
"MFILPO","2021-10-04","217","217","217","217","0.00","5900"
"MFILPO","2020-12-28","217","217","217","217","0.00","1000"
"MFILPO","2019-09-24","100","100","100","100","0.00","554"
"MFILPO","2018-08-19","108","108","108","108","-1.82","4806"
"MFILPO","2018-04-08","108","108","108","108","0.00","11450"
"MFILPO","2017-10-25","108","108","108","108","-1.82","1000"
"MFILPO","2016-12-12","192","193","192","193","-1.53","56522"
"MFILPO","2016-12-11","196","196","196","196","-2.00","32957"
"MFILPO","2016-12-08","200","200","200","200","0.00","48847"
