"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"MHNL","2022-05-05","320","328","307","310.1","-4.29","10735"
"MHNL","2022-05-04","336","355.1","323.6","324","-5.26","6375"
"MHNL","2022-05-02","346","360","338","342","-3.12","4372"
"MHNL","2022-04-28","368.2","375","346","353","-2.22","5917"
"MHNL","2022-04-27","366.9","366.9","353","361","0.28","7420"
"MHNL","2022-04-26","362","369.9","350","360","0.84","3162"
"MHNL","2022-04-25","375","382.4","350","357","-3.51","12036"
"MHNL","2022-04-24","343","371.8","334.1","370","9.47","20744"
"MHNL","2022-04-21","323.4","339","317","338","2.42","8507"
"MHNL","2022-04-20","351.9","351.9","330","330","-4.35","5419"
"MHNL","2022-04-19","341.4","353.9","328.3","345","-0.86","8264"
"MHNL","2022-04-18","360","365","345","348","-3.33","6234"
"MHNL","2022-04-17","376","377","356.8","360","-2.96","2968"
"MHNL","2022-04-13","372","386.9","365","371","-0.27","4390"
"MHNL","2022-04-12","382.9","382.9","365","372","-1.01","4400"
"MHNL","2022-04-11","386.5","395","375","375.8","-0.84","7509"
"MHNL","2022-04-07","384","389.9","378","379","0.53","6135"
"MHNL","2022-04-06","384","390","374","377","-3.33","5095"
"MHNL","2022-04-05","387","390","377.3","390","-1.02","5229"
"MHNL","2022-04-04","405","405","392","394","-1.25","3009"
"MHNL","2022-04-03","404","406","396","399","-1.24","4238"
"MHNL","2022-03-31","421.2","421.2","395","404","-2.18","11575"
"MHNL","2022-03-30","397.8","413.1","395","413","5.90","11144"
"MHNL","2022-03-29","401","402.9","390","390","-1.27","6775"
"MHNL","2022-03-28","408","415","393","395","-1.25","9967"
"MHNL","2022-03-27","423","423","397","400","-3.61","17770"
"MHNL","2022-03-24","426","433","414.2","415","-4.16","29900"
"MHNL","2022-03-23","432.3","440","426","433","-1.81","8119"
"MHNL","2022-03-22","447","462","439.2","441","-0.90","28909"
"MHNL","2022-03-21","425.2","445","410","445","6.74","122566"
"MHNL","2022-03-20","423.3","423.3","409.1","416.9","0.46","12907"
"MHNL","2022-03-16","428.4","428.4","413","415","-1.19","14883"
"MHNL","2022-03-15","443.7","444","411.6","420","-3.45","23535"
"MHNL","2022-03-14","445","445","427.1","435","-1.14","6596"
"MHNL","2022-03-13","431.3","444","426","440","4.04","23635"
"MHNL","2022-03-10","405.9","438","402","422.9","6.20","15280"
"MHNL","2022-03-09","418","426.3","398","398.2","-4.74","12372"
"MHNL","2022-03-07","441.6","441.6","416","418","-3.46","10929"
"MHNL","2022-03-06","455.8","455.8","428.3","433","-3.11","11022"
"MHNL","2022-03-02","473.2","473.2","438.2","446.9","-3.69","6404"
"MHNL","2022-02-28","493.1","501.9","452","464","-4.03","27233"
"MHNL","2022-02-27","499.8","503","481","483.5","-1.33","17058"
"MHNL","2022-02-24","501.8","501.8","463","490","-0.41","18612"
"MHNL","2022-02-23","506.9","506.9","486.1","492","-1.01","19423"
"MHNL","2022-02-22","505.9","509.9","496","497","0.20","18156"
"MHNL","2022-02-21","496.6","496.6","480","496","1.87","7097"
"MHNL","2022-02-20","498.6","498.6","470","486.9","-0.41","17439"
"MHNL","2022-02-17","499.5","499.5","479","488.9","-0.18","7545"
"MHNL","2022-02-16","510","510","476.7","489.8","-2.04","10366"
"MHNL","2022-02-15","487","500","476","500","4.60","7836"
"MHNL","2022-02-14","476","494.1","467.5","478","2.36","19955"
"MHNL","2022-02-13","486","487","467","467","-5.66","27512"
"MHNL","2022-02-10","500","513","494","495","-1.59","10021"
"MHNL","2022-02-09","509","509","495.4","503","-1.16","8881"
"MHNL","2022-02-08","528.3","538.8","502","508.9","0.00","46344"
"MHNL","2022-02-07","513","524","510","518","0.39","29786"
"MHNL","2022-02-06","510","526","509","516","0.00","39787"
"MHNL","2022-02-03","525","536","511","516","0.19","79292"
"MHNL","2022-02-01","516.1","529","504","515","1.78","32379"
"MHNL","2022-01-31","534.4","534.4","505.1","506","-3.44","18083"
"MHNL","2022-01-30","506.9","527","506.9","524","5.43","34749"
"MHNL","2022-01-27","496","504","488","497","1.84","20998"
"MHNL","2022-01-26","502.8","502.8","474.1","488","-1.01","20547"
"MHNL","2022-01-25","478","512","477.1","493","1.65","40717"
"MHNL","2022-01-24","526","526","482","485","-7.71","59192"
"MHNL","2022-01-23","549","549","525","525.5","-2.69","13363"
"MHNL","2022-01-20","536.5","545","525","540","2.66","45537"
"MHNL","2022-01-19","540","540","517","526","-0.75","25908"
"MHNL","2022-01-18","530.1","551.3","511","530","0.00","61876"
"MHNL","2022-01-17","498.1","531.3","493.1","530","4.33","76362"
"MHNL","2022-01-16","508.9","529","500","508","-0.18","55455"
"MHNL","2022-01-13","474.3","508.9","462","508.9","9.44","31776"
"MHNL","2022-01-12","474","493.9","463.5","465","-3.53","48897"
"MHNL","2022-01-11","465","482","460","482","3.66","39025"
"MHNL","2022-01-10","475","484","455","465","-0.43","27492"
"MHNL","2022-01-09","438","467","438","467","8.60","41985"
"MHNL","2022-01-06","414.9","434","414.9","430","1.61","4299"
"MHNL","2022-01-05","409","439","409","423.2","1.49","33739"
"MHNL","2022-01-04","410","420","410","417","1.96","6302"
"MHNL","2022-01-03","414.9","425","407","409","0.49","7478"
"MHNL","2022-01-02","407","420","401.1","407","1.50","6716"
"MHNL","2021-12-29","397.9","412","397.9","401","-1.23","7181"
"MHNL","2021-12-28","400","410","390.1","406","2.01","17919"
"MHNL","2021-12-27","420","423","397.7","398","-5.69","27206"
"MHNL","2021-12-26","427","433","414","422","-0.94","12268"
"MHNL","2021-12-23","427.8","432.3","414","426","1.43","24283"
"MHNL","2021-12-22","406","423.4","406","420","5.26","14868"
"MHNL","2021-12-21","383.5","403","378.1","399","6.12","10946"
"MHNL","2021-12-20","378","387","373.5","376","-2.34","9955"
"MHNL","2021-12-16","402.1","410","385","385","-6.10","12784"
"MHNL","2021-12-15","411.7","438.6","391","410","1.56","16945"
"MHNL","2021-12-14","374","403.7","368","403.7","10.00","9495"
"MHNL","2021-12-13","386.2","395","364","367","-6.85","13078"
"MHNL","2021-12-12","415","415","381.3","394","-5.40","16614"
"MHNL","2021-12-09","410","438","404","416.5","0.36","9152"
"MHNL","2021-12-08","431","444.5","411.6","415","-4.82","18757"
"MHNL","2021-12-07","464.1","467.9","436","436","-4.18","12972"
"MHNL","2021-12-06","433","466","420","455","3.17","20088"
"MHNL","2021-12-05","457.1","465","440","441","-5.36","31581"
"MHNL","2021-12-02","475","487","461","466","-3.52","23735"
"MHNL","2021-12-01","467","489","467","483","3.85","49420"
"MHNL","2021-11-30","467","470","450","465.1","1.55","12539"
"MHNL","2021-11-29","460","480","451.1","458","-0.22","15223"
"MHNL","2021-11-28","476.3","480","442","459","-5.56","74102"
"MHNL","2021-11-25","480","500","480","486","1.25","20387"
"MHNL","2021-11-24","463","499.8","451","480","1.80","31622"
"MHNL","2021-11-23","479","485","462","471.5","-2.82","18972"
"MHNL","2021-11-22","499","504.5","485.1","485.2","-0.98","21474"
"MHNL","2021-11-21","485","499.8","480","490","2.10","17903"
"MHNL","2021-11-18","510","510","477","479.9","-4.02","28751"
"MHNL","2021-11-17","496.7","526","496.7","500","2.67","43534"
"MHNL","2021-11-16","468","492","463.3","487","6.12","20388"
"MHNL","2021-11-15","463.9","475","454","458.9","0.88","22444"
"MHNL","2021-11-14","445.1","477","437","454.9","2.20","26359"
"MHNL","2021-11-11","458.7","467","442.1","445.1","-4.89","14979"
"MHNL","2021-11-09","486.1","488","461","468","-5.65","20249"
"MHNL","2021-11-08","487.1","534.6","484.2","496","-0.20","40849"
"MHNL","2021-11-03","510","510","490","497","-0.60","17805"
"MHNL","2021-11-02","474","511.4","446.6","500","7.53","32025"
"MHNL","2021-11-01","486","495","462","465","-4.32","38225"
"MHNL","2021-10-31","470","490","451","486","5.19","56795"
"MHNL","2021-10-28","445","468","436.1","462","1.76","25522"
"MHNL","2021-10-27","445","484","414.6","454","3.18","49066"
"MHNL","2021-10-26","408","440","408","440","10.00","34728"
"MHNL","2021-10-25","372.2","401.5","359","400","9.59","30924"
"MHNL","2021-10-24","339","372","332.3","365","5.80","15610"
"MHNL","2021-10-21","341.1","355","333.3","345","0.03","7197"
"MHNL","2021-10-20","336.6","350.1","330.4","344.9","4.52","11865"
"MHNL","2021-10-19","343","355","320","330","-5.71","9493"
"MHNL","2021-10-18","365","373","346.2","350","-5.91","10563"
"MHNL","2021-10-17","372.9","376","362","372","1.75","2280"
"MHNL","2021-10-11","376","390","355","365.6","-4.69","23343"
"MHNL","2021-10-10","402","418.2","376.1","383.6","-6.44","22377"
"MHNL","2021-10-06","396.7","410.9","381.5","410","5.40","24056"
"MHNL","2021-10-05","368","394","368","389","7.76","13699"
"MHNL","2021-10-04","392","399.8","361","361","-6.23","15217"
"MHNL","2021-10-03","421","421","378.9","385","-8.55","33524"
