"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"MICROFINANCE","2022-05-05","4650.79","4650.78","4557.3","4577.41","0.00","153145302.7"
"MICROFINANCE","2022-05-04","4705.63","4721.77","4644.67","4650.78","0.00","125223267.8"
"MICROFINANCE","2022-05-02","4772.59","4774.08","4690.65","4704.37","0.00","137620022.7"
"MICROFINANCE","2022-04-28","4812.68","4837.6","4763.76","4773.44","0.00","130773995.5"
"MICROFINANCE","2022-04-27","4815.45","4820.04","4767.11","4811.47","0.00","98807717.4"
"MICROFINANCE","2022-04-26","4829.88","4867.21","4788.23","4815.02","0.00","129810601.8"
"MICROFINANCE","2022-04-25","4909.26","4948.79","4828.61","4828.61","0.00","205817293.4"
"MICROFINANCE","2022-04-24","4727.31","4921.78","4720.86","4905.48","0.00","225377537.8"
"MICROFINANCE","2022-04-21","4718.22","4735.59","4637.55","4726.06","0.00","255498944"
"MICROFINANCE","2022-04-20","4795.57","4805.88","4704.24","4719.3","0.00","247500546.5"
"MICROFINANCE","2022-04-19","4759.62","4808.59","4721.93","4792.81","0.00","114478847.7"
"MICROFINANCE","2022-04-18","4797.79","4810.82","4732.74","4759.61","0.00","120546100.3"
"MICROFINANCE","2022-04-17","4850.01","4876.21","4782.07","4795.83","0.00","142789859"
"MICROFINANCE","2022-04-13","4734.69","4840.58","4711.42","4840.58","0.00","131400111.1"
"MICROFINANCE","2022-04-12","4790.16","4798.76","4721.65","4739.07","0.00","147031145.1"
"MICROFINANCE","2022-04-11","4843.95","4921.7","4784.88","4790.44","0.00","187126197.7"
"MICROFINANCE","2022-04-07","4778.27","4863.78","4774.5","4842.03","0.00","205164423.1"
"MICROFINANCE","2022-04-06","4833.14","4836.85","4771.83","4778.26","0.00","254682642.9"
"MICROFINANCE","2022-04-05","4900.71","4908.04","4812.89","4832.07","0.00","205861892.2"
"MICROFINANCE","2022-04-04","4930.83","4953.57","4898.96","4900.4","0.00","143455873"
"MICROFINANCE","2022-04-03","4990.43","4998.76","4917.23","4922.51","0.00","125465407"
"MICROFINANCE","2022-03-31","5040.06","5072.56","4986.58","4990.7","0.00","127687277.2"
"MICROFINANCE","2022-03-30","4971.72","5036.57","4947.8","5036.24","0.00","154257661"
"MICROFINANCE","2022-03-29","5004.21","5014.02","4954.13","4965.22","0.00","147695734"
"MICROFINANCE","2022-03-28","5058.57","5081.49","4988.21","4999.76","0.00","333542497.7"
"MICROFINANCE","2022-03-27","5088.33","5134.33","5037.78","5040.24","0.00","167568820.1"
"MICROFINANCE","2022-03-24","5103.6","5112.47","5072.7","5079.95","0.00","446779709.7"
"MICROFINANCE","2022-03-23","5121.19","5148.54","5085.6","5100.43","0.00","200072578.2"
"MICROFINANCE","2022-03-22","5101.95","5138","5101.94","5121.18","0.00","198144086.8"
"MICROFINANCE","2022-03-21","5069.54","5095.26","5046.93","5094.79","0.00","187352281.7"
"MICROFINANCE","2022-03-20","5075.4","5089.4","5040.52","5061.42","0.00","239629724.4"
"MICROFINANCE","2022-03-16","5076.09","5087.96","5052.48","5066.82","0.00","147081599.6"
"MICROFINANCE","2022-03-15","5115.85","5131.21","5059.94","5076.09","0.00","191380608.2"
"MICROFINANCE","2022-03-14","5097.27","5125.35","5074.26","5115.58","0.00","75335240.8"
