"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"MKJC","2022-05-05","508","508","453","465","-6.81","950"
"MKJC","2022-05-04","495","499.8","480.2","499","-1.19","1119"
"MKJC","2022-05-02","538","539","497.4","505","-4.54","3426"
"MKJC","2022-04-28","519.3","540.2","506","529","-0.15","4477"
"MKJC","2022-04-27","519.4","530","501","529.8","-0.04","9465"
"MKJC","2022-04-26","519","538.9","512","530","0.19","280"
"MKJC","2022-04-25","537.1","551.9","516","529","-3.47","6836"
"MKJC","2022-04-24","497","550","497","548","8.30","2665"
"MKJC","2022-04-21","480","517","461.1","506","3.48","732"
"MKJC","2022-04-20","489.1","491","478","489","-2.00","1385"
"MKJC","2022-04-19","483.8","513","456.3","499","1.09","3608"
"MKJC","2022-04-18","507","507.3","484","493.6","-4.53","3300"
"MKJC","2022-04-17","530","545","507.7","517","-3.72","4869"
"MKJC","2022-04-13","533","561","531","537","-0.56","2875"
"MKJC","2022-04-12","550","550","530","540","-3.61","2151"
"MKJC","2022-04-11","580","603.4","560","560.2","-4.73","4160"
"MKJC","2022-04-07","582","606.9","582","588","-0.68","2870"
"MKJC","2022-04-06","573","594","573","592","1.37","2085"
"MKJC","2022-04-05","590","604","580","584","-2.99","6418"
"MKJC","2022-04-04","600.1","625","600","602","-1.63","6209"
"MKJC","2022-04-03","608","615","597","612","-1.29","3313"
"MKJC","2022-03-31","621","637.5","613","620","-1.88","5482"
"MKJC","2022-03-30","624","632","600.1","631.9","3.23","4237"
"MKJC","2022-03-29","641","641","591","612.1","-2.69","3728"
"MKJC","2022-03-28","610","637","610","629","1.45","8742"
"MKJC","2022-03-27","623.3","655","615.4","620","-2.52","7005"
"MKJC","2022-03-24","649.8","653","635","636","-4.07","5868"
"MKJC","2022-03-23","675","675","640","663","-1.03","9565"
"MKJC","2022-03-22","695","695","652.7","669.9","-2.35","5634"
"MKJC","2022-03-21","666","686","643.1","686","3.00","8311"
"MKJC","2022-03-20","678.2","678.2","656.1","666","-3.76","8085"
"MKJC","2022-03-16","665","705","640","692","6.13","6260"
"MKJC","2022-03-15","699","699","650","652","-4.86","7993"
"MKJC","2022-03-14","696","708","681.1","685.3","-3.48","1516"
"MKJC","2022-03-13","690","710","673","710","3.65","19098"
"MKJC","2022-03-10","640","690","634","685","6.04","17914"
"MKJC","2022-03-09","675","675","615","646","-2.86","9292"
"MKJC","2022-03-07","676.2","676.2","644","665","0.30","14258"
"MKJC","2022-03-06","622.6","663","596","663","7.80","19794"
"MKJC","2022-03-02","632","640","595.9","615","-2.69","9396"
"MKJC","2022-02-28","691.5","691.5","621","632","-6.78","12871"
"MKJC","2022-02-27","679.2","720","665.9","678","-2.16","12600"
"MKJC","2022-02-24","705.6","714","666","693","-3.75","19410"
"MKJC","2022-02-23","695.6","733.9","668.6","720","5.57","22703"
"MKJC","2022-02-22","610","682","610","682","10.00","32055"
"MKJC","2022-02-21","589","623.1","589","620","3.51","13753"
"MKJC","2022-02-20","579.1","622","570","599","1.56","17470"
"MKJC","2022-02-17","560","597","560","589.8","3.47","12852"
"MKJC","2022-02-16","600","610","566","570","-5.00","4397"
"MKJC","2022-02-15","575","607","570.1","600","4.35","4530"
"MKJC","2022-02-14","586.1","586.1","575","575","-3.85","2653"
"MKJC","2022-02-13","588","598","556","598","-0.33","9207"
"MKJC","2022-02-10","595","606","585","600","-1.15","5681"
"MKJC","2022-02-09","584.2","607","577.1","607","1.85","8222"
"MKJC","2022-02-08","622.2","622.2","586.1","596","0.00","16099"
"MKJC","2022-02-07","603","615","591.9","610","-0.65","12574"
"MKJC","2022-02-06","650","650","612","614","-3.76","26400"
"MKJC","2022-02-03","610","638","610","638","4.25","39284"
"MKJC","2022-02-01","580","629","574","612","5.52","33991"
"MKJC","2022-01-31","580","580","561","580","0.00","12351"
"MKJC","2022-01-30","592","595","570","580","-0.17","34550"
"MKJC","2022-01-27","579.6","603","557","581","-1.76","10652"
"MKJC","2022-01-26","568.4","591.4","549","591.4","1.97","13347"
"MKJC","2022-01-25","568","591.6","557","580","0.17","17310"
"MKJC","2022-01-24","595","598","565","579","-4.06","24873"
"MKJC","2022-01-23","561","605","561","603.5","9.73","45858"
"MKJC","2022-01-20","491","550","491","550","10.00","35756"
"MKJC","2022-01-19","500","515","492","500","-1.57","8909"
"MKJC","2022-01-18","505.2","525.3","504.7","508","-1.36","9041"
"MKJC","2022-01-17","534","534","504","515","-1.90","11898"
"MKJC","2022-01-16","537.5","548","507","525","-2.33","12772"
"MKJC","2022-01-13","532","543","513","537.5","-0.83","7312"
"MKJC","2022-01-12","530.4","542","490","542","4.23","23881"
"MKJC","2022-01-11","510","525","498","520","0.23","5392"
"MKJC","2022-01-10","493.7","525","484","518.8","3.00","4536"
"MKJC","2022-01-09","475","503.8","466.1","503.7","6.20","12336"
"MKJC","2022-01-06","445","474.3","428","474.3","6.58","7956"
"MKJC","2022-01-05","428","462.7","427.8","445","3.97","10708"
"MKJC","2022-01-04","422","428","415.1","428","1.11","3112"
"MKJC","2022-01-03","411.6","436","411.6","423.3","0.79","2710"
"MKJC","2022-01-02","425","425","410","420","0.77","1877"
"MKJC","2021-12-29","417.1","430","409","416.8","1.91","4132"
"MKJC","2021-12-28","434","434","409","409","-4.88","5055"
"MKJC","2021-12-27","453.9","453.9","416.5","430","-3.57","4649"
"MKJC","2021-12-26","456","463","442.1","445.9","-0.47","4808"
"MKJC","2021-12-23","455","468","444.9","448","0.22","6635"
"MKJC","2021-12-22","451.8","470","444","447","0.90","4255"
"MKJC","2021-12-21","457","459","436.4","443","-1.99","8661"
"MKJC","2021-12-20","470.4","471.2","441.1","452","-5.83","7119"
"MKJC","2021-12-16","508.7","508.7","480","480","-7.51","4875"
"MKJC","2021-12-15","519","528.8","490.1","519","0.10","14255"
"MKJC","2021-12-14","485","518.5","458.2","518.5","8.70","9465"
"MKJC","2021-12-13","495.9","495.9","458","477","-5.73","5768"
"MKJC","2021-12-12","509.6","509.6","470.1","506","-2.69","6650"
"MKJC","2021-12-09","527.3","530","507","520","-3.35","3576"
"MKJC","2021-12-08","517.5","538","500","538","1.89","5559"
"MKJC","2021-12-07","545","555","511.6","528","-3.12","7356"
"MKJC","2021-12-06","555","555","495","545","0.00","6478"
"MKJC","2021-12-05","515.1","545","497","545","3.81","7328"
"MKJC","2021-12-02","555","556.2","525","525","-6.75","4706"
"MKJC","2021-12-01","565","580","555","563","-1.23","7020"
"MKJC","2021-11-30","548.8","573","539","570","1.79","8778"
"MKJC","2021-11-29","545","565","535.1","560","0.92","7635"
