"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"MKLB","2022-05-05","1049","1060","1008","1020","-2.67","280"
"MKLB","2022-05-04","1059.2","1059.2","1020","1048","-2.96","795"
"MKLB","2022-05-02","1100","1100","1080","1080","-3.66","445"
"MKLB","2022-04-28","1107.4","1121","1091","1121","-0.80","245"
"MKLB","2022-04-27","1085","1130","1063.3","1130","3.56","401"
"MKLB","2022-04-26","1100","1122","1091.2","1091.2","-2.31","121"
"MKLB","2022-04-25","1118","1138","1095","1117","-2.02","996"
"MKLB","2022-04-24","1095","1140","1093","1140","2.52","581"
"MKLB","2022-04-21","1057.5","1112","1035","1112","3.06","311"
"MKLB","2022-04-20","1059","1079","1058.5","1079","-0.09","283"
"MKLB","2022-04-19","1053.3","1080","1053.2","1080","0.65","195"
"MKLB","2022-04-18","1086","1107","1073","1073","-2.99","197"
"MKLB","2022-04-17","1105","1120","1105","1106.1","-1.68","270"
"MKLB","2022-04-13","1107.5","1130","1107.5","1125","-0.44","180"
"MKLB","2022-04-12","1111","1140","1068.2","1130","1.69","1574"
"MKLB","2022-04-11","1150","1152","1108.1","1111.2","-1.66","630"
"MKLB","2022-04-07","1150","1153","1130","1130","-0.09","540"
"MKLB","2022-04-06","1128","1150","1128","1131","-1.65","210"
"MKLB","2022-04-05","1158","1180","1141","1150","-2.55","810"
"MKLB","2022-04-04","1170.5","1214","1170.5","1180.1","-0.87","230"
"MKLB","2022-04-03","1200.2","1220","1190.5","1190.5","-2.74","443"
"MKLB","2022-03-31","1270","1278.5","1224.1","1224.1","-2.38","280"
"MKLB","2022-03-30","1200","1254","1200","1254","4.07","914"
"MKLB","2022-03-29","1250","1250","1202","1205","-2.03","436"
"MKLB","2022-03-28","1240","1250","1220","1230","-1.20","931"
"MKLB","2022-03-27","1255.1","1255.1","1236","1245","-2.73","670"
"MKLB","2022-03-24","1260","1285","1253.2","1280","1.42","570"
"MKLB","2022-03-23","1299","1299","1260","1262.1","-1.01","320"
"MKLB","2022-03-22","1305","1305","1262","1275","-0.39","447"
"MKLB","2022-03-21","1273","1280","1256","1280","0.55","280"
"MKLB","2022-03-20","1301","1301","1262.1","1273","-2.15","510"
"MKLB","2022-03-16","1323.8","1323.8","1295","1301","0.23","385"
"MKLB","2022-03-15","1335","1335","1296","1298","-1.67","480"
"MKLB","2022-03-14","1295","1329","1271","1320","1.93","320"
"MKLB","2022-03-13","1250.1","1310","1250.1","1295","1.57","1420"
"MKLB","2022-03-10","1241","1317.1","1241","1275","0.78","840"
"MKLB","2022-03-09","1268","1271.1","1265","1265.1","-1.93","495"
"MKLB","2022-03-07","1250.1","1317.2","1250.1","1290","1.89","620"
"MKLB","2022-03-06","1255","1304","1255","1266.1","-1.09","415"
"MKLB","2022-03-02","1273","1320.9","1250","1280","-1.16","1060"
"MKLB","2022-02-28","1328","1328","1290","1295","-0.61","450"
