"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"MLBBL","2022-05-05","1330","1330","1296.6","1322","-2.07","269"
"MLBBL","2022-05-04","1361","1400","1350","1350","-0.74","340"
"MLBBL","2022-05-02","1405","1405","1360","1360","-4.96","559"
"MLBBL","2022-04-28","1460","1484.4","1431","1431","-3.64","665"
"MLBBL","2022-04-27","1495","1515","1455.1","1485","-0.53","267"
"MLBBL","2022-04-26","1492.9","1492.9","1492.9","1492.9","1.90","50"
"MLBBL","2022-04-25","1520","1520","1465.1","1465.1","-1.95","127"
"MLBBL","2022-04-24","1474","1494.3","1446","1494.3","3.38","868"
"MLBBL","2022-04-21","1474.9","1474.9","1424","1445.4","-0.52","108"
"MLBBL","2022-04-20","1497.3","1497.3","1425","1453","-1.02","71"
"MLBBL","2022-04-19","1412","1468","1412","1468","1.94","165"
"MLBBL","2022-04-18","1440.6","1450","1411.8","1440","-2.04","131"
"MLBBL","2022-04-17","1500","1500","1470","1470","-2.00","226"
"MLBBL","2022-04-13","1405","1500","1381","1500","6.49","500"
"MLBBL","2022-04-12","1421","1421","1375","1408.6","-2.86","889"
"MLBBL","2022-04-11","1386","1450","1386","1450","2.69","361"
"MLBBL","2022-04-07","1428","1429","1401","1412","0.86","307"
"MLBBL","2022-04-06","1438","1439","1400","1400","-0.79","843"
"MLBBL","2022-04-05","1445","1445","1411.2","1411.2","-3.74","279"
"MLBBL","2022-04-04","1466","1466","1466","1466","-1.61","10"
"MLBBL","2022-04-03","1495","1495","1465","1490","-2.30","200"
"MLBBL","2022-03-30","1534","1535","1500","1525","1.40","1020"
"MLBBL","2022-03-29","1451.1","1504","1451.1","1504","1.62","130"
"MLBBL","2022-03-28","1530","1531","1480","1480","-1.40","195"
"MLBBL","2022-03-27","1585","1585","1501","1501","-4.21","660"
"MLBBL","2022-03-24","1595","1600","1567","1567","-1.45","414"
"MLBBL","2022-03-23","1563.1","1590","1532","1590","0.70","445"
"MLBBL","2022-03-22","1605","1605","1565","1579","-0.69","271"
"MLBBL","2022-03-21","1590","1590","1590","1590","1.02","10"
"MLBBL","2022-03-20","1549.4","1580","1529.1","1574","-0.44","65"
"MLBBL","2022-03-16","1570","1581","1550","1581","0.70","100"
"MLBBL","2022-03-15","1600","1600","1568","1570","-1.88","314"
"MLBBL","2022-03-14","1600","1600","1600","1600","0.63","31"
"MLBBL","2022-03-13","1550","1609","1550","1590","3.58","560"
"MLBBL","2022-03-10","1506","1535","1506","1535","2.54","170"
"MLBBL","2022-03-09","1520","1522","1466","1497","-2.86","804"
"MLBBL","2022-03-07","1570","1570","1541","1541","0.06","305"
"MLBBL","2022-03-06","1540","1542","1540","1540","0.00","211"
"MLBBL","2022-03-02","1569","1575","1538","1540","-1.79","811"
"MLBBL","2022-02-28","1567","1568","1567","1568","-1.38","220"
"MLBBL","2022-02-27","1600","1600","1590","1590","-1.12","50"
"MLBBL","2022-02-24","1597","1640","1550","1608","0.12","1061"
"MLBBL","2022-02-23","1605.6","1606.5","1605.5","1606","-1.17","180"
"MLBBL","2022-02-22","1639","1677.9","1625","1625","-0.85","317"
"MLBBL","2022-02-21","1667.7","1667.7","1581","1639","0.24","434"
"MLBBL","2022-02-20","1668","1671","1603.1","1635","-3.82","125"
"MLBBL","2022-02-17","1700","1700","1700","1700","0.00","2"
"MLBBL","2022-02-16","1700","1709","1675","1700","0.00","335"
"MLBBL","2022-02-15","1649","1700","1639","1700","4.94","1893"
"MLBBL","2022-02-14","1600","1620","1600","1620","1.25","179"
"MLBBL","2022-02-13","1689","1689","1567","1600","-3.38","871"
"MLBBL","2022-02-10","1725","1725","1656","1656","-4.00","1333"
"MLBBL","2022-02-09","1702.3","1725","1702.3","1725","-0.69","170"
"MLBBL","2022-02-08","1767.6","1767.6","1707","1737","0.00","1377"
"MLBBL","2022-02-07","1803","1803","1727","1733","-1.98","490"
"MLBBL","2022-02-06","1771.9","1772","1740","1768","-2.21","467"
"MLBBL","2022-02-03","1844.9","1844.9","1775","1808","-0.11","375"
"MLBBL","2022-02-01","1807","1819","1800","1810","-0.49","2108"
"MLBBL","2022-01-31","1738.5","1846","1738.5","1819","2.54","5832"
"MLBBL","2022-01-30","1736","1775","1730","1773.9","4.22","721"
"MLBBL","2022-01-27","1716","1716","1702","1702.1","-0.64","692"
"MLBBL","2022-01-26","1701","1713","1691.6","1713","-0.76","498"
"MLBBL","2022-01-25","1744","1765","1726.1","1726.1","-1.37","1226"
"MLBBL","2022-01-24","1780","1780","1715","1750","-2.78","1891"
"MLBBL","2022-01-23","1804","1805","1782","1800","-0.58","2068"
"MLBBL","2022-01-20","1750","1810.5","1725","1810.5","3.16","3277"
"MLBBL","2022-01-19","1735.1","1755","1730","1755","-0.85","1589"
"MLBBL","2022-01-18","1788","1788","1750","1770","-1.06","2465"
"MLBBL","2022-01-17","1728","1788.9","1728","1788.9","1.47","2385"
"MLBBL","2022-01-16","1711","1794.9","1741","1762.9","3.03","3938"
"MLBBL","2022-01-13","1717","1718.5","1680","1711","1.54","2515"
"MLBBL","2022-01-12","1715","1739.1","1654.3","1685","-0.18","3951"
"MLBBL","2022-01-11","1625","1688","1625","1688","3.56","5267"
"MLBBL","2022-01-10","1662","1662","1602","1630","0.00","1420"
"MLBBL","2022-01-09","1683","1683","1630","1630","-1.27","3432"
"MLBBL","2022-01-06","1640","1651","1625","1651","0.67","692"
"MLBBL","2022-01-05","1685","1700","1622.1","1640","-2.61","508"
"MLBBL","2022-01-04","1680","1684","1650","1683.9","1.75","600"
"MLBBL","2022-01-03","1598.5","1695.2","1598.5","1655","5.60","2368"
"MLBBL","2022-01-02","1840","1963.5","1840","1959","7.34","9030"
"MLBBL","2021-12-29","1846","1887","1790","1825","0.83","517"
"MLBBL","2021-12-28","1792","1835","1757","1810","-0.98","2062"
"MLBBL","2021-12-27","1862","1902","1828","1828","-3.79","3774"
"MLBBL","2021-12-26","1774","1900","1774","1900","9.23","2746"
"MLBBL","2021-12-23","1725","1740","1700","1739.5","-0.66","1994"
"MLBBL","2021-12-22","1640","1768","1640","1751","5.93","1839"
"MLBBL","2021-12-21","1621","1653","1580","1653","3.96","2311"
"MLBBL","2021-12-20","1553.1","1631.5","1553.1","1590","0.63","494"
"MLBBL","2021-12-16","1617","1617","1580","1580","-4.24","807"
"MLBBL","2021-12-15","1650","1738","1640","1650","0.00","846"
"MLBBL","2021-12-14","1561","1650","1561","1650","7.77","1073"
"MLBBL","2021-12-13","1585","1615","1524","1531","-5.20","2674"
"MLBBL","2021-12-12","1705","1750","1600","1615","-6.10","3658"
"MLBBL","2021-12-09","1690.9","1785","1682.1","1719.9","-0.30","578"
"MLBBL","2021-12-08","1770","1797","1705.2","1725","-4.11","997"
"MLBBL","2021-12-07","1846.2","1883","1750","1799","-0.61","265"
"MLBBL","2021-12-06","1820","1820","1780","1810","0.67","409"
"MLBBL","2021-12-05","1849","1866.6","1735.7","1798","-2.76","845"
"MLBBL","2021-12-02","1865","1901","1800","1849","-2.68","1366"
"MLBBL","2021-12-01","1855","1960","1855","1900","0.85","275"
"MLBBL","2021-11-30","1915.8","1949","1881.1","1884","0.21","404"
"MLBBL","2021-11-29","1832","1902","1832","1880","1.02","917"
"MLBBL","2021-11-28","1862","1905","1847","1861","-2.05","656"
"MLBBL","2021-11-25","1851.1","1958","1851.1","1900","0.69","371"
"MLBBL","2021-11-24","1955.3","1955.3","1872","1887","-1.56","743"
"MLBBL","2021-11-23","1990","1990","1877.1","1917","-1.74","941"
"MLBBL","2021-11-22","1901.2","2008","1901.2","1951","0.57","1316"
"MLBBL","2021-11-21","2010","2010","1931","1940","-1.77","779"
"MLBBL","2021-11-18","1986","2065.5","1930","1975","-2.47","545"
"MLBBL","2021-11-17","1947","2029","1915","2025","2.02","576"
"MLBBL","2021-11-16","1999","2035","1980","1985","-1.00","1290"
"MLBBL","2021-11-15","1924","2005","1890","2005","2.30","2223"
"MLBBL","2021-11-14","1921","2000","1921","1960","0.10","1325"
"MLBBL","2021-11-11","1950","2024","1946","1958","-1.36","1809"
"MLBBL","2021-11-09","2150","2150","1985","1985","-7.42","4277"
"MLBBL","2021-11-08","2185","2185.8","2098","2144","0.05","1634"
"MLBBL","2021-11-03","2142","2143","2060","2143","2.05","2568"
"MLBBL","2021-11-02","2120","2125","2077.9","2100","-0.94","1055"
"MLBBL","2021-11-01","2110","2145","2080","2119.9","-0.10","795"
"MLBBL","2021-10-31","2050","2148.4","2050","2122","2.76","1612"
"MLBBL","2021-10-28","2060","2110","2051","2065","-0.72","3442"
"MLBBL","2021-10-27","2028.6","2095","2028.6","2080","0.48","1684"
"MLBBL","2021-10-26","2009","2090","1992","2070","2.99","3394"
"MLBBL","2021-10-25","2020","2020","1923","2010","0.50","1239"
"MLBBL","2021-10-24","1890","2000","1850","2000","4.60","1786"
"MLBBL","2021-10-21","1935","1970","1912","1912","0.05","951"
"MLBBL","2021-10-20","1986.9","1987","1911","1911","-1.90","1297"
"MLBBL","2021-10-19","1924","2015","1848.1","1948","1.25","4329"
"MLBBL","2021-10-18","1992","2000","1877","1924","-5.31","1392"
"MLBBL","2021-10-17","2010","2063","1955","2032","0.10","3285"
"MLBBL","2021-10-11","1961","2030","1925","2030","1.65","3416"
"MLBBL","2021-10-10","2059.3","2180","1979","1997","-1.09","3575"
"MLBBL","2021-10-06","1872","2019","1872","2019","10.00","4800"
"MLBBL","2021-10-05","1823","1879","1788","1835.5","2.66","1274"
"MLBBL","2021-10-04","1660.5","1790","1640","1788","9.83","2941"
"MLBBL","2021-10-03","1600","1670","1600","1628","-0.12","1107"
"MLBBL","2021-09-30","1647","1700","1584.8","1630","0.80","2051"
"MLBBL","2021-09-29","1675","1700","1615.1","1617.1","-1.70","749"
"MLBBL","2021-09-28","1712","1730","1645","1645","-2.66","2951"
"MLBBL","2021-09-27","1701.1","1701.1","1664","1690","-2.31","967"
"MLBBL","2021-09-26","1750","1765","1727","1730","-2.48","1384"
"MLBBL","2021-09-23","1805","1805","1770","1774","0.23","1557"
"MLBBL","2021-09-22","1749","1809","1716","1770","3.21","1942"
"MLBBL","2021-09-21","1690","1740","1640","1715","0.88","1949"
"MLBBL","2021-09-20","1850","1871","1695","1700.1","-7.35","3762"
"MLBBL","2021-09-16","1845","1887","1800","1835","-2.40","2713"
"MLBBL","2021-09-15","1899.1","1915","1874","1880.2","-1.66","1957"
"MLBBL","2021-09-14","1940","1940","1910","1912","0.10","991"
"MLBBL","2021-09-13","1970","1970","1906.5","1910","-1.80","1333"
"MLBBL","2021-09-12","1938","1945","1903","1945","2.37","1410"
"MLBBL","2021-09-09","1900","1900","1870","1900","1.60","1529"
"MLBBL","2021-09-08","1882","1900","1865","1870","-0.58","1909"
"MLBBL","2021-09-07","1931","1931","1880","1881","-4.37","2691"
"MLBBL","2021-09-06","1845.1","1967","1845.1","1967","5.19","1831"
"MLBBL","2021-09-05","1951","1951","1860","1870","-6.03","5737"
"MLBBL","2021-09-02","2060","2081","1990","1990","-1.49","983"
"MLBBL","2021-09-01","2060.5","2061","2020","2020","-1.97","1175"
"MLBBL","2021-08-31","2093","2093","2051","2060.5","-3.49","1178"
"MLBBL","2021-08-29","2102","2135","2030","2135","0.09","4412"
"MLBBL","2021-08-26","2140","2182","2130.2","2133","-1.66","1744"
"MLBBL","2021-08-25","2168","2200","2161","2169","-1.45","1200"
"MLBBL","2021-08-24","2205","2235","2196","2201","0.00","1327"
"MLBBL","2021-08-19","2210","2220","2200","2201","-1.73","1251"
"MLBBL","2021-08-18","2201","2241","2200.1","2239.7","-0.24","1061"
"MLBBL","2021-08-17","2300","2300","2190","2245","-1.06","1945"
"MLBBL","2021-08-16","2325","2325","2241.1","2269","-0.48","1306"
"MLBBL","2021-08-15","2200","2284","2200","2280","2.06","5106"
"MLBBL","2021-08-12","2224","2250","2180","2234","0.45","3315"
"MLBBL","2021-08-11","2260","2298","2215","2224","-0.94","1174"
"MLBBL","2021-08-10","2250","2273.9","2245","2245","0.31","2569"
"MLBBL","2021-08-09","2270","2270","2217","2238","-1.41","2813"
"MLBBL","2021-08-08","2290","2290","2241","2270","-0.87","2415"
"MLBBL","2021-08-05","2350","2350","2290","2290","-3.33","3552"
"MLBBL","2021-08-04","2448","2450","2335","2369","-1.29","6827"
