"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"MLBSL","2022-05-05","3455.1","3499","3455.1","3462","-0.20","1238"
"MLBSL","2022-05-04","3500","3500","3467","3469","-0.09","758"
"MLBSL","2022-05-02","3480","3500","3448","3472","-1.22","578"
"MLBSL","2022-04-28","3500","3540","3480","3515","0.00","514"
"MLBSL","2022-04-27","3530","3530","3421","3515","0.86","863"
"MLBSL","2022-04-26","3510","3580","3484","3485","-1.02","1224"
"MLBSL","2022-04-25","3550","3590","3520","3521","-0.54","854"
"MLBSL","2022-04-24","3500","3550","3435","3540","2.91","944"
"MLBSL","2022-04-21","3412","3450","3406","3440","0.82","818"
"MLBSL","2022-04-20","3410","3464","3400","3412","-0.38","640"
"MLBSL","2022-04-19","3401","3465","3400","3425","0.00","714"
"MLBSL","2022-04-18","3415","3450","3400","3425","-0.44","1361"
"MLBSL","2022-04-17","3430","3498","3430","3440","-0.43","1431"
"MLBSL","2022-04-13","3450","3485","3420","3455","0.29","913"
"MLBSL","2022-04-12","3416","3480","3416","3445","-1.03","1246"
"MLBSL","2022-04-11","3511","3550","3480.1","3481","0.46","1463"
"MLBSL","2022-04-07","3440","3499","3415","3465","0.73","1568"
"MLBSL","2022-04-06","3451","3480","3400","3440","-1.38","1015"
"MLBSL","2022-04-05","3500","3500","3460","3488","-0.91","1733"
"MLBSL","2022-04-04","3500.1","3586.3","3500","3520","0.11","1031"
"MLBSL","2022-04-03","3526","3548","3515","3516","-1.24","1071"
"MLBSL","2022-03-31","3570","3626.1","3520","3560","0.14","1732"
"MLBSL","2022-03-30","3525","3555","3525","3555","-0.11","1295"
"MLBSL","2022-03-29","3585","3585","3545","3559","-0.86","1532"
"MLBSL","2022-03-28","3565","3618","3550","3590","0.14","1232"
"MLBSL","2022-03-27","3635","3635","3585","3585","-1.13","2217"
"MLBSL","2022-03-24","3699","3699","3621.1","3626","-0.11","1503"
"MLBSL","2022-03-23","3620","3650","3618","3630","-0.41","1585"
"MLBSL","2022-03-22","3650","3700","3645","3645","0.39","1310"
"MLBSL","2022-03-21","3640","3650","3620","3631","-0.52","1752"
"MLBSL","2022-03-20","3620","3692","3620","3650","0.05","1149"
"MLBSL","2022-03-16","3700","3700","3640","3648","-1.06","1512"
"MLBSL","2022-03-15","3745","3745","3687","3687","-1.55","1607"
"MLBSL","2022-03-14","3730","3749","3700","3745","0.54","452"
"MLBSL","2022-03-13","3600","3730","3600","3725","3.47","2124"
"MLBSL","2022-03-10","3557","3610","3550","3600","0.47","1456"
"MLBSL","2022-03-09","3650","3665","3570","3583","-0.47","1033"
"MLBSL","2022-03-07","3620","3621","3560","3600","1.41","1508"
"MLBSL","2022-03-06","3450","3598","3450","3550","0.85","1889"
"MLBSL","2022-03-02","3565","3600","3510","3520","-2.76","3112"
"MLBSL","2022-02-28","3672","3700","3570","3620","0.53","1518"
"MLBSL","2022-02-27","3577","3645","3577","3601","-1.34","1597"
"MLBSL","2022-02-24","3650","3700","3620","3650","-0.65","2568"
"MLBSL","2022-02-23","3774","3774","3671","3674","-0.70","1160"
"MLBSL","2022-02-22","3750","3769.9","3700","3700","0.11","1284"
"MLBSL","2022-02-21","3700","3720","3690","3696","0.65","1759"
"MLBSL","2022-02-20","3645.6","3720","3620","3672","-1.29","2702"
"MLBSL","2022-02-17","3705","3758.7","3650","3720","0.40","4014"
"MLBSL","2022-02-16","3725","3794","3675","3705","-2.37","2288"
"MLBSL","2022-02-15","3778","3850","3750","3795","2.43","1043"
"MLBSL","2022-02-14","3640","3750","3640","3705","-0.11","2398"
"MLBSL","2022-02-13","3730.1","3786","3650","3709","-2.03","3301"
"MLBSL","2022-02-10","3758.1","3900","3758.1","3786","-1.10","521"
"MLBSL","2022-02-09","3850","3855.6","3780","3828","-0.18","704"
"MLBSL","2022-02-08","3911.7","3925","3830","3835","0.00","1622"
"MLBSL","2022-02-07","3810","3852","3810","3835","-0.36","700"
"MLBSL","2022-02-06","3911","3911","3842","3849","-2.43","1128"
"MLBSL","2022-02-03","3980","4010","3940","3945","-0.70","1513"
"MLBSL","2022-02-01","3980","4010","3900","3973","1.07","2080"
"MLBSL","2022-01-31","4000","4030","3930","3931.1","-1.67","3141"
"MLBSL","2022-01-30","3814.8","4046","3814.8","3998","6.90","5159"
"MLBSL","2022-01-27","3799","3799","3700","3740","0.40","300"
"MLBSL","2022-01-26","3702.1","3750","3702.1","3725","-0.80","558"
"MLBSL","2022-01-25","3690","3820","3689.9","3755","0.00","1193"
"MLBSL","2022-01-24","3890","3890","3720","3755","-3.47","2428"
"MLBSL","2022-01-23","3916.7","3995","3841","3890","1.30","1722"
"MLBSL","2022-01-20","3889.9","3889.9","3800","3840","0.66","592"
"MLBSL","2022-01-19","3791","3850","3760","3815","0.90","1760"
"MLBSL","2022-01-18","3915","3961","3775","3781","-3.08","2061"
"MLBSL","2022-01-17","3931","3932","3800","3901","1.19","3056"
"MLBSL","2022-01-16","3680","3900","3750","3855","4.76","3024"
"MLBSL","2022-01-13","3600","3717","3600","3680","1.60","1241"
"MLBSL","2022-01-12","3700","3738","3622","3622","-1.31","2345"
"MLBSL","2022-01-11","3530","3744","3530","3670.1","2.83","1915"
"MLBSL","2022-01-10","3600","3613","3567","3569","-0.75","934"
"MLBSL","2022-01-09","3630","3630","3577","3596","0.59","1641"
"MLBSL","2022-01-06","3565","3600","3505","3575","0.28","616"
"MLBSL","2022-01-05","3600","3640","3530","3565","-0.83","1597"
"MLBSL","2022-01-04","3510","3620","3510","3595","0.70","965"
"MLBSL","2022-01-03","3510","3640","3510","3570","1.91","1010"
"MLBSL","2022-01-02","3483.3","3549","3479","3503","2.58","1449"
"MLBSL","2021-12-29","3400","3450","3390","3415","0.44","1224"
"MLBSL","2021-12-28","3381","3450","3324","3400","-1.42","1226"
"MLBSL","2021-12-27","3540","3600","3411","3449","-2.57","1557"
"MLBSL","2021-12-26","3500","3650","3500","3540","1.72","2187"
"MLBSL","2021-12-23","3420","3500","3410","3480","0.87","1476"
"MLBSL","2021-12-22","3468","3530","3400","3450","1.47","2654"
"MLBSL","2021-12-21","3400","3500","3400","3400","0.29","1606"
"MLBSL","2021-12-20","3313","3500","3312.5","3390","0.30","785"
"MLBSL","2021-12-16","3480","3480","3356","3380","-2.87","943"
"MLBSL","2021-12-15","3559.8","3750","3360","3480","-0.29","3360"
"MLBSL","2021-12-14","3244.6","3499.1","3244.6","3490","9.71","1620"
"MLBSL","2021-12-13","3350","3350","3029","3181","-3.61","4308"
"MLBSL","2021-12-12","3550","3570","3300","3300","-5.71","2169"
"MLBSL","2021-12-09","3660","3660","3497","3500","-3.71","2817"
"MLBSL","2021-12-08","3675.2","3748","3630","3635","-2.76","1108"
"MLBSL","2021-12-07","3825","3875","3735","3738","-0.32","2595"
"MLBSL","2021-12-06","3750","3825","3575","3750","-0.66","2999"
"MLBSL","2021-12-05","3959","4015","3760","3775","-4.91","4051"
"MLBSL","2021-12-02","3732.1","4024.8","3732.1","3970","8.50","19475"
"MLBSL","2021-12-01","5490","5490","5390","5397","0.15","17175"
"MLBSL","2021-11-30","5480","5480","5352.1","5389","0.19","5327"
"MLBSL","2021-11-29","5321","5420","5301","5379","1.09","3521"
"MLBSL","2021-11-28","5450","5450","5305","5321","-1.46","3498"
"MLBSL","2021-11-25","5280","5449.5","5280","5400","0.93","6290"
"MLBSL","2021-11-24","5250","5369.9","5205.1","5350","1.48","4652"
"MLBSL","2021-11-23","5350","5350","5200","5272","-0.51","4406"
"MLBSL","2021-11-22","5280","5315","5275","5299","0.55","5143"
"MLBSL","2021-11-21","5344","5355","5239","5270","0.38","4002"
"MLBSL","2021-11-18","5300","5324","5200","5250","0.10","4239"
"MLBSL","2021-11-17","5295.8","5300","5217","5245","1.02","5242"
"MLBSL","2021-11-16","5110","5200","5083","5192","1.74","2118"
"MLBSL","2021-11-15","5040","5103","5000","5103","1.25","1262"
"MLBSL","2021-11-14","5025","5100","5000","5040","0.30","1488"
"MLBSL","2021-11-11","5100","5150","5020","5025","-1.82","1560"
"MLBSL","2021-11-09","5151","5220","5100","5118","-1.20","2853"
"MLBSL","2021-11-08","5150","5300","5150","5180","0.97","1985"
"MLBSL","2021-11-03","5200","5200","5101","5130","-0.39","1176"
"MLBSL","2021-11-02","5253","5253","5125","5150","0.00","1426"
"MLBSL","2021-11-01","5155","5200","5150","5150","-0.10","2175"
"MLBSL","2021-10-31","5160","5230","5103","5155","0.21","3187"
"MLBSL","2021-10-28","5098","5174","5098","5144","0.88","2354"
"MLBSL","2021-10-27","5118","5140","5020","5099","-0.41","1873"
"MLBSL","2021-10-26","5081","5150","5081","5120","0.87","2332"
"MLBSL","2021-10-25","5100","5146","5044","5076","0.16","2618"
"MLBSL","2021-10-24","5000","5080","4948.1","5068","3.32","4177"
"MLBSL","2021-10-21","5025","5025","4835.1","4905","-0.55","1314"
"MLBSL","2021-10-20","4926.8","5050","4911","4932","2.11","2085"
"MLBSL","2021-10-19","4901","4901","4793","4830.2","-2.44","3343"
"MLBSL","2021-10-18","5101","5178.9","4949.1","4951","-4.81","4254"
"MLBSL","2021-10-17","5310","5319","5170","5201","-0.36","1377"
"MLBSL","2021-10-11","5350","5350","5088","5220","-0.57","8644"
"MLBSL","2021-10-10","4896","5280","4896","5249.8","9.37","35958"
"MLBSL","2021-10-06","4650","4824.9","4600","4800","4.35","3290"
"MLBSL","2021-10-05","4617","4750","4600","4600","1.62","2895"
"MLBSL","2021-10-04","4219","4526.7","4218","4526.7","9.08","2549"
"MLBSL","2021-10-03","4400","4420","4130","4150","-3.80","1100"
"MLBSL","2021-09-30","4150","4320","4150","4314","4.73","2132"
"MLBSL","2021-09-29","4068.1","4150","3917","4119","1.25","1474"
"MLBSL","2021-09-28","4130","4225","4068.1","4068.1","-3.37","803"
"MLBSL","2021-09-27","4250","4250","4083","4210","-1.86","1754"
"MLBSL","2021-09-26","4361","4361","4280","4290","-1.63","763"
"MLBSL","2021-09-23","4434","4440","4351.2","4361","-1.62","580"
"MLBSL","2021-09-22","4401","4437","4315","4432.9","2.73","960"
"MLBSL","2021-09-21","4320","4466","4240","4315.1","-1.70","979"
"MLBSL","2021-09-20","4461.1","4461.1","4285","4389.9","-1.60","2725"
"MLBSL","2021-09-16","4510","4530","4460","4461.1","-1.95","2098"
"MLBSL","2021-09-15","4600","4650","4508","4550","-1.75","862"
"MLBSL","2021-09-14","4600","4686","4560","4631","0.32","682"
"MLBSL","2021-09-13","4590","4710","4585","4616","-0.32","1237"
"MLBSL","2021-09-12","4595","4688","4565","4631","0.78","1845"
"MLBSL","2021-09-09","4599","4625","4511.5","4595","-0.43","1005"
"MLBSL","2021-09-08","4700","4700","4557","4615","-0.75","1422"
"MLBSL","2021-09-07","4750","4830","4650","4650","-1.88","1212"
"MLBSL","2021-09-06","4650","4740","4482","4739","3.77","2306"
"MLBSL","2021-09-05","4600","4669","4460","4567","-2.62","2215"
"MLBSL","2021-09-02","4650","4730","4650","4690","0.86","1534"
"MLBSL","2021-09-01","4804","4804","4650","4650","-1.29","3124"
"MLBSL","2021-08-31","4792","4810","4700","4711","-3.48","4266"
