"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"MLBS","2022-05-05","1176","1200","1165","1192","-0.67","485"
"MLBS","2022-05-04","1190","1207","1170","1200","0.84","815"
"MLBS","2022-05-02","1192","1200","1171","1190","-2.14","416"
"MLBS","2022-04-28","1187","1229.1","1187","1216","2.88","540"
"MLBS","2022-04-27","1196","1200","1174","1182","-3.11","320"
"MLBS","2022-04-26","1221","1221","1188.1","1220","-1.93","925"
"MLBS","2022-04-25","1235","1259.7","1227","1244","-0.48","375"
"MLBS","2022-04-24","1174.1","1270","1170","1250","4.34","630"
"MLBS","2022-04-21","1154","1200","1154","1198","1.78","280"
"MLBS","2022-04-20","1181.1","1201","1177","1177","-2.32","480"
"MLBS","2022-04-19","1183","1216","1183","1205","0.00","220"
"MLBS","2022-04-18","1233.9","1233.9","1200","1205","-4.29","534"
"MLBS","2022-04-17","1250","1259","1232","1259","-0.71","630"
"MLBS","2022-04-13","1250","1269","1205","1268","1.44","1040"
"MLBS","2022-04-12","1260","1265","1245","1250","-1.96","705"
"MLBS","2022-04-11","1302","1302","1275","1275","-1.54","680"
"MLBS","2022-04-07","1266.2","1310.6","1266.2","1295","0.23","850"
"MLBS","2022-04-06","1281.5","1292","1261.2","1292","0.82","305"
"MLBS","2022-04-05","1339.5","1340","1270.5","1281.5","-2.77","536"
"MLBS","2022-04-04","1319.2","1340","1317","1318","-1.86","485"
"MLBS","2022-04-03","1312","1380","1312","1343","0.97","1063"
"MLBS","2022-03-31","1350","1355","1330.1","1330.1","-2.84","450"
"MLBS","2022-03-30","1315.1","1400","1315.1","1369","2.16","1385"
"MLBS","2022-03-29","1360","1360","1327.1","1340","-2.04","410"
"MLBS","2022-03-28","1365","1369.9","1340","1367.9","-1.59","510"
"MLBS","2022-03-27","1386.1","1390","1350","1390","-1.70","1043"
"MLBS","2022-03-24","1350.1","1460","1350.1","1414","2.91","1200"
"MLBS","2022-03-23","1351.1","1374","1351.1","1374","0.37","1537"
"MLBS","2022-03-22","1400","1400","1368","1369","-0.44","670"
"MLBS","2022-03-21","1390","1390","1362","1375","-0.36","395"
"MLBS","2022-03-20","1389","1389","1363","1380","-0.72","480"
"MLBS","2022-03-16","1395","1410","1382","1390","1.45","695"
"MLBS","2022-03-15","1375","1380.2","1366","1370.1","-1.43","590"
"MLBS","2022-03-14","1421","1430","1366.2","1390","-0.29","250"
"MLBS","2022-03-13","1340","1394","1340","1394","3.26","633"
"MLBS","2022-03-10","1316.1","1350","1316.1","1350","1.12","470"
"MLBS","2022-03-09","1336","1345","1333","1335","-1.04","471"
"MLBS","2022-03-07","1340","1352","1321","1349","1.06","300"
"MLBS","2022-03-06","1333","1345","1311","1334.9","2.13","455"
"MLBS","2022-03-02","1333","1359","1301","1307","-3.76","651"
"MLBS","2022-02-28","1400","1404.7","1357.3","1358.1","-1.39","753"
"MLBS","2022-02-27","1393","1395","1376","1377.2","-1.13","300"
"MLBS","2022-02-24","1420","1420","1390.2","1393","-2.72","754"
"MLBS","2022-02-23","1420","1448","1403","1432","2.07","935"
"MLBS","2022-02-22","1380","1425","1380","1403","1.26","1260"
"MLBS","2022-02-21","1400","1430","1380","1385.5","0.25","1356"
"MLBS","2022-02-20","1399","1410","1349","1382","-1.29","770"
"MLBS","2022-02-17","1422","1425","1394","1400","-1.55","1135"
"MLBS","2022-02-16","1421","1447","1402","1422","0.14","468"
"MLBS","2022-02-15","1369","1420","1369","1420","2.16","860"
"MLBS","2022-02-14","1370","1405","1370","1390","1.31","585"
"MLBS","2022-02-13","1403.5","1420","1372","1372","-4.19","1975"
"MLBS","2022-02-10","1430","1458","1430","1432","-1.24","570"
"MLBS","2022-02-09","1432","1455","1426","1450","-0.76","990"
"MLBS","2022-02-08","1500","1530","1450","1461.1","0.00","1119"
"MLBS","2022-02-07","1471","1500","1471","1490","-0.67","903"
"MLBS","2022-02-06","1489.6","1500","1477","1500","-1.32","1020"
"MLBS","2022-02-03","1535","1561","1520","1520","-2.56","2875"
"MLBS","2022-02-01","1570.9","1571.9","1531","1560","-0.78","1251"
"MLBS","2022-01-31","1580","1600","1530","1572.2","1.43","1940"
"MLBS","2022-01-30","1482","1590","1482","1550","6.68","2751"
"MLBS","2022-01-27","1428","1460","1406","1453","3.79","730"
"MLBS","2022-01-26","1435","1450","1400","1400","-4.24","1441"
"MLBS","2022-01-25","1450","1485","1441","1462","-0.54","1413"
"MLBS","2022-01-24","1515","1515","1469","1470","-4.23","1569"
"MLBS","2022-01-23","1540","1581","1530","1535","-0.97","1307"
"MLBS","2022-01-20","1522","1600","1516.2","1550","0.78","2935"
"MLBS","2022-01-19","1541.3","1565","1535","1538","-0.13","3221"
"MLBS","2022-01-18","1590","1653","1539","1540","-5.00","4705"
"MLBS","2022-01-17","1656","1685","1600","1621","-2.05","2350"
"MLBS","2022-01-16","1600","1695","1600","1655","3.44","4063"
"MLBS","2022-01-13","1530","1600","1522","1600","4.58","3540"
"MLBS","2022-01-12","1515","1616","1500","1530","2.00","5859"
"MLBS","2022-01-11","1400","1540","1400","1500","7.14","5380"
"MLBS","2022-01-10","1395","1415","1381","1400","0.00","1050"
"MLBS","2022-01-09","1388","1437","1388","1400","0.86","2681"
"MLBS","2022-01-06","1363","1400","1363","1388","-0.14","960"
"MLBS","2022-01-05","1390","1446","1361","1390","0.00","930"
"MLBS","2022-01-04","1388.2","1399","1337","1390","2.13","1138"
"MLBS","2022-01-03","1366.8","1421","1330","1361","1.57","850"
