"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"MMF1","2022-05-05","8.14","8.45","8.03","8.16","-1.69","20450"
"MMF1","2022-05-04","8.33","8.55","8.24","8.3","-0.36","7708"
"MMF1","2022-05-02","8.33","8.5","8.33","8.33","-2.00","20425"
"MMF1","2022-04-28","8.4","8.67","8.4","8.5","0.00","7663"
"MMF1","2022-04-27","8.5","8.65","8.33","8.5","-1.96","19797"
"MMF1","2022-04-26","8.27","8.67","8.27","8.67","3.34","27250"
"MMF1","2022-04-25","8.38","8.8","8.38","8.39","-1.87","34152"
"MMF1","2022-04-24","8.2","8.7","8.2","8.55","2.27","11350"
"MMF1","2022-04-21","8.16","8.36","8.11","8.36","0.48","59010"
"MMF1","2022-04-20","8.75","8.75","8.3","8.32","-4.91","15380"
"MMF1","2022-04-19","8.3","8.75","8.3","8.75","5.42","8976"
"MMF1","2022-04-18","8.2","8.45","8.2","8.3","0.12","10825"
"MMF1","2022-04-17","8.15","8.3","8.13","8.29","0.00","13200"
"MMF1","2022-04-13","8.25","8.42","8.25","8.29","-0.24","14001"
"MMF1","2022-04-12","8.5","8.52","8.3","8.31","-1.07","12600"
"MMF1","2022-04-11","8.44","8.6","8.38","8.4","-2.21","63213"
"MMF1","2022-04-07","8.5","8.59","8.33","8.59","1.30","35625"
"MMF1","2022-04-06","8.55","8.61","8.4","8.48","-2.30","40330"
"MMF1","2022-04-05","8.51","8.68","8.51","8.68","0.00","34000"
"MMF1","2022-04-04","8.79","8.82","8.63","8.68","-1.25","15240"
"MMF1","2022-04-03","9","9","8.78","8.79","-1.24","20950"
"MMF1","2022-03-31","8.74","9","8.74","8.9","-0.11","3240"
"MMF1","2022-03-30","8.73","8.91","8.73","8.91","0.22","23542"
"MMF1","2022-03-29","8.82","8.89","8.67","8.89","-1.22","6350"
"MMF1","2022-03-28","8.9","9","8.8","9","1.24","18290"
"MMF1","2022-03-27","9","9","8.89","8.89","-0.89","50440"
"MMF1","2022-03-24","8.93","9","8.93","8.97","-1.43","36680"
"MMF1","2022-03-23","8.88","9.1","8.77","9.1","0.44","27200"
"MMF1","2022-03-22","9","9.06","8.75","9.06","2.26","36675"
"MMF1","2022-03-21","8.9","9","8.75","8.86","-0.45","19247"
"MMF1","2022-03-20","9.13","9.13","8.83","8.9","-1.00","7500"
"MMF1","2022-03-16","9","9","8.81","8.99","0.45","18786"
"MMF1","2022-03-15","8.7","8.95","8.7","8.95","1.94","15071"
"MMF1","2022-03-14","8.76","8.8","8.7","8.78","-1.68","3800"
"MMF1","2022-03-13","9.02","9.2","8.84","8.93","-2.93","21355"
"MMF1","2022-03-10","8.6","9.2","8.58","9.2","5.75","28934"
"MMF1","2022-03-09","8.72","8.75","8.65","8.7","-1.92","25330"
"MMF1","2022-03-07","8.7","8.87","8.67","8.87","1.95","12072"
"MMF1","2022-03-06","8.74","8.91","8.67","8.7","-2.36","34794"
"MMF1","2022-03-02","8.85","8.93","8.74","8.91","0.00","24239"
"MMF1","2022-02-28","8.88","9.1","8.88","8.91","-0.78","41610"
"MMF1","2022-02-27","9","9.1","8.95","8.98","-0.22","132390"
"MMF1","2022-02-24","9.08","9.1","8.8","9","-1.96","32300"
"MMF1","2022-02-23","9.06","9.3","9.06","9.18","0.33","6800"
"MMF1","2022-02-22","9.15","9.19","9.12","9.15","-1.93","34500"
"MMF1","2022-02-21","8.85","9.33","8.85","9.33","3.67","30825"
"MMF1","2022-02-20","9","9.01","8.82","9","-1.96","10475"
"MMF1","2022-02-17","9","9.34","8.91","9.18","2.00","2205"
"MMF1","2022-02-16","9","9.28","9","9","-0.11","39650"
"MMF1","2022-02-15","9.11","9.2","8.95","9.01","-1.10","16600"
"MMF1","2022-02-14","8.98","9.2","8.98","9.11","-0.44","34600"
"MMF1","2022-02-13","9.1","9.15","8.85","9.15","0.55","39500"
"MMF1","2022-02-10","9.04","9.2","9.04","9.1","-1.09","25600"
"MMF1","2022-02-09","9.04","9.2","9.04","9.2","-0.22","10175"
"MMF1","2022-02-08","9.2","9.29","9.12","9.22","0.00","20860"
"MMF1","2022-02-07","9.3","9.3","9.1","9.12","-0.11","23321"
"MMF1","2022-02-06","9.4","9.4","9.04","9.13","-1.83","21150"
"MMF1","2022-02-03","9.03","9.36","9.03","9.3","1.09","22120"
"MMF1","2022-02-01","9","9.3","9","9.2","0.44","48870"
"MMF1","2022-01-31","9.3","9.35","9.12","9.16","-0.11","21710"
"MMF1","2022-01-30","9.2","9.38","9.02","9.17","-1.93","44130"
"MMF1","2022-01-27","9.06","9.35","9.01","9.35","2.86","48386"
"MMF1","2022-01-26","9.1","9.2","9.05","9.09","-2.05","19051"
"MMF1","2022-01-25","9","9.28","9","9.28","1.53","25450"
"MMF1","2022-01-24","9.4","9.4","9.05","9.14","-1.72","26700"
