"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"MMFDBP","2022-01-02","586","586","586","586","0.00","19868"
"MMFDBP","2021-12-27","586","586","586","586","0.00","3500"
"MMFDBP","2021-12-26","586","586","586","586","0.00","9000"
"MMFDBP","2021-10-25","586","586","586","586","0.00","28500"
"MMFDBP","2021-10-24","586","586","586","586","0.00","28500"
"MMFDBP","2021-10-06","575","586","575","586","1.91","35237"
"MMFDBP","2021-10-04","575","575","575","575","0.52","27000"
"MMFDBP","2021-09-27","561","572","561","572","4.00","2184"
"MMFDBP","2021-09-02","906","906","906","906","0.00","34938"
"MMFDBP","2021-07-05","906","906","906","906","0.11","1638"
"MMFDBP","2021-06-29","905","905","905","905","0.00","3000"
"MMFDBP","2021-03-18","535","535","535","535","0.00","6000"
"MMFDBP","2021-03-16","535","535","535","535","0.00","7000"
"MMFDBP","2021-03-15","535","535","535","535","1.71","7000"
"MMFDBP","2021-03-09","526","526","526","526","0.19","15400"
"MMFDBP","2021-03-01","525","525","525","525","0.00","17980"
"MMFDBP","2021-02-28","525","525","525","525","0.00","3000"
"MMFDBP","2021-02-24","525","525","525","525","0.00","5367"
"MMFDBP","2021-02-16","525","525","525","525","0.00","3000"
"MMFDBP","2021-02-11","525","525","525","525","0.00","1450"
"MMFDBP","2021-01-25","525","525","525","525","0.00","25000"
"MMFDBP","2021-01-24","525","525","525","525","0.00","10000"
"MMFDBP","2021-01-19","525","525","525","525","0.00","7000"
"MMFDBP","2021-01-13","525","525","525","525","0.00","10938"
"MMFDBP","2020-12-31","525","525","525","525","0.02","6062"
"MMFDBP","2020-12-23","517","517","517","517","0.00","179"
"MMFDBP","2020-11-24","517","517","517","517","0.00","1500"
"MMFDBP","2020-11-23","517","517","517","517","0.00","31500"
"MMFDBP","2020-09-29","517","517","517","517","0.00","23309"
"MMFDBP","2020-09-16","403","403","403","403","-0.06","25010"
"MMFDBP","2018-12-23","500","500","500","500","0.00","35479"
"MMFDBP","2018-12-10","510","510","500","500","-1.96","12099"
