"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"MMFDB","2022-05-05","1150","1150","1120","1129","-1.83","1309"
"MMFDB","2022-05-04","1165","1175","1144.1","1150","-1.28","1185"
"MMFDB","2022-05-02","1175","1177.9","1150","1164.9","-0.94","1295"
"MMFDB","2022-04-28","1213","1221","1176","1176","-1.84","2721"
"MMFDB","2022-04-27","1175.1","1198","1175.1","1198","0.00","141"
"MMFDB","2022-04-26","1199.1","1199.4","1198","1198","-1.56","575"
"MMFDB","2022-04-25","1220","1240","1216","1217","-0.25","1708"
"MMFDB","2022-04-24","1184","1220","1184","1220","3.04","3362"
"MMFDB","2022-04-21","1152","1184","1130","1184","0.77","2448"
"MMFDB","2022-04-20","1196","1198","1149.5","1175","0.00","1155"
"MMFDB","2022-04-19","1165","1183.2","1160","1175","-0.25","475"
"MMFDB","2022-04-18","1176.3","1185","1165.3","1178","-0.93","1452"
"MMFDB","2022-04-17","1182","1189","1180","1189","-0.17","860"
"MMFDB","2022-04-13","1170","1205","1165","1191","0.93","1210"
"MMFDB","2022-04-12","1198","1198","1165","1180","-2.48","1855"
"MMFDB","2022-04-11","1215","1235","1187","1210","-0.08","1436"
"MMFDB","2022-04-07","1188","1223","1180.1","1211","1.94","3548"
"MMFDB","2022-04-06","1175.1","1213","1170","1188","-0.17","1900"
"MMFDB","2022-04-05","1226","1234","1190","1190","-4.34","2030"
"MMFDB","2022-04-04","1230","1250","1224","1244","0.32","1603"
"MMFDB","2022-04-03","1260","1260","1235","1240","-1.59","680"
"MMFDB","2022-03-31","1258","1260","1236","1260","-1.49","601"
"MMFDB","2022-03-30","1230","1279","1230","1279","1.91","2853"
"MMFDB","2022-03-29","1278","1297","1253","1255","-3.68","1838"
"MMFDB","2022-03-28","1343.3","1343.3","1289.7","1303","-1.06","150"
"MMFDB","2022-03-27","1326","1326","1290","1317","-0.98","2241"
"MMFDB","2022-03-24","1300","1350","1300","1330","2.31","2652"
"MMFDB","2022-03-23","1280","1320","1280","1300","1.17","2689"
"MMFDB","2022-03-22","1280","1285","1266.1","1285","0.39","648"
