"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"MNBBLP","2022-03-30","275","275","275","275","-1.79","50000"
"MNBBLP","2022-03-27","280","280","280","280","0.00","8000"
"MNBBLP","2022-01-09","232","232","232","232","0.22","14818"
"MNBBLP","2021-11-30","231.5","231.5","231.5","231.5","0.00","8000"
"MNBBLP","2021-11-29","231.5","231.5","231.5","231.5","0.00","2000"
"MNBBLP","2021-11-28","231.5","231.5","231.5","231.5","0.00","6000"
"MNBBLP","2021-11-18","224","231.5","224","231.5","5.23","35609"
"MNBBLP","2021-11-17","220","220","220","220","0.00","29447"
"MNBBLP","2021-11-15","220","220","220","220","0.00","98150"
"MNBBLP","2021-10-06","216","220","216","220","1.85","77799"
"MNBBLP","2021-09-28","216","216","216","216","-1.82","31728"
"MNBBLP","2021-08-16","220","220","220","220","0.00","6000"
"MNBBLP","2021-08-15","220","220","220","220","0.00","6000"
"MNBBLP","2021-08-09","220","220","220","220","0.00","140000"
"MNBBLP","2021-07-13","220","220","220","220","0.00","340000"
"MNBBLP","2021-07-12","220","220","220","220","0.00","37589"
"MNBBLP","2021-07-08","220","220","220","220","0.00","11125"
"MNBBLP","2021-07-06","220","220","220","220","0.00","1528"
"MNBBLP","2021-06-01","220","220","220","220","0.00","50000"
"MNBBLP","2021-05-23","220","220","220","220","0.00","20000"
"MNBBLP","2021-04-22","220","220","220","220","0.00","35000"
"MNBBLP","2021-04-15","220","220","220","220","0.00","3330"
"MNBBLP","2021-04-13","220","220","220","220","0.00","1308"
"MNBBLP","2021-04-12","220","220","220","220","0.00","18565"
"MNBBLP","2021-04-01","220","220","220","220","0.00","25000"
"MNBBLP","2021-03-09","220","220","220","220","0.00","10000"
"MNBBLP","2020-12-28","182","182","182","182","0.00","3544"
"MNBBLP","2020-12-27","182","182","182","182","0.00","67776"
"MNBBLP","2020-12-24","182","182","182","182","0.00","94403"
"MNBBLP","2020-12-15","182","182","182","182","0.00","12305"
"MNBBLP","2020-12-13","182","182","182","182","-0.02","117022"
"MNBBLP","2020-12-07","185","185","185","185","0.00","20000"
"MNBBLP","2020-11-29","185","185","185","185","0.00","7056"
"MNBBLP","2020-10-29","185","185","185","185","1.65","145962"
"MNBBLP","2020-10-20","182","182","182","182","-1.62","23200"
"MNBBLP","2020-09-30","185","185","185","185","0.00","25000"
"MNBBLP","2020-08-25","185","185","185","185","0.00","3000"
"MNBBLP","2020-08-17","185","185","185","185","1.09","22764"
"MNBBLP","2020-08-13","183","183","183","183","0.00","11700"
"MNBBLP","2020-07-29","170","170","170","170","-1.16","13000"
"MNBBLP","2020-07-23","172","172","172","172","0.00","5000"
"MNBBLP","2020-03-16","172","172","172","172","-1.71","90000"
"MNBBLP","2019-12-08","175","175","175","175","-1.69","15000"
"MNBBLP","2019-11-24","178","178","178","178","-1.66","33760"
"MNBBLP","2019-11-19","181","181","181","181","0.00","86272"
"MNBBLP","2019-11-17","181","181","181","181","0.00","20000"
"MNBBLP","2019-11-10","181","181","181","181","-1.63","11254"
"MNBBLP","2019-11-07","184","184","184","184","0.00","27000"
"MNBBLP","2019-11-05","184","184","184","184","0.00","50000"
"MNBBLP","2019-11-04","184","184","184","184","-1.60","7000"
"MNBBLP","2019-08-15","187","187","187","187","0.00","7000"
"MNBBLP","2019-08-13","187","188","187","187","0.00","102500"
"MNBBLP","2019-08-04","187","187","187","187","0.00","10000"
"MNBBLP","2019-07-30","187","187","187","187","0.00","4730"
"MNBBLP","2019-07-24","187","187","187","187","0.00","20000"
"MNBBLP","2019-07-23","187","187","187","187","0.00","4209"
"MNBBLP","2019-07-21","187","187","187","187","-1.58","30966"
"MNBBLP","2019-07-15","190","190","190","190","0.00","18000"
"MNBBLP","2019-07-01","190","190","190","190","-1.55","30000"
"MNBBLP","2019-06-25","196","196","193","193","-3.50","70000"
"MNBBLP","2019-05-29","200","200","200","200","-1.96","15540"
"MNBBLP","2019-05-21","204","204","204","204","0.00","14190"
"MNBBLP","2019-04-25","204","204","204","204","0.00","2553"
"MNBBLP","2019-04-10","204","204","204","204","0.00","50000"
"MNBBLP","2019-04-02","204","204","204","204","-1.92","40000"
"MNBBLP","2019-03-25","208","208","208","208","-1.89","100000"
"MNBBLP","2019-03-24","212","212","212","212","0.00","7500"
"MNBBLP","2019-03-17","212","212","212","212","-1.85","15000"
"MNBBLP","2019-02-14","216","220","216","216","-1.82","50000"
"MNBBLP","2018-12-18","220","220","220","220","0.00","2864"
"MNBBLP","2018-12-17","220","220","220","220","0.00","20000"
"MNBBLP","2018-12-03","220","220","220","220","0.00","5000"
"MNBBLP","2018-12-02","220","220","220","220","0.00","3360"
"MNBBLP","2018-10-31","220","220","220","220","0.00","13650"
"MNBBLP","2018-10-01","211","211","211","211","0.00","4000"
"MNBBLP","2018-09-13","211","211","211","211","0.00","20000"
"MNBBLP","2018-09-12","211","211","211","211","0.96","6000"
"MNBBLP","2018-09-10","209","209","209","209","-1.88","1500"
"MNBBLP","2018-09-03","213","213","213","213","-0.93","30000"
"MNBBLP","2018-08-28","215","215","215","215","-0.92","2500"
"MNBBLP","2018-08-26","217","217","217","217","0.00","25200"
"MNBBLP","2018-07-09","217","217","217","217","0.00","5000"
"MNBBLP","2018-07-03","217","217","217","217","0.00","4500"
"MNBBLP","2018-06-14","217","217","217","217","0.00","34000"
"MNBBLP","2018-06-11","217","217","217","217","0.00","61825"
"MNBBLP","2018-04-19","217","217","217","217","0.00","55000"
"MNBBLP","2018-04-02","217","217","217","217","0.00","1000"
"MNBBLP","2018-03-29","217","217","217","217","0.00","5000"
"MNBBLP","2017-12-05","463","463","463","463","0.00","8500"
"MNBBLP","2017-11-22","463","463","463","463","0.00","5000"
"MNBBLP","2017-11-01","463","463","463","463","0.00","36799"
"MNBBLP","2017-10-31","463","463","463","463","0.00","29000"
"MNBBLP","2017-08-15","463","463","463","463","0.00","7000"
"MNBBLP","2017-07-26","463","463","463","463","-1.91","5520"
"MNBBLP","2017-07-17","472","472","472","472","-1.87","28322"
"MNBBLP","2017-07-12","481","481","481","481","-1.84","77200"
"MNBBLP","2017-07-02","490","490","490","490","0.00","40000"
"MNBBLP","2017-06-28","490","490","490","490","0.00","9313"
"MNBBLP","2017-06-27","490","490","490","490","0.00","560"
"MNBBLP","2017-06-21","490","490","490","490","-2.00","10000"
"MNBBLP","2017-06-19","500","500","500","500","0.00","22900"
"MNBBLP","2017-04-16","500","500","500","500","0.00","5000"
"MNBBLP","2017-02-08","500","500","500","500","0.00","1500"
"MNBBLP","2016-11-08","500","500","500","500","0.00","27462"
"MNBBLP","2016-11-07","500","500","500","500","0.00","15000"
"MNBBLP","2016-11-03","500","500","500","500","0.00","13304"
"MNBBLP","2016-09-14","500","500","500","500","0.00","3632"
"MNBBLP","2016-09-11","500","500","500","500","0.20","2055"
"MNBBLP","2016-09-05","499","499","499","499","1.84","20000"
"MNBBLP","2016-08-21","490","490","490","490","0.00","14630"
"MNBBLP","2016-08-17","490","490","490","490","1.87","32029"
"MNBBLP","2016-08-15","481","481","481","481","0.00","16972"
"MNBBLP","2016-05-30","481","481","481","481","0.00","4000"
"MNBBLP","2016-05-18","481","481","481","481","0.00","10000"
"MNBBLP","2016-05-12","481","481","481","481","-1.84","9000"
"MNBBLP","2016-05-04","500","490","490","490","-2.00","28100"
"MNBBLP","2015-12-28","285","285","285","285","0.00","1350"
"MNBBLP","2015-12-25","285","285","285","285","0.00","6126"
"MNBBLP","2015-12-20","280","285","285","285","1.79","2388"
"MNBBLP","2015-11-26","280","280","280","280","0.00","3200"
"MNBBLP","2015-11-18","280","280","280","280","0.00","6300"
"MNBBLP","2015-10-15","280","280","280","280","0.00","14453"
"MNBBLP","2015-10-05","280","280","280","280","0.00","23500"
"MNBBLP","2015-09-30","280","280","280","280","0.00","60000"
"MNBBLP","2015-09-29","280","280","280","280","0.00","9912"
"MNBBLP","2015-07-14","280","280","280","280","0.00","20000"
"MNBBLP","2015-07-08","280","280","280","280","0.00","7847"
"MNBBLP","2015-06-16","285","280","280","280","-1.75","9416"
"MNBBLP","2015-06-15","285","285","285","285","0.00","11867"
"MNBBLP","2015-05-28","285","285","285","285","0.00","27827"
"MNBBLP","2015-04-22","285","285","285","285","0.00","85114"
"MNBBLP","2015-03-29","285","285","285","285","0.00","10000"
