"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"MNBBL","2022-05-05","460","460","447","450","-1.75","38787"
"MNBBL","2022-05-04","475.3","475.3","455","458","-1.72","20312"
"MNBBL","2022-05-02","480","482","466","466","-2.94","22516"
"MNBBL","2022-04-28","494.7","494.7","480","480.1","-1.01","15546"
"MNBBL","2022-04-27","479.9","487","473","485","1.06","22611"
"MNBBL","2022-04-26","480","489.9","476.5","479.9","-1.30","13641"
"MNBBL","2022-04-25","492","495","481","486.2","-0.57","25620"
"MNBBL","2022-04-24","472.2","490.9","463","489","5.62","40295"
"MNBBL","2022-04-21","467.1","467.1","450.9","463","1.09","22960"
"MNBBL","2022-04-20","472.1","480","456","458","-1.06","24050"
"MNBBL","2022-04-19","469","469","451","462.9","0.61","18029"
"MNBBL","2022-04-18","458.1","470","454.9","460.1","-0.84","22334"
"MNBBL","2022-04-17","479.4","479.4","460.6","464","-1.28","19346"
"MNBBL","2022-04-13","464","470","459","470","1.51","24610"
"MNBBL","2022-04-12","465.5","467","460","463","-1.07","21940"
"MNBBL","2022-04-11","481","491","467.1","468","-0.85","28090"
"MNBBL","2022-04-07","468","475.9","465","472","0.85","28336"
"MNBBL","2022-04-06","476","482","464.1","468","-1.68","46535"
"MNBBL","2022-04-05","495.7","495.7","470.4","476","-2.06","39874"
"MNBBL","2022-04-04","494.7","494.7","478","486","0.21","23912"
"MNBBL","2022-04-03","499","499","484","485","-1.02","14689"
"MNBBL","2022-03-31","500","501.8","489","490","-0.41","19705"
"MNBBL","2022-03-30","493.5","496","484","492","1.65","37404"
"MNBBL","2022-03-29","490","499.5","484","484","-1.22","36772"
"MNBBL","2022-03-28","496.2","502.8","489","490","-1.31","31456"
"MNBBL","2022-03-27","519.1","519.1","495","496.5","-2.46","39347"
"MNBBL","2022-03-24","505","518","505","509","-1.15","30174"
"MNBBL","2022-03-23","520","520","511","514.9","-1.00","14125"
"MNBBL","2022-03-22","516","525","516","520.1","1.01","26585"
"MNBBL","2022-03-21","505","516","499","514.9","1.98","31870"
"MNBBL","2022-03-20","515","520","498","504.9","-1.10","31720"
"MNBBL","2022-03-16","523.9","524","510","510.5","-1.45","26906"
"MNBBL","2022-03-15","525.5","528","513.1","518","-1.33","42888"
"MNBBL","2022-03-14","530","530","512","525","0.96","14335"
"MNBBL","2022-03-13","495","525","495","520","6.56","62273"
"MNBBL","2022-03-10","473","488.5","466","488","3.39","39008"
"MNBBL","2022-03-09","488","494","471.8","472","-2.78","43611"
"MNBBL","2022-03-07","490","495","485","485.5","-0.51","33214"
"MNBBL","2022-03-06","488","493.9","479.3","488","1.46","35184"
"MNBBL","2022-03-02","493","497","481","481","-3.61","40280"
"MNBBL","2022-02-28","516","525.9","499","499","-1.38","48427"
"MNBBL","2022-02-27","510","515","502","506","-0.78","36877"
"MNBBL","2022-02-24","530.4","530.4","509","510","-1.92","44932"
"MNBBL","2022-02-23","525","534","520","520","-1.33","21637"
"MNBBL","2022-02-22","520","530","517","527","2.53","47300"
"MNBBL","2022-02-21","515","520","510","514","0.59","23198"
"MNBBL","2022-02-20","515.5","517.9","500","511","-2.18","50599"
"MNBBL","2022-02-17","525","530","520.2","522.4","-0.50","19173"
"MNBBL","2022-02-16","525","540","523.5","525","-1.69","30933"
"MNBBL","2022-02-15","525.9","534","518.5","534","1.71","45892"
"MNBBL","2022-02-14","522","542","521","525","0.57","23978"
"MNBBL","2022-02-13","530","535","521","522","-3.33","52704"
"MNBBL","2022-02-10","548","552","540","540","-0.74","21266"
"MNBBL","2022-02-09","550","554","542","544","-1.45","26283"
"MNBBL","2022-02-08","567.1","577","546.9","552","0.00","38384"
"MNBBL","2022-02-07","562","562.3","546","556","0.85","24275"
"MNBBL","2022-02-06","556","565","551.2","551.3","-1.55","27432"
"MNBBL","2022-02-03","569.9","579","560","560","-1.39","50855"
"MNBBL","2022-02-01","570","570","555","567.9","1.57","31014"
"MNBBL","2022-01-31","579","579","558.2","559.1","-1.65","43679"
"MNBBL","2022-01-30","553.8","577","553.8","568.5","4.70","64898"
"MNBBL","2022-01-27","558","558","540","543","-0.82","39083"
"MNBBL","2022-01-26","550","555","540","547.5","-0.45","52983"
"MNBBL","2022-01-25","565","565","547","550","-0.72","53745"
"MNBBL","2022-01-24","588.5","588.5","550.1","554","-3.99","97847"
"MNBBL","2022-01-23","585","596","573","577","-0.86","61431"
"MNBBL","2022-01-20","569","582.9","563","582","2.28","63604"
"MNBBL","2022-01-19","588.5","588.5","567.5","569","-1.39","59068"
"MNBBL","2022-01-18","595","595","571.5","577","-2.20","60309"
"MNBBL","2022-01-17","599","599","582.1","590","-0.02","52050"
"MNBBL","2022-01-16","590.7","603","585.5","590.1","1.88","84669"
"MNBBL","2022-01-13","560","579.5","550.1","579.2","3.43","64826"
"MNBBL","2022-01-12","582","587","555","560","-2.78","92532"
"MNBBL","2022-01-11","570","580","567","576","1.77","78332"
"MNBBL","2022-01-10","575","586","560","566","0.16","77678"
"MNBBL","2022-01-09","545","570","540.1","565.1","5.43","85089"
"MNBBL","2022-01-06","525","536","525","536","1.52","48131"
"MNBBL","2022-01-05","530","547.8","522.5","528","-0.38","83036"
"MNBBL","2022-01-04","515","532","510","530","2.91","82464"
"MNBBL","2022-01-03","520.2","524","510","515","0.98","36360"
"MNBBL","2022-01-02","504.9","512","495","510","3.03","47768"
"MNBBL","2021-12-29","498","502","494","495","-0.40","17723"
"MNBBL","2021-12-28","502.8","502.8","484.2","497","0.81","30685"
"MNBBL","2021-12-27","512","513","492.1","493","-3.14","80363"
"MNBBL","2021-12-26","507.9","515","500","509","2.00","68510"
"MNBBL","2021-12-23","513.5","513.5","490","499","-0.89","57937"
"MNBBL","2021-12-22","494.7","507","490","503.5","3.81","52433"
"MNBBL","2021-12-21","480","487.3","472","485","3.04","24016"
"MNBBL","2021-12-20","493.6","493.6","463","470.7","-2.75","25936"
"MNBBL","2021-12-16","503","503","480","484","-2.22","37932"
"MNBBL","2021-12-15","493","523","476","495","2.27","98353"
"MNBBL","2021-12-14","453.9","484","450","484","8.28","30276"
"MNBBL","2021-12-13","450.8","468","430","447","-2.83","82877"
"MNBBL","2021-12-12","495","495","460","460","-6.69","63414"
"MNBBL","2021-12-09","494","500.8","484","493","-0.10","42832"
"MNBBL","2021-12-08","505","512","492","493.5","-2.66","46602"
"MNBBL","2021-12-07","520","534","505","507","-0.59","64020"
"MNBBL","2021-12-06","500","515","480","510","2.00","91114"
"MNBBL","2021-12-05","532","532","500","500","-6.19","93752"
"MNBBL","2021-12-02","555","561","527","533","-4.48","71321"
"MNBBL","2021-12-01","569.7","575","557","558","-2.39","111382"
"MNBBL","2021-11-30","678","680","666.1","672.1","0.92","111407"
"MNBBL","2021-11-29","685","690","661","666","-0.89","77069"
"MNBBL","2021-11-28","687","697","666","672","-3.31","96723"
"MNBBL","2021-11-25","711","715","694","695","-1.28","49431"
"MNBBL","2021-11-24","699","711","685","704","0.72","56649"
"MNBBL","2021-11-23","711","714","696","699","-1.69","54959"
"MNBBL","2021-11-22","728","728","707.1","711","-0.42","53642"
"MNBBL","2021-11-21","715.9","727","712","714","-0.27","27797"
"MNBBL","2021-11-18","725","733","715","715.9","-1.53","63986"
"MNBBL","2021-11-17","729","741","725","727","-0.27","92039"
"MNBBL","2021-11-16","736.9","736.9","713.5","729","0.55","53416"
"MNBBL","2021-11-15","718","730","708","725","2.84","69051"
"MNBBL","2021-11-14","692","714","679","705","2.47","56570"
"MNBBL","2021-11-11","705","705","681","688","-2.82","83884"
"MNBBL","2021-11-09","730","735","704","708","-3.28","100145"
"MNBBL","2021-11-08","746","748","732","732","-1.61","31754"
"MNBBL","2021-11-03","767","767","744","744","-1.06","66013"
"MNBBL","2021-11-02","743","759.7","725","752","1.90","104597"
"MNBBL","2021-11-01","749","760","730","738","0.00","130909"
"MNBBL","2021-10-31","726.2","741","726.2","738","3.65","133514"
"MNBBL","2021-10-28","723","723","705","712","-0.70","48850"
"MNBBL","2021-10-27","720","731","700.7","717","0.01","84214"
"MNBBL","2021-10-26","706","724","703.5","716.9","3.52","83742"
"MNBBL","2021-10-25","676.1","695","666","692.5","4.47","63030"
"MNBBL","2021-10-24","656.1","669.1","656","662.9","1.05","22185"
"MNBBL","2021-10-21","674","674","650","656","-1.35","34654"
"MNBBL","2021-10-20","661.9","679.9","650","665","2.47","29987"
"MNBBL","2021-10-19","670","670","640","649","-3.13","63783"
"MNBBL","2021-10-18","688","693","660","670","-4.18","63601"
"MNBBL","2021-10-17","702","705","686","699.2","1.35","21841"
"MNBBL","2021-10-11","690","693.6","671","689.9","0.04","35639"
"MNBBL","2021-10-10","701.7","714.9","688","689.6","0.23","74232"
"MNBBL","2021-10-06","679.9","693","670","688","3.15","47823"
"MNBBL","2021-10-05","636.2","670","636.2","667","2.76","38287"
"MNBBL","2021-10-04","643.9","664","640","649.1","-1.20","47683"
"MNBBL","2021-10-03","669","671","651","657","-1.22","56671"
"MNBBL","2021-09-30","693.4","693.4","665","665.1","-2.18","52831"
"MNBBL","2021-09-29","675","680","640","679.9","2.72","92397"
"MNBBL","2021-09-28","685","690","652","661.9","-3.37","105702"
"MNBBL","2021-09-27","706","710","681.1","685","-2.97","62161"
"MNBBL","2021-09-26","722","735","703","706","-0.56","101054"
"MNBBL","2021-09-23","730","744","705","710","-1.25","103201"
"MNBBL","2021-09-22","686","720.1","685","719","6.84","110988"
"MNBBL","2021-09-21","669","704","635","673","0.60","138857"
"MNBBL","2021-09-20","700","705","662","669","-5.11","162387"
"MNBBL","2021-09-16","725","725","695.2","705","-2.76","187789"
"MNBBL","2021-09-15","748","748","721","725","-1.23","63917"
"MNBBL","2021-09-14","738","762","727","734","-0.54","63816"
"MNBBL","2021-09-13","753.7","764","734","738","-0.14","140576"
"MNBBL","2021-09-12","715","744","701","739","4.08","134330"
"MNBBL","2021-09-09","720","723.8","700","710","-0.03","77874"
"MNBBL","2021-09-08","753","753","710","710.2","-4.16","88712"
"MNBBL","2021-09-07","773","773","725","741","-2.23","113245"
"MNBBL","2021-09-06","680","757.9","676","757.9","10.00","192396"
"MNBBL","2021-09-05","710","719","671.3","689","-4.44","221717"
"MNBBL","2021-09-02","740","750","715","721","-2.59","130650"
"MNBBL","2021-09-01","755","770","740","740.2","-1.04","140658"
"MNBBL","2021-08-31","769.9","770","740","748","-2.86","206098"
"MNBBL","2021-08-29","791","796","766.4","770","-1.41","178178"
"MNBBL","2021-08-26","765","794","756.5","781","2.09","191094"
"MNBBL","2021-08-25","780","780","751","765","-2.05","163046"
"MNBBL","2021-08-24","824","825","780","781","-3.46","231910"
"MNBBL","2021-08-19","835","849","800","809","-3.00","250797"
"MNBBL","2021-08-18","810","850","783","834","4.77","378552"
"MNBBL","2021-08-17","768","801","753","796","5.01","431589"
"MNBBL","2021-08-16","770","780","749","758","-0.39","146819"
"MNBBL","2021-08-15","775","779.1","740","761","-1.68","352722"
"MNBBL","2021-08-12","730","780","729","774","6.03","441188"
"MNBBL","2021-08-11","740","775","725","730","-0.68","165724"
"MNBBL","2021-08-10","705","749","697","735","5.91","372361"
"MNBBL","2021-08-09","709","710","692","694","-1.08","61794"
"MNBBL","2021-08-08","714","716.8","700","701.6","0.23","110858"
"MNBBL","2021-08-05","689","724","683","700","1.89","171968"
"MNBBL","2021-08-04","685","691","681","687","0.75","69772"
"MNBBL","2021-08-03","690","690","677","681.9","-0.01","58082"
"MNBBL","2021-08-02","695","695","680","682","-0.58","63532"
"MNBBL","2021-08-01","693","696","686","686","0.15","60028"
"MNBBL","2021-07-29","695","699","685","685","-0.97","60233"
"MNBBL","2021-07-28","694.5","700","690","691.7","-0.19","58861"
"MNBBL","2021-07-27","682.1","693","671","693","-0.43","84333"
"MNBBL","2021-07-26","690","699","686","696","0.87","110105"
"MNBBL","2021-07-25","692","696","683.1","690","1.02","91519"
"MNBBL","2021-07-22","692","692","682","683","0.44","70887"
"MNBBL","2021-07-20","687","693","676.3","680","-0.87","56675"
"MNBBL","2021-07-19","690","700","680","686","0.75","105448"
"MNBBL","2021-07-18","670","685","670","680.9","3.64","126539"
"MNBBL","2021-07-15","662","668","657","657","-0.30","69027"
"MNBBL","2021-07-14","670","671","651","659","-0.45","46601"
"MNBBL","2021-07-13","655","669","644","662","1.38","59538"
"MNBBL","2021-07-12","663","680","640","653","-1.51","157746"
"MNBBL","2021-07-11","656","669","631","663","6.08","142556"
"MNBBL","2021-07-08","614","627","611","625","1.79","62935"
"MNBBL","2021-07-07","610","622","610","614","0.66","44136"
"MNBBL","2021-07-06","602","618","602","610","0.33","36689"
"MNBBL","2021-07-05","620","620","606","608","-2.41","62143"
"MNBBL","2021-07-04","632","639","620","623","-1.42","75690"
"MNBBL","2021-07-01","640","642","618","632","1.77","149039"
"MNBBL","2021-06-30","598","626","570","621","3.85","189295"
"MNBBL","2021-06-29","614","620","594","598","-2.61","128805"
"MNBBL","2021-06-28","632","632","613","614","-0.97","54577"
"MNBBL","2021-06-27","624","633","602","620","-0.64","97503"
"MNBBL","2021-06-24","625","639","613","624","-1.73","161712"
"MNBBL","2021-06-23","666","670","631","635","-3.79","140071"
"MNBBL","2021-06-22","650","660","615","660","5.94","202277"
"MNBBL","2021-06-21","660","665","620","623","-4.89","254148"
"MNBBL","2021-06-20","692","692","642","655","-4.24","234792"
"MNBBL","2021-06-17","670","690","655","684","2.09","202788"
"MNBBL","2021-06-16","698","700","660","670","-3.87","248595"
"MNBBL","2021-06-15","719","725","690","697","-3.06","326288"
"MNBBL","2021-06-14","745","745","707","719","-0.55","294290"
"MNBBL","2021-06-13","673","730","673","723","7.43","473398"
"MNBBL","2021-06-10","667","690","650","673","0.90","320422"
"MNBBL","2021-06-09","700","728","654","667","-0.04","446185"
"MNBBL","2021-06-08","650","693","645","693","10.00","419243"
"MNBBL","2021-06-07","599","635","570","632","7.12","542454"
"MNBBL","2021-06-06","580","599","570","590","4.24","330025"
"MNBBL","2021-06-03","546","580","542","566","5.60","401847"
"MNBBL","2021-06-02","535","543","506","536","5.10","281942"
"MNBBL","2021-06-01","510","522","504","510","-0.97","147173"
"MNBBL","2021-05-31","535","545","511","515","-2.46","195702"
"MNBBL","2021-05-30","500","537","498","528","6.67","354716"
"MNBBL","2021-05-27","470","505","462","495","3.13","229003"
"MNBBL","2021-05-25","490","492","478","480","-1.84","134359"
"MNBBL","2021-05-24","510","510","485","489","-1.41","218625"
"MNBBL","2021-05-23","460","502","444","496","7.59","395201"
"MNBBL","2021-05-20","455","462","450","461","2.22","150510"
"MNBBL","2021-05-19","458","458","446","451","-0.88","105483"
"MNBBL","2021-05-18","447","456","447","455","1.79","156008"
"MNBBL","2021-05-17","450","455","441","447","-0.22","90156"
"MNBBL","2021-05-16","450","450","441","448","2.52","103870"
"MNBBL","2021-05-13","430","444","427","437","1.63","100723"
"MNBBL","2021-05-12","435","435","427","430","0.00","19288"
"MNBBL","2021-05-11","432","432","428","430","0.23","30064"
"MNBBL","2021-05-10","423","430","421","429","1.42","27964"
"MNBBL","2021-05-09","447","447","420","423","-0.70","41896"
"MNBBL","2021-05-06","428","429","423","426","-0.47","52034"
"MNBBL","2021-05-05","428","432","426","428","-0.23","40543"
"MNBBL","2021-05-04","437","437","428","429","-0.69","35112"
"MNBBL","2021-05-03","446","446","429","432","-1.59","55041"
"MNBBL","2021-05-02","436","441","427","439","1.15","63640"
"MNBBL","2021-04-29","429","435","422","434","1.17","30629"
"MNBBL","2021-04-28","435","435","420","429","-0.23","38807"
"MNBBL","2021-04-27","410","430","410","429","4.38","77062"
"MNBBL","2021-04-26","421","425","409","411","-3.52","113897"
"MNBBL","2021-04-25","440","444","424","425","-3.19","113404"
"MNBBL","2021-04-22","460","460","430","439","0.00","90181"
"MNBBL","2021-04-21","450","455","435","439","-1.57","106613"
"MNBBL","2021-04-20","445","451","437","445","2.53","233517"
"MNBBL","2021-04-19","448","448","430","434","-1.36","103424"
