"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"MSMBS","2021-01-21","1167","1259","1167","1259","0.10","4871"
"MSMBS","2021-01-20","1102","1155","1030","1145","0.09","8642"
"MSMBS","2021-01-19","1090","1111","1036","1050","-0.02","5065"
"MSMBS","2021-01-18","1073","1137","1069","1069","0.02","8318"
"MSMBS","2021-01-17","976","1052","950","1052","0.10","11079"
"MSMBS","2021-01-13","976","980","950","957","-0.04","6568"
"MSMBS","2021-01-12","921","995","921","995","0.06","2892"
"MSMBS","2021-01-11","963","964","910","939","-0.01","560"
"MSMBS","2021-01-10","917","962","917","945","0.01","2918"
"MSMBS","2021-01-07","900","945","900","935","0.05","4838"
"MSMBS","2021-01-06","875","910","875","891","0.02","644"
"MSMBS","2021-01-05","862","875","862","875","-0.00","87"
"MSMBS","2021-01-04","865","889","862","879","0.01","928"
"MSMBS","2021-01-03","872","889","856","872","0.00","1138"
"MSMBS","2020-12-31","850","888","850","872","0.01","488"
"MSMBS","2020-12-30","875","912","860","862","-0.01","1013"
"MSMBS","2020-12-29","860","894","860","870","0.02","418"
"MSMBS","2020-12-28","850","870","850","856","-0.01","409"
"MSMBS","2020-12-27","889","889","865","866","-0.03","149"
"MSMBS","2020-12-24","926","926","891","891","-0.06","274"
"MSMBS","2020-12-23","945","957","942","943","-0.02","6326"
"MSMBS","2020-12-22","901","961","901","961","0.08","1505"
"MSMBS","2020-12-21","861","895","861","886","0.01","2577"
"MSMBS","2020-12-20","937","940","876","876","-0.07","5146"
"MSMBS","2020-12-17","940","974","930","939","-0.00","4498"
"MSMBS","2020-12-16","950","979","936","940","-0.01","6882"
"MSMBS","2020-12-15","956","957","941","950","-0.01","4196"
"MSMBS","2020-12-14","889","959","875","957","0.10","7531"
"MSMBS","2020-12-13","855","891","855","872","0.00","913"
"MSMBS","2020-12-10","850","872","850","871","0.02","2041"
"MSMBS","2020-12-09","865","880","850","851","-0.03","2564"
"MSMBS","2020-12-08","875","927","870","874","0.02","10211"
"MSMBS","2020-12-07","790","858","790","858","0.08","3361"
"MSMBS","2020-12-06","843","843","795","795","-0.08","1574"
"MSMBS","2020-12-03","892","892","858","860","-0.02","2073"
"MSMBS","2020-12-02","852","880","822","875","0.05","5049"
"MSMBS","2020-12-01","833","880","833","836","-0.02","3152"
"MSMBS","2020-11-30","821","862","821","849","0.02","3625"
"MSMBS","2020-11-29","841","841","810","830","-0.03","1981"
"MSMBS","2020-11-26","870","870","850","855","-0.03","2372"
"MSMBS","2020-11-25","846","884","831","884","0.07","3349"
"MSMBS","2020-11-24","790","830","780","830","0.06","6166"
"MSMBS","2020-11-23","759","785","746","785","0.05","5756"
"MSMBS","2020-11-22","727","759","727","745","0.03","2896"
"MSMBS","2020-11-19","720","758","720","725","0.00","4517"
"MSMBS","2020-11-18","722","728","712","725","0.00","859"
"MSMBS","2020-11-12","725","735","720","722","--","2742"
"MSMBS","2020-11-11","718","728","718","725","-0.96","387"
"MSMBS","2020-11-10","740","740","726","732","-0.68","492"
"MSMBS","2020-11-09","738","752","724","737","1.80","2841"
"MSMBS","2020-11-08","720","724","710","724","2.26","2178"
"MSMBS","2020-11-05","710","720","700","708","-0.28","809"
"MSMBS","2020-11-04","723","723","710","710","-1.39","370"
"MSMBS","2020-11-03","725","745","720","720","0.00","1176"
"MSMBS","2020-11-02","710","729","710","720","2.86","1823"
"MSMBS","2020-11-01","676","700","676","700","1.89","316"
"MSMBS","2020-10-29","673","690","673","687","1.03","471"
"MSMBS","2020-10-28","677","680","670","680","-1.45","208"
"MSMBS","2020-10-22","690","698","690","690","0.73","329"
"MSMBS","2020-10-21","680","685","680","685","0.00","55"
"MSMBS","2020-10-20","671","687","671","685","1.63","507"
"MSMBS","2020-10-19","671","684","671","674","0.45","252"
"MSMBS","2020-10-18","663","671","663","671","-0.74","103"
"MSMBS","2020-10-15","676","676","670","676","-0.59","311"
"MSMBS","2020-10-14","663","680","663","680","0.74","700"
"MSMBS","2020-10-13","668","685","668","675","-0.74","455"
"MSMBS","2020-10-12","680","680","670","680","-1.16","99"
"MSMBS","2020-10-11","662","688","662","688","2.23","651"
"MSMBS","2020-10-08","682","682","671","673","-1.32","289"
"MSMBS","2020-10-07","687","687","680","682","-2.29","1550"
"MSMBS","2020-10-06","686","698","686","698","-0.29","519"
"MSMBS","2020-10-05","690","700","682","700","1.89","283"
"MSMBS","2020-10-04","705","705","685","698","-0.99","1003"
"MSMBS","2020-10-01","685","705","675","705","4.44","481"
"MSMBS","2020-09-30","675","680","675","675","-1.46","621"
"MSMBS","2020-09-29","670","685","670","685","0.29","416"
"MSMBS","2020-09-28","685","691","678","683","-1.16","526"
"MSMBS","2020-09-27","700","700","688","691","-1.29","165"
"MSMBS","2020-09-24","701","701","690","700","0.00","2020"
"MSMBS","2020-09-23","700","705","700","700","-0.57","265"
"MSMBS","2020-09-22","700","710","688","704","-0.85","2051"
"MSMBS","2020-09-21","712","722","710","710","-0.84","300"
"MSMBS","2020-09-20","716","716","716","716","-1.92","22"
"MSMBS","2020-09-17","701","738","700","730","2.82","2827"
"MSMBS","2020-09-16","690","731","690","710","1.00","898"
"MSMBS","2020-09-15","706","714","703","703","-2.23","1254"
"MSMBS","2020-09-14","717","725","717","719","-1.51","969"
"MSMBS","2020-09-13","750","750","726","730","-1.35","551"
"MSMBS","2020-09-10","750","753","736","740","0.14","1124"
"MSMBS","2020-09-09","761","761","715","739","1.93","2487"
"MSMBS","2020-09-08","700","725","690","725","3.42","607"
"MSMBS","2020-09-07","709","709","686","701","-1.13","248"
"MSMBS","2020-09-06","749","763","702","709","-0.84","1467"
"MSMBS","2020-09-03","750","750","715","715","-0.42","2133"
"MSMBS","2020-09-02","734","747","700","718","-0.28","1886"
"MSMBS","2020-08-31","686","737","675","720","3.90","2377"
