"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"MUTUAL","2022-05-05","15.39","15.39","15.21","15.26","0.00","7980280.04"
"MUTUAL","2022-05-04","15.46","15.46","15.34","15.39","0.00","7953423.13"
"MUTUAL","2022-05-02","15.56","15.56","15.33","15.46","0.00","8766678.78"
"MUTUAL","2022-04-28","15.55","15.69","15.52","15.56","0.00","15425321.12"
"MUTUAL","2022-04-27","15.69","15.68","15.38","15.58","0.00","5882783.13"
"MUTUAL","2022-04-26","15.44","15.68","15.39","15.68","0.00","11785361.01"
"MUTUAL","2022-04-25","15.31","15.46","15.27","15.43","0.00","6478500.7"
"MUTUAL","2022-04-24","15","15.31","14.99","15.31","0.00","6254390.85"
"MUTUAL","2022-04-21","15.05","15.04","14.85","15","0.00","5881913.8"
"MUTUAL","2022-04-20","15.11","15.13","15.02","15.04","0.00","5103284.87"
"MUTUAL","2022-04-19","15.05","15.13","14.96","15.12","0.00","2997604.9"
"MUTUAL","2022-04-18","15.16","15.15","15.03","15.04","0.00","3890569.32"
"MUTUAL","2022-04-17","15.2","15.21","15.15","15.15","0.00","3328151.42"
"MUTUAL","2022-04-13","15.14","15.2","15.08","15.2","0.00","3361158.75"
"MUTUAL","2022-04-12","15.33","15.33","15.13","15.13","0.00","5757632.71"
"MUTUAL","2022-04-11","15.44","15.44","15.3","15.32","0.00","7590959.29"
"MUTUAL","2022-04-07","15.33","15.45","15.28","15.43","0.00","11054570.63"
"MUTUAL","2022-04-06","15.31","15.32","15.24","15.32","0.00","5617565.33"
"MUTUAL","2022-04-05","15.59","15.59","15.28","15.3","0.00","6041178.52"
"MUTUAL","2022-04-04","15.61","15.6","15.49","15.59","0.00","4249982.52"
"MUTUAL","2022-04-03","15.61","15.67","15.58","15.6","0.00","5221774.68"
"MUTUAL","2022-03-31","15.7","15.7","15.56","15.6","0.00","4861726.4"
"MUTUAL","2022-03-30","15.49","15.7","15.45","15.7","0.00","3697970.79"
"MUTUAL","2022-03-29","15.54","15.54","15.44","15.5","0.00","6877431.3"
"MUTUAL","2022-03-28","15.62","15.61","15.48","15.54","0.00","5130487.93"
"MUTUAL","2022-03-27","15.75","15.74","15.61","15.61","0.00","5580783.33"
"MUTUAL","2022-03-24","15.81","15.81","15.67","15.74","0.00","5117553.15"
"MUTUAL","2022-03-23","15.79","15.88","15.75","15.82","0.00","4885883.54"
"MUTUAL","2022-03-22","15.58","15.79","15.58","15.78","0.00","8131441.94"
