"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NADEP","2020-12-31","1039","1039","1039","1039","0.05","100"
"NADEP","2020-12-30","1000","1033","988","990","0.01","17221"
"NADEP","2020-12-29","954","1004","954","985","0.03","20829"
"NADEP","2020-12-28","928","969","928","953","0.03","7796"
"NADEP","2020-12-27","927","953","927","928","-0.02","6167"
"NADEP","2020-12-24","932","955","932","945","-0.01","4854"
"NADEP","2020-12-23","988","990","950","950","-0.03","3999"
"NADEP","2020-12-22","940","990","940","981","0.04","3643"
"NADEP","2020-12-21","933","966","880","940","-0.00","11507"
"NADEP","2020-12-20","1000","1000","941","941","-0.08","13457"
"NADEP","2020-12-17","1025","1048","995","1020","0.01","13820"
"NADEP","2020-12-16","975","1030","975","1010","0.03","26901"
"NADEP","2020-12-15","971","1029","971","976","-0.01","8423"
"NADEP","2020-12-14","987","999","965","990","0.02","16619"
"NADEP","2020-12-13","928","1005","928","968","0.03","5704"
"NADEP","2020-12-10","922","953","911","944","0.00","9126"
"NADEP","2020-12-09","995","995","930","940","-0.04","9063"
"NADEP","2020-12-08","1018","1038","975","978","-0.02","10260"
"NADEP","2020-12-07","921","1008","888","999","0.08","13278"
"NADEP","2020-12-06","997","997","920","921","-0.09","20914"
"NADEP","2020-12-03","1034","1083","995","1017","0.03","29529"
"NADEP","2020-12-02","879","985","879","985","0.10","26802"
"NADEP","2020-12-01","890","906","885","896","-0.00","26425"
"NADEP","2020-11-30","860","907","860","900","0.05","15698"
"NADEP","2020-11-29","870","880","851","860","-0.01","14238"
"NADEP","2020-11-26","894","895","850","866","-0.01","13178"
"NADEP","2020-11-25","840","885","828","870","0.05","10775"
"NADEP","2020-11-24","820","836","816","830","0.01","15051"
"NADEP","2020-11-23","810","820","801","819","-0.00","10063"
"NADEP","2020-11-22","825","835","810","820","0.01","13165"
"NADEP","2020-11-19","820","821","800","809","0.00","22930"
"NADEP","2020-11-18","810","835","810","823","0.00","13359"
"NADEP","2020-11-12","732","808","732","795","--","26258"
"NADEP","2020-11-11","725","739","725","735","-0.54","2394"
"NADEP","2020-11-10","722","740","722","739","0.54","3429"
"NADEP","2020-11-09","700","752","700","735","3.52","8505"
