"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NAGRO","2019-10-03","715","726","715","720","1.12","100"
"NAGRO","2019-10-02","715","716","712","712","-0.56","50"
"NAGRO","2019-10-01","729","730","716","716","-1.24","180"
"NAGRO","2019-09-30","713","727","711","725","-0.28","240"
"NAGRO","2019-09-29","720","727","713","727","0.97","150"
"NAGRO","2019-09-26","726","730","716","720","-0.83","344"
"NAGRO","2019-09-24","750","750","725","739","-2.64","180"
"NAGRO","2019-09-23","735","759","730","759","1.20","130"
"NAGRO","2019-09-22","755","755","718","750","-2.60","970"
"NAGRO","2019-09-19","775","775","745","770","0.13","210"
"NAGRO","2019-09-18","754","769","735","769","1.99","160"
"NAGRO","2019-09-17","749","770","736","754","2.59","1260"
"NAGRO","2019-09-16","735","735","721","735","-1.87","720"
"NAGRO","2019-09-15","736","749","726","749","-0.13","180"
"NAGRO","2019-09-12","765","765","730","750","-1.83","560"
"NAGRO","2019-09-11","763","764","748","764","-1.80","180"
"NAGRO","2019-09-10","736","778","724","778","3.73","216"
"NAGRO","2019-09-09","755","755","738","750","-1.96","403"
"NAGRO","2019-09-08","770","774","745","765","-0.65","480"
"NAGRO","2019-09-05","760","770","744","770","0.00","250"
"NAGRO","2019-09-04","773","795","758","770","-2.28","320"
"NAGRO","2019-09-03","798","798","753","788","3.68","680"
"NAGRO","2019-09-02","741","760","727","760","0.80","820"
"NAGRO","2019-09-01","765","769","754","754","-2.08","310"
"NAGRO","2019-08-29","761","770","760","770","-0.65","80"
"NAGRO","2019-08-28","775","775","763","775","0.13","217"
"NAGRO","2019-08-27","764","789","764","774","-0.64","100"
"NAGRO","2019-08-26","780","780","766","779","-0.51","120"
"NAGRO","2019-08-25","772","783","759","783","0.00","360"
"NAGRO","2019-08-22","778","783","768","783","0.64","590"
"NAGRO","2019-08-21","789","789","766","778","-1.52","499"
"NAGRO","2019-08-20","784","800","784","790","-1.25","400"
"NAGRO","2019-08-19","794","810","751","800","-1.23","1780"
"NAGRO","2019-08-18","830","835","780","810","-2.99","1769"
"NAGRO","2019-08-15","830","835","822","835","-0.83","510"
"NAGRO","2019-08-14","882","882","817","842","-2.66","410"
"NAGRO","2019-08-13","830","869","830","865","4.22","805"
"NAGRO","2019-08-12","843","860","824","830","-3.38","1485"
"NAGRO","2019-08-11","843","892","828","859","-0.12","2110"
"NAGRO","2019-08-08","860","869","830","860","-1.04","1010"
"NAGRO","2019-08-07","775","869","746","869","10.00","3257"
"NAGRO","2019-08-06","850","850","775","790","-8.14","4422"
"NAGRO","2019-08-05","884","953","821","860","-0.81","8784"
"NAGRO","2019-08-04","828","867","828","867","9.89","3394"
"NAGRO","2019-08-01","732","789","732","789","9.89","1920"
"NAGRO","2019-07-31","655","718","655","718","9.95","6334"
"NAGRO","2019-07-30","605","653","605","653","9.93","6659"
"NAGRO","2019-07-29","550","594","550","594","10.00","4287"
"NAGRO","2019-07-28","535","550","526","540","0.93","2892"
"NAGRO","2019-07-25","530","535","521","535","-0.93","1570"
"NAGRO","2019-07-24","511","540","511","540","5.68","2240"
"NAGRO","2019-07-23","500","513","500","511","1.59","760"
"NAGRO","2019-07-22","500","508","499","503","-0.98","750"
"NAGRO","2019-07-21","495","510","495","508","1.20","690"
"NAGRO","2019-07-18","500","502","495","502","0.00","200"
"NAGRO","2019-07-17","478","502","478","502","3.29","490"
"NAGRO","2019-07-16","491","491","484","486","-1.02","130"
"NAGRO","2019-07-15","490","502","490","491","-0.61","470"
"NAGRO","2019-07-14","478","494","478","494","1.44","1150"
"NAGRO","2019-07-11","495","500","486","487","-1.22","520"
"NAGRO","2019-07-10","486","506","486","493","-0.40","500"
"NAGRO","2019-07-09","491","499","487","495","0.81","350"
"NAGRO","2019-07-08","497","500","482","491","-2.96","1237"
"NAGRO","2019-07-07","515","518","495","506","-3.62","2740"
"NAGRO","2019-07-04","505","525","501","525","3.96","3390"
"NAGRO","2019-07-03","486","513","486","505","3.91","3120"
"NAGRO","2019-07-02","485","494","472","486","2.10","1810"
"NAGRO","2019-07-01","474","480","471","476","-0.83","2380"
"NAGRO","2019-06-30","501","501","476","480","-4.19","4048"
"NAGRO","2019-06-27","487","509","445","501","7.97","12838"
"NAGRO","2019-06-26","443","464","443","464","9.95","2339"
"NAGRO","2019-06-23","422","422","422","422","4.98","10"
"NAGRO","2019-06-20","402","402","402","402","4.96","10"
"NAGRO","2019-06-18","383","383","383","383","4.93","10"
"NAGRO","2019-06-17","365","365","365","365","4.89","10"
"NAGRO","2019-06-16","342","348","342","348","6.75","20"
"NAGRO","2019-06-13","326","326","326","326","4.82","10"
"NAGRO","2019-06-12","311","311","311","311","0.00","10"
