"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NBBD2085","2022-01-12","1076","1076","1076","1076","0.00","50"
"NBBD2085","2022-01-11","1076","1076","1076","1076","1.99","551"
"NBBD2085","2022-01-09","1050","1055","1050","1055","1.44","90"
"NBBD2085","2022-01-06","1056.5","1056.5","1040","1040","-3.53","90"
"NBBD2085","2022-01-05","1078","1078","1078","1078","-2.00","500"
"NBBD2085","2021-09-26","1100","1100","1100","1100","-1.97","25"
"NBBD2085","2021-08-11","1122.1","1122.1","1122.1","1122.1","-2.00","10"
"NBBD2085","2021-07-13","1120","1145","1120","1145","4.00","390"
"NBBD2085","2021-07-12","1080","1101","1080","1101","3.87","70"
"NBBD2085","2021-07-11","1060","1060","1060","1060","-1.85","125"
"NBBD2085","2021-07-08","1080","1080","1080","1080","0.00","35"
"NBBD2085","2021-06-22","1080","1080","1075","1080","0.00","350"
"NBBD2085","2021-06-21","1062","1080","1062","1080","3.65","55"
"NBBD2085","2021-06-20","1043","1043","1042","1042","-1.70","50"
"NBBD2085","2021-06-15","1060","1060","1060","1060","-0.19","25"
"NBBD2085","2021-06-10","1075","1062","1062","1062","-1.21","25"
"NBBD2085","2021-06-09","1075","1075","1075","1075","-0.02","25"
"NBBD2085","2021-06-07","1060","1093","1060","1093","1.96","300"
"NBBD2085","2021-06-03","1072","1072","1072","1072","2.00","25"
"NBBD2085","2021-06-02","1070","1051","1051","1051","-1.78","25"
"NBBD2085","2021-06-01","1060","1070","1060","1070","0.94","75"
"NBBD2085","2021-05-31","1060","1060","1060","1060","0.00","25"
"NBBD2085","2021-05-27","1060","1060","1060","1060","0.00","25"
"NBBD2085","2021-05-25","1060","1060","1060","1060","0.00","25"
"NBBD2085","2021-05-24","1060","1060","1060","1060","0.00","25"
"NBBD2085","2021-05-23","1060","1060","1060","1060","0.00","25"
"NBBD2085","2021-05-20","1060","1060","1060","1060","0.00","100"
"NBBD2085","2021-05-18","1060","1060","1060","1060","0.00","50"
"NBBD2085","2021-05-17","1060","1060","1060","1060","-1.94","20"
"NBBD2085","2021-05-11","1080","1081","1080","1081","1.98","100"
"NBBD2085","2021-05-10","1060","1060","1060","1060","0.00","25"
"NBBD2085","2021-05-09","1060","1060","1060","1060","1.34","25"
"NBBD2085","2021-05-05","1046","1046","1046","1046","-0.48","25"
"NBBD2085","2021-05-04","1051","1051","1051","1051","-0.85","25"
"NBBD2085","2021-05-02","1060","1060","1060","1060","0.00","75"
"NBBD2085","2021-04-28","1050","1060","1050","1060","0.00","75"
"NBBD2085","2021-04-27","1060","1060","1060","1060","1.34","81"
"NBBD2085","2021-04-26","1047","1047","1046","1046","0.00","50"
"NBBD2085","2021-04-25","1060","1060","1046","1046","-0.85","125"
"NBBD2085","2021-04-22","1051","1055","1051","1055","0.67","50"
"NBBD2085","2021-04-21","1048","1048","1048","1048","0.19","100"
"NBBD2085","2021-04-15","1046","1046","1046","1046","0.10","25"
"NBBD2085","2021-04-12","1045","1050","1045","1045","-0.48","80"
"NBBD2085","2021-04-07","1055","1055","1050","1050","0.48","90"
"NBBD2085","2021-04-06","1045","1045","1045","1045","-0.10","25"
"NBBD2085","2021-04-05","1045","1046","1045","1046","-0.38","75"
"NBBD2085","2021-04-04","1050","1050","1050","1050","0.00","50"
"NBBD2085","2021-04-01","1050","1050","1050","1050","-0.47","25"
"NBBD2085","2021-03-31","1055","1055","1055","1055","-0.09","100"
"NBBD2085","2021-03-30","1055","1056","1055","1056","0.00","50"
"NBBD2085","2021-03-29","1060","1060","1056","1056","0.09","50"
"NBBD2085","2021-03-25","1055","1055","1055","1055","-0.47","25"
"NBBD2085","2021-03-24","1055","1060","1055","1060","0.00","75"
"NBBD2085","2021-03-23","1055","1060","1055","1060","0.00","150"
"NBBD2085","2021-03-22","1060","1060","1060","1060","0.00","25"
"NBBD2085","2021-03-21","1055","1060","1055","1060","0.00","50"
"NBBD2085","2021-03-18","1060","1060","1060","1060","0.38","25"
"NBBD2085","2021-03-16","1051","1060","1051","1056","0.38","200"
"NBBD2085","2021-03-15","1045","1052","1045","1052","-1.22","200"
"NBBD2085","2021-03-14","1065","1065","1065","1065","0.00","200"
"NBBD2085","2021-03-10","1065","1065","1065","1065","1.91","150"
"NBBD2085","2021-03-09","1045","1045","1045","1045","-0.57","125"
"NBBD2085","2021-03-08","1020","1051","1020","1051","3.04","175"
