"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NBB","2022-01-13","405","405","394","399","-0.25","254583"
"NBB","2022-01-12","397.2","404","389","400","2.70","721055"
"NBB","2022-01-11","397","397","385","389.5","-0.15","170334"
"NBB","2022-01-10","400","405","387","390.1","-2.35","229336"
"NBB","2022-01-09","405","410","399","399.5","0.13","171653"
"NBB","2022-01-06","404","404","392.3","399","0.63","104973"
"NBB","2022-01-05","411","411","396","396.5","-2.20","194032"
"NBB","2022-01-04","405","407","395.3","405.4","1.86","367258"
"NBB","2022-01-03","416","416","392","398","-2.45","312095"
"NBB","2022-01-02","410.5","426.8","402.5","408","1.37","456727"
"NBB","2021-12-29","376","402.5","369","402.5","9.08","525944"
"NBB","2021-12-28","378.3","378.3","363.1","369","-0.51","68062"
"NBB","2021-12-27","380","385","366","370.9","-0.56","164764"
"NBB","2021-12-26","385","390","370","373","-1.35","105948"
"NBB","2021-12-23","380","390","377","378.1","0.08","216726"
"NBB","2021-12-22","382.5","390","375","377.8","0.75","164774"
"NBB","2021-12-21","361.9","377.4","355","375","5.31","176225"
"NBB","2021-12-20","360","367.2","354.8","356.1","0.42","136629"
"NBB","2021-12-16","323","354.6","320","354.6","9.99","203425"
"NBB","2021-12-15","328.9","335.5","321","322.4","-1.10","67462"
"NBB","2021-12-14","320","332.5","320","326","3.49","25367"
"NBB","2021-12-13","321","324","312","315","-3.67","78901"
"NBB","2021-12-12","335","335.1","325.4","327","-3.00","82215"
"NBB","2021-12-09","346","346","336.1","337.1","-2.29","42617"
"NBB","2021-12-08","351","351","344.1","345","-1.71","34072"
"NBB","2021-12-07","361.1","367","350","351","-2.23","30470"
"NBB","2021-12-06","360","361","343.3","359","-0.28","82415"
"NBB","2021-12-05","369.9","371","357","360","-1.37","143547"
"NBB","2021-12-02","372","381","362.7","365","-1.30","129851"
"NBB","2021-12-01","367.2","373","361.1","369.8","2.72","81842"
"NBB","2021-11-30","349","360","344.3","360","3.15","73923"
"NBB","2021-11-29","350","358","345.1","349","0.87","72901"
"NBB","2021-11-28","360","360","343","346","-3.89","112898"
"NBB","2021-11-25","372","372","357.7","360","-1.37","52068"
"NBB","2021-11-24","360","369","357.1","365","0.27","61841"
"NBB","2021-11-23","375","376","362","364","-1.36","55968"
"NBB","2021-11-22","379.9","380","368","369","-1.34","61531"
"NBB","2021-11-21","390.6","390.6","367.2","374","-2.35","128540"
"NBB","2021-11-18","402.2","408.5","372","383","-2.89","298399"
"NBB","2021-11-17","365","394.4","365","394.4","9.98","461290"
"NBB","2021-11-16","332.5","358.6","332.5","358.6","10.00","221034"
"NBB","2021-11-15","335.2","335.2","325","326","-0.82","39735"
"NBB","2021-11-14","330","333","326","328.7","-1.91","51481"
"NBB","2021-11-11","344","350","331","335.1","-2.59","49935"
"NBB","2021-11-09","363","363.1","344","344","-3.37","60478"
"NBB","2021-11-08","356.1","372.4","356","356","-0.31","69406"
"NBB","2021-11-03","360","365","357","357.1","0.08","67905"
"NBB","2021-11-02","360","367","355","356.8","-2.75","73319"
"NBB","2021-11-01","380","380","365.1","366.9","-3.49","150604"
"NBB","2021-10-31","435","435","422","425.8","-0.98","295888"
"NBB","2021-10-28","434","434","427","430","0.00","79071"
"NBB","2021-10-27","428","436","412.6","430","2.26","121478"
"NBB","2021-10-26","409","425","406","420.5","3.83","67324"
"NBB","2021-10-25","395","405","390","405","3.00","99354"
"NBB","2021-10-24","386","395.5","383","393.2","1.87","58351"
"NBB","2021-10-21","394.9","394.9","382","386","-1.05","76582"
"NBB","2021-10-20","394.2","410","388","390.1","0.93","59726"
"NBB","2021-10-19","402","402","382.3","386.5","-4.09","107086"
"NBB","2021-10-18","405","412","402","403","-2.18","49026"
"NBB","2021-10-17","424","424","410","412","-0.96","22504"
"NBB","2021-10-11","417.8","421","408","416","-0.43","76663"
"NBB","2021-10-10","445","445","417.7","417.8","-4.83","358811"
"NBB","2021-10-06","441","444","433","439","1.20","65141"
"NBB","2021-10-05","428.1","435","426.5","433.8","1.85","53907"
"NBB","2021-10-04","422","430","421","425.9","-0.26","115303"
"NBB","2021-10-03","443","446","426","427","-2.51","88843"
"NBB","2021-09-30","456","456","435.5","438","-2.43","108644"
"NBB","2021-09-29","430","448.9","424","448.9","4.40","132275"
"NBB","2021-09-28","445","447","428","430","-2.49","121282"
"NBB","2021-09-27","457","457","440","441","-3.50","119391"
"NBB","2021-09-26","460","476","456","457","0.00","247848"
"NBB","2021-09-23","442.6","477","442.6","457","5.30","434359"
"NBB","2021-09-22","429","437.9","425","434","2.82","138627"
"NBB","2021-09-21","419.9","433","406.1","422.1","0.50","146274"
"NBB","2021-09-20","425","431","418","420","-1.18","161336"
"NBB","2021-09-16","434.5","434.5","420","425","-2.63","182725"
"NBB","2021-09-15","448","448","433.8","436.5","-1.47","99653"
"NBB","2021-09-14","446","449.9","437.6","443","-0.45","97368"
"NBB","2021-09-13","450","452","440","445","0.68","116060"
"NBB","2021-09-12","440","444.1","435","442","1.14","119705"
"NBB","2021-09-09","440","443.9","435","437","0.05","98780"
"NBB","2021-09-08","440","448","435","436.8","-1.62","85475"
"NBB","2021-09-07","453","453","440.1","444","-1.94","96816"
"NBB","2021-09-06","430","455","428.5","452.8","4.09","283715"
"NBB","2021-09-05","446","449","425","435","-2.47","254385"
"NBB","2021-09-02","460","462","444.9","446","-1.55","169776"
"NBB","2021-09-01","445","460","445","453","1.34","199956"
"NBB","2021-08-31","459.1","459.1","443","447","-1.97","252958"
"NBB","2021-08-29","478","478","454.8","456","-2.77","244009"
"NBB","2021-08-26","465.5","476","464","469","-0.21","217387"
"NBB","2021-08-25","480","480","468","470","-2.08","219493"
"NBB","2021-08-24","493","494","478.5","480","-1.07","256740"
"NBB","2021-08-19","500","502","485","485.2","-1.98","252768"
"NBB","2021-08-18","490.6","500","486.4","495","0.79","273083"
"NBB","2021-08-17","506.9","506.9","490.1","491.1","-1.19","197632"
"NBB","2021-08-16","500","502","493","497","-0.38","269049"
"NBB","2021-08-15","493","510","485.1","498.9","1.20","421603"
"NBB","2021-08-12","491","496.5","488","493","0.41","197917"
"NBB","2021-08-11","500","502","488","491","-0.41","195483"
"NBB","2021-08-10","490","500","485","493","1.21","417462"
"NBB","2021-08-09","499","499","487","487.1","-1.60","227698"
"NBB","2021-08-08","506.9","515","493","495","-0.40","458505"
"NBB","2021-08-05","495.1","504.8","488","497","0.81","407239"
"NBB","2021-08-04","485","497","484","493","2.07","392730"
"NBB","2021-08-03","467","485","466","483","3.89","398665"
"NBB","2021-08-02","470","470","463","464.9","0.41","162172"
"NBB","2021-08-01","467","472","462.1","463","-0.13","167641"
"NBB","2021-07-29","468.1","470","461","463.6","-0.94","92509"
"NBB","2021-07-28","470","481","464","468","0.30","252683"
"NBB","2021-07-27","456","470","452","466.6","0.34","383731"
"NBB","2021-07-26","486.5","486.5","465","465","-2.52","305874"
"NBB","2021-07-25","469","477","465","477","2.58","357392"
"NBB","2021-07-22","458","468","457","465","1.09","227494"
"NBB","2021-07-20","461","466","453","460","0.00","225542"
"NBB","2021-07-19","445","472.5","445","460","1.55","675825"
"NBB","2021-07-18","444.7","453.8","438","453","3.90","590606"
"NBB","2021-07-15","456","456","427","436","0.23","238772"
"NBB","2021-07-14","450","452","432","435","-0.91","304333"
"NBB","2021-07-13","418","456","415","439","5.78","1048605"
"NBB","2021-07-12","417","422","407","415","0.24","240642"
"NBB","2021-07-11","416","416","405","414","3.24","143680"
"NBB","2021-07-08","380","404","380","401","0.25","149224"
"NBB","2021-07-07","397","401","397","400","0.76","89567"
"NBB","2021-07-06","400","402","395","397","0.25","106571"
"NBB","2021-07-05","398","403","392","396","-1.00","116515"
"NBB","2021-07-04","403","403","399","400","-0.74","58027"
"NBB","2021-07-01","406","410","402","403","-0.49","138907"
"NBB","2021-06-30","406","408","394","405","1.25","156475"
"NBB","2021-06-29","410","410","399","400","-1.96","100750"
"NBB","2021-06-28","410","415","408","408","0.00","142620"
"NBB","2021-06-27","400","411","397","408","2.77","172617"
"NBB","2021-06-24","403","403","396","397","-1.49","120693"
"NBB","2021-06-23","410","413","402","403","-1.71","115171"
"NBB","2021-06-22","401","411","392","410","3.02","205248"
"NBB","2021-06-21","413","413","397","398","-2.21","289684"
"NBB","2021-06-20","415","420","403","407","-1.93","264177"
"NBB","2021-06-17","415","422","414","415","-0.72","147584"
"NBB","2021-06-16","409","430","409","418","-0.48","206877"
"NBB","2021-06-15","430","435","419","420","-1.41","309683"
"NBB","2021-06-14","418","435","417","426","2.16","394818"
"NBB","2021-06-13","435","435","408","417","0.48","391905"
"NBB","2021-06-10","435","435","407","415","-1.19","202898"
"NBB","2021-06-09","442","442","418","420","-0.02","327405"
"NBB","2021-06-08","423","435","417","430","1.65","452090"
"NBB","2021-06-07","440","445","419","423","-2.31","609152"
"NBB","2021-06-06","410","436","405","433","9.07","965471"
"NBB","2021-06-03","387","397","387","397","2.58","844987"
"NBB","2021-06-02","397","397","374","387","2.11","127557"
"NBB","2021-06-01","385","388","375","379","-1.30","199649"
"NBB","2021-05-31","392","399","383","384","-1.03","328724"
"NBB","2021-05-30","385","391","383","388","1.31","294244"
"NBB","2021-05-27","369","390","369","383","-1.29","127685"
"NBB","2021-05-25","399","399","384","388","-1.02","189564"
"NBB","2021-05-24","398","405","390","392","0.26","525122"
"NBB","2021-05-23","385","391","375","391","1.56","243025"
"NBB","2021-05-20","388","389","383","385","0.26","139325"
"NBB","2021-05-19","387","389","381","384","0.00","348082"
"NBB","2021-05-18","385","385","380","384","0.00","141521"
"NBB","2021-05-17","385","385","376","384","0.52","136581"
"NBB","2021-05-16","381","389","377","382","1.87","186415"
"NBB","2021-05-13","371","378","371","375","1.08","88057"
"NBB","2021-05-12","390","390","370","371","-0.54","59833"
"NBB","2021-05-11","376","379","370","373","-0.53","72507"
"NBB","2021-05-10","379","379","372","375","-0.27","65137"
"NBB","2021-05-09","375","380","371","376","0.00","173830"
"NBB","2021-05-06","373","379","373","376","-0.53","116197"
"NBB","2021-05-05","380","383","377","378","-0.53","74020"
"NBB","2021-05-04","379","383","377","380","0.26","160277"
"NBB","2021-05-03","387","388","378","379","-0.26","165820"
"NBB","2021-05-02","390","390","379","380","0.26","267368"
"NBB","2021-04-29","380","384","373","379","0.53","226070"
"NBB","2021-04-28","376","378","372","377","0.80","108284"
"NBB","2021-04-27","365","378","360","375","4.46","225903"
