"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NBF3","2022-05-05","8.6","8.77","8.43","8.7","-0.57","12325"
"NBF3","2022-05-04","8.64","8.83","8.64","8.75","-0.57","2875"
"NBF3","2022-05-02","9.02","9.02","8.67","8.8","-4.35","9315"
"NBF3","2022-04-28","8.8","9.2","8.79","9.2","3.25","11120"
"NBF3","2022-04-27","9","9.1","8.9","8.91","-1.00","23350"
"NBF3","2022-04-26","9.1","9.13","8.95","9","0.00","51649"
"NBF3","2022-04-25","9.08","9.1","9","9","0.00","26401"
"NBF3","2022-04-24","8.5","9","8.5","9","5.88","27990"
"NBF3","2022-04-21","8.77","8.77","8.33","8.5","-3.08","26840"
"NBF3","2022-04-20","8.9","8.9","8.6","8.77","-1.46","13360"
"NBF3","2022-04-19","8.73","8.9","8.61","8.9","0.00","31980"
"NBF3","2022-04-18","8.75","8.9","8.58","8.9","0.23","10800"
"NBF3","2022-04-17","8.65","8.9","8.64","8.88","0.91","13230"
"NBF3","2022-04-13","8.87","9.04","8.7","8.8","1.15","34710"
"NBF3","2022-04-12","8.8","8.8","8.69","8.7","-1.47","30670"
"NBF3","2022-04-11","9.01","9.01","8.73","8.83","-1.89","35910"
"NBF3","2022-04-07","8.7","9","8.7","9","2.39","27940"
"NBF3","2022-04-06","8.78","8.94","8.74","8.79","-0.45","29823"
"NBF3","2022-04-05","8.75","8.84","8.72","8.83","-0.34","18680"
"NBF3","2022-04-04","8.85","8.91","8.74","8.86","-0.45","23550"
"NBF3","2022-04-03","9","9","8.85","8.9","-1.11","26500"
"NBF3","2022-03-31","9.23","9.23","9","9","-1.32","5070"
"NBF3","2022-03-30","9","9.18","8.9","9.12","1.33","11350"
"NBF3","2022-03-29","8.9","9.14","8.9","9","0.33","14940"
"NBF3","2022-03-28","8.85","9.17","8.85","8.97","-0.33","16415"
"NBF3","2022-03-27","9.1","9.2","8.96","9","-1.32","49460"
"NBF3","2022-03-24","9.11","9.28","9.09","9.12","0.11","28850"
"NBF3","2022-03-23","9.1","9.28","9.1","9.11","-1.51","25870"
"NBF3","2022-03-22","9.19","9.37","9.03","9.25","0.54","14270"
"NBF3","2022-03-21","9.08","9.25","9.08","9.2","-0.54","11350"
"NBF3","2022-03-20","9.33","9.49","9.13","9.25","-0.86","9990"
"NBF3","2022-03-16","9.12","9.48","9.12","9.33","0.32","20000"
"NBF3","2022-03-15","9.12","9.3","9.08","9.3","2.09","28380"
"NBF3","2022-03-14","9.2","9.26","9.09","9.11","-1.62","3850"
"NBF3","2022-03-13","9.1","9.43","8.92","9.26","0.11","37750"
"NBF3","2022-03-10","8.85","9.25","8.85","9.25","2.78","13965"
"NBF3","2022-03-09","8.86","9.02","8.85","9","-0.22","35130"
"NBF3","2022-03-07","9","9.14","8.96","9.02","0.56","33200"
"NBF3","2022-03-06","9","9.15","8.9","8.97","-0.22","51900"
"NBF3","2022-03-02","9.13","9.37","8.95","8.99","-3.33","62865"
"NBF3","2022-02-28","9.2","9.48","9.2","9.3","0.54","46900"
"NBF3","2022-02-27","9.22","9.38","9.2","9.25","-1.60","54675"
"NBF3","2022-02-24","9.37","9.4","9.2","9.4","0.00","24700"
"NBF3","2022-02-23","9.4","9.45","9.37","9.4","-1.05","15200"
"NBF3","2022-02-22","9.4","9.6","9.35","9.5","-0.11","24420"
"NBF3","2022-02-21","9.39","9.69","9.33","9.51","1.28","39070"
"NBF3","2022-02-20","9.5","9.5","9.32","9.39","-2.69","19810"
"NBF3","2022-02-17","9.6","9.7","9.52","9.65","-1.43","13650"
"NBF3","2022-02-16","9.48","9.79","9.48","9.79","1.45","5700"
"NBF3","2022-02-15","9.46","9.79","9.46","9.65","1.15","23100"
"NBF3","2022-02-14","9.51","9.69","9.35","9.54","-1.14","52619"
"NBF3","2022-02-13","9.42","9.65","9.39","9.65","0.73","51950"
"NBF3","2022-02-10","9.6","9.69","9.55","9.58","-0.21","15330"
"NBF3","2022-02-09","9.48","9.7","9.48","9.6","-0.10","13720"
"NBF3","2022-02-08","9.54","9.74","9.54","9.61","0.00","28560"
"NBF3","2022-02-07","9.41","9.64","9.41","9.55","-0.52","19880"
"NBF3","2022-02-06","9.55","9.95","9.54","9.6","-1.03","75265"
"NBF3","2022-02-03","9.7","9.87","9.65","9.7","0.00","25733"
"NBF3","2022-02-01","9.6","9.89","9.6","9.7","0.62","28300"
"NBF3","2022-01-31","9.63","9.81","9.44","9.64","-1.83","36351"
"NBF3","2022-01-30","9.88","9.88","9.65","9.82","-0.61","85590"
"NBF3","2022-01-27","9.35","9.88","9.35","9.88","3.89","91200"
"NBF3","2022-01-26","9.31","9.65","9.31","9.51","0.11","19140"
"NBF3","2022-01-25","9.5","9.6","9.33","9.5","0.00","45340"
"NBF3","2022-01-24","9.45","9.75","9.45","9.5","-1.04","61340"
"NBF3","2022-01-23","9.5","9.68","9.49","9.6","-0.52","28310"
"NBF3","2022-01-20","9.51","9.67","9.47","9.65","-0.10","44550"
"NBF3","2022-01-19","9.55","9.8","9.51","9.66","0.42","21410"
"NBF3","2022-01-18","9.6","9.76","9.55","9.62","-0.82","28432"
"NBF3","2022-01-17","9.98","9.99","9.65","9.7","-1.02","23010"
"NBF3","2022-01-16","9.8","9.83","9.63","9.8","0.00","60766"
"NBF3","2022-01-13","9.38","9.89","9.3","9.8","2.40","36050"
"NBF3","2022-01-12","9.65","10.02","9.51","9.57","-2.64","36165"
"NBF3","2022-01-11","9.8","10.03","9.55","9.83","-0.10","51210"
"NBF3","2022-01-10","9.6","9.94","9.5","9.84","1.76","63850"
"NBF3","2022-01-09","9.42","9.9","9.42","9.67","0.73","68710"
"NBF3","2022-01-06","9.32","9.75","9.32","9.6","1.48","48880"
