"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NBLD82","2022-04-05","933.8","933.8","933.6","933.6","-1.73","100"
"NBLD82","2022-03-31","950","950","950","950","0.00","100"
"NBLD82","2022-03-28","950","950","950","950","1.06","50"
"NBLD82","2022-02-28","940","940","940","940","0.84","1500"
"NBLD82","2022-02-24","932.2","932.2","932.2","932.2","-1.94","25"
"NBLD82","2022-02-16","950.7","950.7","950.6","950.6","-2.00","120"
"NBLD82","2022-02-13","970","970","970","970","-1.82","25"
"NBLD82","2022-02-06","988","988","988","988","-0.70","330"
"NBLD82","2022-01-26","995","995","995","995","0.04","800"
"NBLD82","2022-01-20","994.6","994.6","994.6","994.6","2.00","50"
"NBLD82","2022-01-19","975.1","975.1","975.1","975.1","-2.00","100"
"NBLD82","2022-01-17","1001","1001","995","995","-1.97","40"
"NBLD82","2022-01-09","1015","1015","1015","1015","-0.98","25"
"NBLD82","2022-01-04","1025","1025","1025","1025","-1.91","50"
"NBLD82","2022-01-03","1045","1045","1045","1045","1.95","20"
"NBLD82","2021-12-27","1025","1025","1025","1025","1.99","50"
"NBLD82","2021-12-05","1005","1005","1005","1005","0.00","400"
"NBLD82","2021-12-02","1005","1005","1005","1005","-1.47","25"
"NBLD82","2021-11-08","1020","1020","1020","1020","0.00","300"
"NBLD82","2021-10-24","1020","1020","1020","1020","0.00","55"
"NBLD82","2021-10-06","1020","1020","1020","1020","0.39","25"
"NBLD82","2021-10-03","1016","1016","1016","1016","-0.88","50"
"NBLD82","2021-09-20","1025","1025","1025","1025","0.49","75"
"NBLD82","2021-09-16","1020","1020","1020","1020","-1.92","50"
"NBLD82","2021-09-14","1040","1040","1040","1040","0.48","25"
"NBLD82","2021-09-08","1035","1035","1035","1035","1.96","100"
"NBLD82","2021-09-02","1020.1","1020.1","1015","1015.1","-2.23","175"
"NBLD82","2021-08-31","1018","1038.3","1018","1038.3","1.69","50"
"NBLD82","2021-08-29","1021.1","1021.1","1021","1021","0.29","120"
"NBLD82","2021-08-25","1011","1020","1011","1018","-0.29","150"
"NBLD82","2021-08-19","1020","1021","1020","1021","-1.83","40"
"NBLD82","2021-08-18","1042.8","1042.8","1030","1040","-2.26","275"
"NBLD82","2021-08-17","1083.9","1083.9","1064","1064","-3.80","55"
"NBLD82","2021-07-15","1106","1106","1106","1106","1.94","15"
"NBLD82","2021-07-12","1085","1085","1085","1085","1.97","100"
"NBLD82","2021-07-11","1064","1064","1064","1064","0.00","25"
"NBLD82","2021-07-08","1064","1064","1064","1064","1.92","25"
"NBLD82","2021-07-07","1044","1044","1044","1044","-1.04","25"
"NBLD82","2021-07-04","1055","1055","1055","1055","0.00","25"
"NBLD82","2021-07-01","1055","1055","1055","1055","0.00","25"
"NBLD82","2021-06-30","1045","1055","1045","1055","1.15","50"
"NBLD82","2021-06-29","1043","1043","1043","1043","-1.60","25"
"NBLD82","2021-06-27","1060","1060","1060","1060","0.00","25"
"NBLD82","2021-06-22","1060","1060","1060","1060","-1.03","25"
"NBLD82","2021-06-21","1071","1071","1071","1071","2.00","50"
"NBLD82","2021-06-20","1050","1050","1050","1050","-1.13","25"
"NBLD82","2021-06-16","1062","1062","1062","1062","1.92","40"
"NBLD82","2021-06-15","1042","1042","1042","1042","0.00","200"
"NBLD82","2021-06-14","1052","1052","1042","1042","-0.95","75"
"NBLD82","2021-06-13","1032","1052","1052","1052","1.94","25"
"NBLD82","2021-06-10","1045","1032","1032","1032","-1.24","50"
"NBLD82","2021-06-09","1040","1045","1040","1045","-0.00","150"
"NBLD82","2021-06-08","1061","1062","1050","1050","0.19","80"
"NBLD82","2021-06-07","1060","1060","1047","1048","0.58","225"
"NBLD82","2021-06-06","1042","1042","1042","1042","-0.76","30"
"NBLD82","2021-06-03","1060","1063","1050","1050","0.67","755"
"NBLD82","2021-06-02","1050","1043","1043","1043","-0.67","25"
"NBLD82","2021-06-01","1047","1050","1033","1050","0.29","65"
"NBLD82","2021-05-31","1020","1055","1020","1047","4.70","125"
"NBLD82","2021-05-27","1000","1000","1000","1000","0.00","25"
