"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NCCD86","2022-04-25","965","965","965","965","1.58","50"
"NCCD86","2022-04-18","950","950","950","950","0.00","25"
"NCCD86","2022-04-17","950","950","950","950","1.79","23"
"NCCD86","2022-04-05","933.3","933.3","933.3","933.3","2.00","12"
"NCCD86","2022-04-04","915","915","915","915","-0.67","25"
"NCCD86","2022-03-30","921.2","921.2","921.2","921.2","-2.00","25"
"NCCD86","2022-03-28","940","940","940","940","-0.53","30"
"NCCD86","2022-03-23","945","945","945","945","0.00","50"
"NCCD86","2022-03-21","945","945","945","945","0.00","25"
"NCCD86","2022-03-16","945","945","945","945","-1.05","25"
"NCCD86","2022-03-14","955","955","955","955","0.00","50"
"NCCD86","2022-03-07","936","955","936","955","0.00","123"
"NCCD86","2022-02-27","955","955","955","955","0.00","1000"
"NCCD86","2022-02-24","955","955","955","955","0.00","250"
"NCCD86","2022-02-21","955","955","955","955","-0.52","125"
"NCCD86","2022-02-16","960","960","960","960","-0.41","80"
"NCCD86","2022-02-08","964","964","964","964","0.00","50"
"NCCD86","2022-02-07","964.5","964.7","964.5","964.7","1.55","180"
"NCCD86","2022-02-03","950","950","950","950","0.00","100"
"NCCD86","2022-01-31","950","950","950","950","0.42","130"
"NCCD86","2022-01-26","946","946","946","946","0.00","25"
"NCCD86","2022-01-24","946","946","946","946","0.00","25"
"NCCD86","2022-01-23","946","946","946","946","-2.00","25"
"NCCD86","2022-01-17","965.3","965.3","965.3","965.3","-2.00","25"
"NCCD86","2022-01-12","985","985","985","985","-1.99","25"
"NCCD86","2022-01-10","1005","1005","1005","1005","1.52","300"
"NCCD86","2022-01-05","990","990","990","990","-1.00","50"
"NCCD86","2022-01-02","989.6","1000","989.6","1000","3.07","1115"
"NCCD86","2021-12-28","970.2","970.2","970.2","970.2","-2.00","25"
"NCCD86","2021-12-27","990","990","990","990","1.78","100"
"NCCD86","2021-12-20","972.7","972.7","972.7","972.7","0.06","20"
"NCCD86","2021-12-12","972.1","972.1","972.1","972.1","0.10","25"
"NCCD86","2021-12-08","971.1","971.1","971.1","971.1","-0.50","25"
"NCCD86","2021-11-29","976","976","976","976","0.00","35"
"NCCD86","2021-11-28","976","976","976","976","-0.41","25"
"NCCD86","2021-11-25","980","980","980","980","0.51","50"
"NCCD86","2021-11-22","976.2","976.2","975","975","0.00","50"
"NCCD86","2021-11-16","975","975","975","975","0.29","25"
"NCCD86","2021-11-14","972.2","972.2","972.2","972.2","-0.60","25"
"NCCD86","2021-11-02","978.1","978.1","978.1","978.1","-1.00","25"
"NCCD86","2021-11-01","988","988","988","988","1.43","30"
"NCCD86","2021-10-27","974.1","974.1","974.1","974.1","-0.60","25"
"NCCD86","2021-10-25","980","980","980","980","0.20","30"
"NCCD86","2021-10-24","978","978","978","978","-0.51","25"
"NCCD86","2021-10-03","983","983","983","983","-1.97","25"
"NCCD86","2021-09-27","1002.8","1002.8","1002.8","1002.8","-0.22","100"
"NCCD86","2021-09-26","1002","1005","1002","1005","0.50","50"
"NCCD86","2021-09-23","1000","1000","1000","1000","0.04","50"
"NCCD86","2021-09-22","980","999.6","980","999.6","-0.04","35"
"NCCD86","2021-09-16","1000","1000","1000","1000","-1.38","50"
"NCCD86","2021-09-15","1014","1014","1014","1014","1.40","25"
"NCCD86","2021-09-13","1000","1000","1000","1000","0.00","25"
"NCCD86","2021-09-12","1000","1000","1000","1000","-1.48","100"
"NCCD86","2021-09-09","1015","1015","1015","1015","0.00","50"
"NCCD86","2021-09-08","1020","1020","1015","1015","0.79","180"
"NCCD86","2021-09-06","1007","1007","1007","1007","1.20","50"
"NCCD86","2021-09-05","995.2","996","995.1","995.1","-0.99","500"
"NCCD86","2021-09-02","1000","1006","1000","1005","-0.21","75"
"NCCD86","2021-09-01","1007.1","1007.1","1007.1","1007.1","0.01","25"
"NCCD86","2021-08-31","1007","1007","1007","1007","0.05","100"
"NCCD86","2021-08-29","1006.5","1006.5","1006.5","1006.5","-1.90","25"
"NCCD86","2021-08-26","1026","1026","1026","1026","1.96","25"
"NCCD86","2021-08-25","1006","1006.3","1006","1006.3","-0.02","325"
"NCCD86","2021-08-24","1006","1006.5","1006","1006.5","0.65","330"
"NCCD86","2021-08-19","1000","1000","1000","1000","-0.63","25"
"NCCD86","2021-08-18","1007","1008","1006.3","1006.3","-1.34","300"
"NCCD86","2021-08-17","1003","1020","1003","1020","1.88","786"
"NCCD86","2021-08-16","995.1","1001.2","995.1","1001.2","0.12","80"
"NCCD86","2021-08-15","984.9","1000","984.9","1000","-0.50","260"
"NCCD86","2021-08-12","1000","1005","998","1005","0.50","225"
"NCCD86","2021-08-11","1000","1000","1000","1000","0.00","10"
