"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NCDBPO","2019-05-16","104","104","104","104","0.00","5002"
"NCDBPO","2019-04-18","104","104","104","104","0.00","2000"
"NCDBPO","2019-02-05","105","105","105","105","0.00","2100"
"NCDBPO","2019-01-23","105","105","105","105","0.00","5000"
"NCDBPO","2019-01-03","103.96","105","103.96","105","1.00","5000"
"NCDBPO","2018-12-31","105","105","105","105","0.00","5000"
"NCDBPO","2018-12-30","106","106","105","105","-0.94","36687"
"NCDBPO","2018-12-27","106","106","106","106","0.00","13864"
"NCDBPO","2018-10-11","106","106","106","106","0.00","4785"
"NCDBPO","2018-09-23","106","106","106","106","0.00","5264"
"NCDBPO","2018-09-18","106","106","106","106","0.00","58228"
"NCDBPO","2018-01-03","106","106","106","106","0.00","2302"
"NCDBPO","2018-01-02","106","106","106","106","0.00","20321"
"NCDBPO","2018-01-01","106","106","106","106","0.95","38041"
"NCDBPO","2017-09-24","200","200","200","200","0.00","15772"
