"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NCDB","2019-05-21","141","145","140","145","1.40","2886"
"NCDB","2019-05-20","143","145","140","143","0.00","8536"
"NCDB","2019-05-19","147","147","141","143","-4.03","3520"
"NCDB","2019-05-16","147","149","145","149","0.00","863"
"NCDB","2019-05-15","140","150","140","149","7.97","7233"
"NCDB","2019-05-14","142","142","138","138","-1.43","5320"
"NCDB","2019-05-13","136","140","136","140","2.19","2855"
"NCDB","2019-05-12","139","139","137","137","-0.72","1550"
"NCDB","2019-05-09","140","140","138","138","-1.43","1433"
"NCDB","2019-05-08","136","144","136","140","2.19","6378"
"NCDB","2019-05-07","142","142","137","137","-2.14","8148"
"NCDB","2019-05-06","136","140","136","140","1.45","2457"
"NCDB","2019-05-05","137","138","137","138","1.47","750"
"NCDB","2019-05-02","136","136","136","136","-1.45","1100"
"NCDB","2019-04-30","138","138","138","138","1.47","1120"
"NCDB","2019-04-29","140","140","136","136","-4.23","8570"
"NCDB","2019-04-28","140","143","139","142","2.16","9700"
"NCDB","2019-04-25","136","145","136","139","1.46","8363"
"NCDB","2019-04-24","145","145","135","137","-4.86","3626"
"NCDB","2019-04-23","140","144","138","144","1.41","6426"
"NCDB","2019-04-21","138","143","137","142","2.16","6502"
"NCDB","2019-04-18","134","139","134","139","5.30","1144"
"NCDB","2019-04-17","135","135","132","132","-2.22","4150"
"NCDB","2019-04-16","135","142","135","135","0.00","10225"
"NCDB","2019-04-15","143","143","134","135","-6.90","16205"
"NCDB","2019-04-11","147","149","145","145","0.00","4060"
"NCDB","2019-04-10","140","147","137","145","5.07","19154"
"NCDB","2019-04-09","128","138","128","138","9.52","27489"
"NCDB","2019-04-08","129","129","125","126","-2.33","2043"
"NCDB","2019-04-07","124","133","124","129","3.20","8598"
"NCDB","2019-04-04","121","126","121","125","3.31","649"
"NCDB","2019-04-03","122","123","120","121","-0.82","1546"
"NCDB","2019-04-02","121","122","119","122","0.83","2588"
"NCDB","2019-04-01","121","121","120","121","-0.82","3616"
"NCDB","2019-03-31","120","122","120","122","1.67","1546"
"NCDB","2019-03-28","121","121","120","120","-1.64","1584"
"NCDB","2019-03-27","122","122","120","122","0.00","983"
"NCDB","2019-03-26","120","122","119","122","1.67","2245"
"NCDB","2019-03-25","120","120","120","120","-1.64","3490"
"NCDB","2019-03-24","123","123","118","122","-0.81","4005"
"NCDB","2019-03-21","120","123","120","123","1.65","1512"
"NCDB","2019-03-18","121","121","120","121","1.68","1881"
"NCDB","2019-03-17","122","122","119","119","-2.46","1358"
"NCDB","2019-03-14","118","121","118","120","1.69","1181"
"NCDB","2019-03-13","117","118","116","118","0.00","179"
"NCDB","2019-03-12","116","118","114","118","3.51","177"
"NCDB","2019-03-11","114","116","114","114","-1.72","3400"
"NCDB","2019-03-07","116","116","114","116","1.75","40"
"NCDB","2019-03-06","116","118","114","114","-1.72","726"
"NCDB","2019-03-05","117","117","115","116","0.00","711"
"NCDB","2019-03-03","115","116","115","116","0.87","608"
"NCDB","2019-02-27","115","117","113","115","-1.71","680"
"NCDB","2019-02-25","117","117","117","117","0.00","24"
"NCDB","2019-02-24","115","117","113","117","0.00","3781"
"NCDB","2019-02-21","117","118","115","117","-0.85","171"
"NCDB","2019-02-19","118","118","116","118","1.72","40"
"NCDB","2019-02-18","120","120","116","116","-1.69","180"
"NCDB","2019-02-17","118","118","117","118","0.85","13"
"NCDB","2019-02-14","115","117","113","117","3.54","849"
"NCDB","2019-02-13","115","115","113","113","0.00","568"
"NCDB","2019-02-11","111","113","111","113","0.00","2081"
"NCDB","2019-02-10","114","115","113","113","-1.74","596"
"NCDB","2019-02-07","116","118","115","115","-2.54","930"
"NCDB","2019-02-06","118","120","118","118","-1.67","129"
"NCDB","2019-02-04","122","122","120","120","0.00","56"
"NCDB","2019-01-30","120","120","118","120","0.00","574"
"NCDB","2019-01-29","119","121","119","120","0.84","161"
"NCDB","2019-01-28","121","121","119","119","-1.65","11"
"NCDB","2019-01-27","120","122","120","121","0.83","60"
"NCDB","2019-01-24","120","122","120","120","0.00","203"
"NCDB","2019-01-23","115","120","115","120","4.35","478"
"NCDB","2019-01-22","115","117","115","115","0.00","338"
"NCDB","2019-01-21","117","117","115","115","-1.71","64"
"NCDB","2019-01-20","118","120","117","117","-0.85","123"
"NCDB","2019-01-17","116","118","116","118","1.72","50"
"NCDB","2019-01-16","116","117","116","116","0.00","580"
"NCDB","2019-01-15","117","118","115","116","-0.85","1068"
"NCDB","2019-01-14","120","120","117","117","-2.50","1695"
"NCDB","2019-01-13","121","121","120","120","-0.83","128"
"NCDB","2019-01-10","120","121","120","121","0.83","308"
"NCDB","2019-01-09","118","120","118","120","1.69","174"
"NCDB","2019-01-08","119","119","118","118","-0.84","91"
"NCDB","2019-01-07","118","122","118","119","0.85","895"
"NCDB","2019-01-06","117","118","117","118","0.85","255"
"NCDB","2019-01-02","119","119","117","117","-1.68","10"
"NCDB","2019-01-01","120.79","121","119","119","-1.48","1201"
"NCDB","2018-12-31","127","128","122","122","-3.94","2897"
"NCDB","2018-12-30","125","127","125","127","1.60","12"
"NCDB","2018-12-27","125","125","123","125","0.00","577"
"NCDB","2018-12-26","125","127","125","125","0.00","66"
"NCDB","2018-12-25","126","126","123","125","-0.79","1475"
