"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NEF","2022-05-05","10.8","11.25","10.59","10.8","-1.82","95937"
"NEF","2022-05-04","11","11","11","11","0.18","46463"
"NEF","2022-05-02","10.98","10.98","10.59","10.98","-1.08","89847"
"NEF","2022-04-28","10.78","11.22","10.78","11.1","0.91","136195"
"NEF","2022-04-27","10.65","11","10.44","11","1.76","103737"
"NEF","2022-04-26","10.78","10.81","10.5","10.81","2.17","101189"
"NEF","2022-04-25","10.61","10.68","10.49","10.58","0.95","27244"
"NEF","2022-04-24","10.48","10.48","10.4","10.48","1.95","68644"
"NEF","2022-04-21","10.27","10.29","10.27","10.28","-0.29","17373"
"NEF","2022-04-20","10.31","10.45","10.31","10.31","-0.39","16620"
"NEF","2022-04-19","10.16","10.4","10.16","10.35","0.78","14563"
"NEF","2022-04-18","10.28","10.48","10.27","10.27","-0.10","11422"
"NEF","2022-04-17","10.46","10.5","10.24","10.28","-1.53","15708"
"NEF","2022-04-13","10.36","10.44","10.27","10.44","-0.10","22276"
"NEF","2022-04-12","10.35","10.45","10.35","10.45","0.00","89900"
"NEF","2022-04-11","10.5","10.61","10.3","10.45","-1.88","10673"
"NEF","2022-04-07","10.65","10.65","10.5","10.65","0.00","11213"
"NEF","2022-04-06","10.65","10.66","10.65","10.65","1.91","11907"
"NEF","2022-04-05","10.65","10.65","10.44","10.45","-3.69","13607"
"NEF","2022-04-04","10.81","10.85","10.8","10.85","-0.91","16546"
"NEF","2022-04-03","10.91","11.12","10.9","10.95","0.37","29543"
"NEF","2022-03-31","10.87","11.08","10.87","10.91","0.37","5560"
"NEF","2022-03-30","10.86","11","10.86","10.87","0.00","7694"
"NEF","2022-03-29","10.87","10.87","10.87","10.87","0.09","4383"
"NEF","2022-03-28","10.85","10.87","10.85","10.86","-0.46","30632"
"NEF","2022-03-27","11.05","11.05","10.91","10.91","-1.27","13395"
"NEF","2022-03-24","10.92","11.14","10.92","11.05","-0.54","11465"
"NEF","2022-03-23","11.11","11.11","11","11.11","0.00","18630"
"NEF","2022-03-22","11.11","11.15","11","11.11","1.93","11902"
"NEF","2022-03-21","10.86","10.9","10.86","10.9","0.46","2949"
"NEF","2022-03-20","10.85","11","10.81","10.85","-1.27","17442"
"NEF","2022-03-16","10.98","11","10.83","10.99","-0.09","26661"
"NEF","2022-03-15","11","11","10.83","11","0.00","52213"
"NEF","2022-03-14","11.22","11.22","11","11","0.00","4334"
"NEF","2022-03-13","10.98","11.15","10.98","11","0.27","42796"
"NEF","2022-03-10","10.7","10.99","10.7","10.97","1.57","2590"
"NEF","2022-03-09","10.7","10.8","10.7","10.8","-0.92","4380"
"NEF","2022-03-07","10.91","10.91","10.7","10.9","-0.09","76989"
"NEF","2022-03-06","10.63","10.91","10.63","10.91","1.49","24800"
"NEF","2022-03-02","10.81","10.99","10.75","10.75","-1.01","29880"
"NEF","2022-02-28","10.9","10.9","10.86","10.86","-0.82","13000"
"NEF","2022-02-27","10.92","10.95","10.83","10.95","-0.45","26976"
"NEF","2022-02-24","10.9","11","10.9","11","0.73","68012"
"NEF","2022-02-23","11","11","10.87","10.92","-1.18","24635"
"NEF","2022-02-22","11.07","11.07","11.05","11.05","-0.99","29236"
"NEF","2022-02-21","11.05","11.2","10.87","11.16","1.00","27770"
"NEF","2022-02-20","10.7","11.05","10.7","11.05","1.84","38492"
"NEF","2022-02-17","10.8","11.18","10.8","10.85","0.00","28801"
"NEF","2022-02-16","10.7","11","10.7","10.85","0.93","50498"
"NEF","2022-02-15","10.75","10.75","10.75","10.75","-1.19","483"
"NEF","2022-02-14","11.19","11.19","10.88","10.88","-1.00","7666"
"NEF","2022-02-13","10.93","11.12","10.72","10.99","-1.43","59389"
"NEF","2022-02-10","10.85","11.28","10.85","11.15","2.76","74363"
"NEF","2022-02-09","10.81","11.01","10.8","10.85","0.37","6824"
"NEF","2022-02-08","11.1","11.22","10.69","10.81","0.00","212135"
"NEF","2022-02-07","10.97","11.1","10.85","11","0.73","149647"
"NEF","2022-02-06","11.2","11.2","10.82","10.92","-2.50","145006"
"NEF","2022-02-03","10.97","11.33","10.97","11.2","1.82","120429"
"NEF","2022-02-01","11.15","11.2","11","11","-1.17","51424"
"NEF","2022-01-31","11.2","11.22","10.6","11.13","1.18","157492"
"NEF","2022-01-30","11","11.22","10.9","11","1.85","69722"
"NEF","2022-01-27","11.13","11.13","10.8","10.8","-2.96","39972"
"NEF","2022-01-26","10.9","11.22","10.9","11.13","0.27","22077"
"NEF","2022-01-25","11.05","11.2","11.02","11.1","0.73","17488"
"NEF","2022-01-24","11.2","11.2","11.01","11.02","-1.61","65599"
"NEF","2022-01-23","11.21","11.37","11.2","11.2","-0.09","66207"
"NEF","2022-01-20","11.11","11.21","11.11","11.21","0.18","7099"
"NEF","2022-01-19","11.4","11.47","11.15","11.19","-1.58","29008"
"NEF","2022-01-18","11.03","11.53","11.03","11.37","1.34","44637"
"NEF","2022-01-17","11.24","11.29","11.07","11.22","-0.18","60629"
"NEF","2022-01-16","11.3","11.5","11.2","11.24","-0.53","28534"
"NEF","2022-01-13","11.45","11.45","10.78","11.3","0.62","46116"
"NEF","2022-01-12","11.12","11.3","11.02","11.23","-0.88","479641"
"NEF","2022-01-11","10.74","11.33","10.74","11.33","5.40","85167"
"NEF","2022-01-10","10.8","10.86","10.66","10.75","0.66","107818"
