"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NESDO","2022-05-05","2500","2516","2480","2482.1","-1.39","8502"
"NESDO","2022-05-04","2522","2572.6","2512","2517","-1.72","7040"
"NESDO","2022-05-02","2630","2650","2550","2561.1","-3.54","8862"
"NESDO","2022-04-28","2665","2710","2650","2655","-0.45","10171"
"NESDO","2022-04-27","2648","2700","2648","2667.1","-0.11","5666"
"NESDO","2022-04-26","2620","2719","2610.1","2670.1","0.72","11409"
"NESDO","2022-04-25","2700","2740","2642","2651","-2.54","18085"
"NESDO","2022-04-24","2800","2814","2695","2720.1","-2.85","18523"
"NESDO","2022-04-21","2656.1","2850","2452","2800","3.31","41189"
"NESDO","2022-04-20","3071.6","3312.5","2710.3","2710.3","-10.00","50565"
"NESDO","2022-04-19","2792.4","3011.4","2792.4","3011.4","10.00","3871"
"NESDO","2022-04-18","2538.6","2737.7","2538.6","2737.7","10.00","1428"
"NESDO","2022-04-17","2307.9","2488.9","2307.9","2488.9","10.00","1300"
"NESDO","2022-04-13","2023.7","2262.7","2023.7","2262.7","10.00","765"
"NESDO","2022-04-12","1849.7","2057","1849.7","2057","10.00","724"
"NESDO","2022-04-11","1734","1870","1734","1870","10.00","471"
"NESDO","2022-04-07","1545.5","1700","1545.5","1700","10.00","353"
"NESDO","2022-04-06","1400.7","1545.5","1400.7","1545.5","10.00","204"
"NESDO","2022-04-05","1277.3","1405","1277.3","1405","10.00","145"
"NESDO","2022-04-04","1160.7","1277.3","1160.7","1277.3","10.00","146"
"NESDO","2022-04-03","1047.7","1161.2","1047.7","1161.2","9.99","148"
"NESDO","2022-03-31","959.8","1055.7","959.8","1055.7","9.99","96"
"NESDO","2022-03-30","872.6","959.8","872.6","959.8","9.99","112"
"NESDO","2022-03-29","793.3","872.6","793.3","872.6","10.00","104"
"NESDO","2022-03-28","747.7","793.3","747.7","793.3","0.00","110"
