"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NHDL","2022-05-05","390","405","382.2","388","-2.02","6885"
"NHDL","2022-05-04","403","416","395","396","-1.74","11815"
"NHDL","2022-05-02","415","415","398","403","-4.16","8736"
"NHDL","2022-04-28","426","439","419","420.5","-1.29","14156"
"NHDL","2022-04-27","418","434","416.2","426","0.47","4854"
"NHDL","2022-04-26","418.5","435","416.5","424","-0.70","6988"
"NHDL","2022-04-25","452","458","420","427","-3.87","24702"
"NHDL","2022-04-24","402","444.4","400","444.2","9.95","21885"
"NHDL","2022-04-21","399","408","390","404","-0.74","7776"
"NHDL","2022-04-20","409.7","417.8","398.1","407","-2.63","7459"
"NHDL","2022-04-19","406","425","402","418","1.70","8534"
"NHDL","2022-04-18","429","434.1","411","411","-5.54","8498"
"NHDL","2022-04-17","446","450","435","435.1","-2.22","6493"
"NHDL","2022-04-13","450","458.9","437","445","0.45","8661"
"NHDL","2022-04-12","445","460","439","443","-1.77","8582"
"NHDL","2022-04-11","474.3","483.7","447.1","451","-3.01","16465"
"NHDL","2022-04-07","461","474","460","465","2.88","13365"
"NHDL","2022-04-06","451","475","450","452","-1.53","13251"
"NHDL","2022-04-05","467","470","454","459","-3.16","16977"
"NHDL","2022-04-04","474","490","474","474","-1.76","12416"
"NHDL","2022-04-03","490","490","478","482.5","-1.13","7020"
"NHDL","2022-03-31","495.1","505","488","488","-3.37","18544"
"NHDL","2022-03-30","490","508","481","505","3.25","14710"
"NHDL","2022-03-29","483.1","497","483.1","489.1","1.24","18131"
"NHDL","2022-03-28","485","500","476.1","483.1","-0.41","21656"
"NHDL","2022-03-27","505","510","481","485.1","-3.94","22763"
"NHDL","2022-03-24","510.5","517","502","505","-1.08","9735"
"NHDL","2022-03-23","519","519.9","510.5","510.5","-2.39","7591"
"NHDL","2022-03-22","528","533","519.1","523","-0.95","15973"
"NHDL","2022-03-21","510","529.9","504","528","4.14","20505"
"NHDL","2022-03-20","507","520","500","507","0.60","10433"
"NHDL","2022-03-16","506","522","503.1","504","-1.56","11686"
"NHDL","2022-03-15","517","526","512","512","-2.66","17944"
"NHDL","2022-03-14","535","535","511","526","0.19","11722"
"NHDL","2022-03-13","524","535","513","525","1.94","25279"
"NHDL","2022-03-10","480","515","480","515","8.65","26352"
"NHDL","2022-03-09","500","510","473","474","-5.20","17965"
"NHDL","2022-03-07","515","519","499","500","-1.77","22851"
"NHDL","2022-03-06","520","523","507","509","-0.78","22801"
"NHDL","2022-03-02","523","527","508","513","-2.66","22737"
"NHDL","2022-02-28","561.1","572","525","527","-4.20","35701"
"NHDL","2022-02-27","534.1","570","534.1","550.1","0.94","40004"
"NHDL","2022-02-24","560","569","542","545","-3.02","62318"
"NHDL","2022-02-23","564.8","585","554","562","1.48","58252"
"NHDL","2022-02-22","573.9","577","553.8","553.8","-1.96","55750"
"NHDL","2022-02-21","537.5","566","525","564.9","7.19","77408"
"NHDL","2022-02-20","521.4","550","511","527","-0.94","39863"
"NHDL","2022-02-17","530.1","539.9","525","532","-1.48","18302"
"NHDL","2022-02-16","550","551","526.5","540","-1.46","31715"
"NHDL","2022-02-15","533","552","520","548","4.38","38809"
"NHDL","2022-02-14","501.1","529","501.1","525","3.55","49349"
"NHDL","2022-02-13","522.4","529","506","507","-4.88","48079"
"NHDL","2022-02-10","545","550","530.3","533","-2.91","69292"
"NHDL","2022-02-09","566","566.2","540","549","-3.35","141671"
"NHDL","2022-02-08","610.9","625","565","568","0.00","66404"
"NHDL","2022-02-07","575","620.1","563.5","599","4.17","187210"
"NHDL","2022-02-06","540","580","515","575","8.08","234511"
"NHDL","2022-02-03","532.4","552.8","530","532","1.92","93142"
"NHDL","2022-02-01","513.2","530","496.2","522","3.74","71046"
"NHDL","2022-01-31","522","522","500","503.2","-2.10","25896"
"NHDL","2022-01-30","489.6","518","489.6","514","7.08","30236"
"NHDL","2022-01-27","478","485","469.5","480","2.13","16750"
"NHDL","2022-01-26","485","485","459","470","-2.08","20454"
"NHDL","2022-01-25","475","496.9","465","480","1.05","35047"
"NHDL","2022-01-24","505","505","471.5","475","-5.94","58928"
"NHDL","2022-01-23","519","525","501.8","505","-1.35","25209"
"NHDL","2022-01-20","490","511.9","483","511.9","4.47","33885"
"NHDL","2022-01-19","505","515","490","490","-2.97","39165"
"NHDL","2022-01-18","520","529","490","505","-2.88","39768"
"NHDL","2022-01-17","530","530","500.1","520","0.00","41077"
"NHDL","2022-01-16","499","535","507","520","4.21","50533"
"NHDL","2022-01-13","468","500.8","468","499","4.83","73460"
"NHDL","2022-01-12","500","506.5","465","476","-4.42","68681"
"NHDL","2022-01-11","480","507.9","472","498","5.51","49910"
"NHDL","2022-01-10","457.7","489","457.7","472","5.17","70544"
"NHDL","2022-01-09","410","448.8","410","448.8","10.00","52908"
"NHDL","2022-01-06","402","412","396.1","408","1.37","28429"
"NHDL","2022-01-05","400.1","418","396","402.5","0.63","27140"
"NHDL","2022-01-04","385","408","384","400","3.90","33652"
"NHDL","2022-01-03","396.6","396.6","382","385","-1.00","9731"
"NHDL","2022-01-02","385","401","383.1","388.9","1.28","13651"
"NHDL","2021-12-29","392.7","396","377.3","384","-0.26","8932"
"NHDL","2021-12-28","370","385","369.9","385","5.36","18308"
"NHDL","2021-12-27","426.5","435","391","391","-6.64","36476"
"NHDL","2021-12-26","419.5","445","406.7","418.8","-0.17","25351"
"NHDL","2021-12-23","438","446","415.6","419.5","-2.89","22336"
"NHDL","2021-12-22","413.1","432","409.9","432","6.67","26543"
"NHDL","2021-12-21","396","405","392","405","3.58","25115"
"NHDL","2021-12-20","400","400","381","391","-2.25","8205"
"NHDL","2021-12-16","418.5","426.8","399","400","-6.32","18533"
"NHDL","2021-12-15","413.1","445.5","403","427","5.43","35948"
