"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NIBD84","2022-05-05","848.4","848.4","848.3","848.3","-0.04","25"
"NIBD84","2022-05-04","848.7","848.7","848.6","848.6","-0.19","25"
"NIBD84","2022-05-02","850","850.2","850","850.2","0.02","125"
"NIBD84","2022-04-28","850","850.1","850","850","0.21","75"
"NIBD84","2022-04-27","848.3","848.3","848.2","848.2","-0.07","75"
"NIBD84","2022-04-26","848.5","849.2","848.5","848.8","-0.14","100"
"NIBD84","2022-04-25","852.4","852.4","849.2","850","-0.28","130"
"NIBD84","2022-04-24","927.1","927.1","852.4","852.4","-9.89","170"
"NIBD84","2022-02-23","946","946","946","946","-2.00","25"
"NIBD84","2022-01-23","965.3","965.3","965.3","965.3","-2.00","10"
"NIBD84","2022-01-11","968","985","968","985","3.78","100"
"NIBD84","2022-01-10","930.6","949.1","930.1","949.1","0.59","90"
"NIBD84","2022-01-09","930.7","943.5","925","943.5","1.39","190"
"NIBD84","2022-01-06","930.2","931","930.2","930.6","-0.03","105"
"NIBD84","2022-01-05","931","931","930.9","930.9","-0.17","40"
"NIBD84","2022-01-03","940","940","932.3","932.5","0.14","180"
"NIBD84","2022-01-02","933.2","933.2","931.2","931.2","0.13","125"
"NIBD84","2021-12-29","930","930","930","930","-0.32","30"
"NIBD84","2021-12-28","936.1","936.2","933","933","-0.54","210"
"NIBD84","2021-12-27","937.1","938.1","937","938.1","-0.36","75"
"NIBD84","2021-12-26","941.7","941.7","941.5","941.5","-0.10","100"
"NIBD84","2021-12-23","941.6","942.4","941.6","942.4","-0.07","175"
"NIBD84","2021-12-22","942.6","943.1","942.6","943.1","-0.20","50"
"NIBD84","2021-12-15","940.3","945","940.3","945","0.38","825"
"NIBD84","2021-12-13","941","950","941","941.4","-0.06","230"
"NIBD84","2021-12-12","942.1","942.1","942","942","-0.11","100"
"NIBD84","2021-12-09","945","945","943","943","-0.05","185"
"NIBD84","2021-12-08","942.5","945","942.5","943.5","-0.17","275"
"NIBD84","2021-12-07","941.3","945.1","941.3","945.1","0.51","215"
"NIBD84","2021-12-06","942","942","940.3","940.3","0.03","50"
"NIBD84","2021-12-05","943.8","944.1","940","940","-1.05","150"
"NIBD84","2021-12-01","945","950","943.7","950","0.42","405"
"NIBD84","2021-11-30","950","950","945.1","946","-0.42","475"
"NIBD84","2021-11-29","960.4","960.4","940.3","950","-3.06","1200"
"NIBD84","2021-11-28","980","980","980","980","-2.00","300"
"NIBD84","2021-11-24","1000","1000","1000","1000","0.00","25"
